timepoint_id,timestamp,timeseries
1,20200100,2020_01
2,20200101,2020_01
3,20200102,2020_01
4,20200103,2020_01
5,20200104,2020_01
6,20200105,2020_01
7,20200106,2020_01
8,20200107,2020_01
9,20200108,2020_01
10,20200109,2020_01
11,202001010,2020_01
12,202001011,2020_01
13,202001012,2020_01
14,202001013,2020_01
15,202001014,2020_01
16,202001015,2020_01
17,202001016,2020_01
18,202001017,2020_01
19,202001018,2020_01
20,202001019,2020_01
21,202001020,2020_01
22,202001021,2020_01
23,202001022,2020_01
24,202001023,2020_01
25,20250100,2025_01
26,20250101,2025_01
27,20250102,2025_01
28,20250103,2025_01
29,20250104,2025_01
30,20250105,2025_01
31,20250106,2025_01
32,20250107,2025_01
33,20250108,2025_01
34,20250109,2025_01
35,20250110,2025_01
36,20250111,2025_01
37,20250112,2025_01
38,20250113,2025_01
39,20250114,2025_01
40,20250115,2025_01
41,20250116,2025_01
42,20250117,2025_01
43,20250118,2025_01
44,20250119,2025_01
45,20250120,2025_01
46,20250121,2025_01
47,20250122,2025_01
48,20250123,2025_01
49,20300100,2030_01
50,20300101,2030_01
51,20300102,2030_01
52,20300103,2030_01
53,20300104,2030_01
54,20300105,2030_01
55,20300106,2030_01
56,20300107,2030_01
57,20300108,2030_01
58,20300109,2030_01
59,20300110,2030_01
60,20300111,2030_01
61,20300112,2030_01
62,20300113,2030_01
63,20300114,2030_01
64,20300115,2030_01
65,20300116,2030_01
66,20300117,2030_01
67,20300118,2030_01
68,20300119,2030_01
69,20300120,2030_01
70,20300121,2030_01
71,20300122,2030_01
72,20300123,2030_01
73,20350100,2035_01
74,20350101,2035_01
75,20350102,2035_01
76,20350103,2035_01
77,20350104,2035_01
78,20350105,2035_01
79,20350106,2035_01
80,20350107,2035_01
81,20350108,2035_01
82,20350109,2035_01
83,20350110,2035_01
84,20350111,2035_01
85,20350112,2035_01
86,20350113,2035_01
87,20350114,2035_01
88,20350115,2035_01
89,20350116,2035_01
90,20350117,2035_01
91,20350118,2035_01
92,20350119,2035_01
93,20350120,2035_01
94,20350121,2035_01
95,20350122,2035_01
96,20350123,2035_01
