load_zone,fuel,period,fuel_cost
inside_lvliang,Uranium,2020,2.19
outside_lvliang,Uranium,2020,2.19
inside_lvliang,Uranium,2025,2.19
outside_lvliang,Uranium,2025,2.19
inside_lvliang,Uranium,2030,2.2
outside_lvliang,Uranium,2030,2.2
inside_lvliang,Uranium,2035,2.2
outside_lvliang,Uranium,2035,2.2
inside_lvliang,Coal,2020,1.9012
outside_lvliang,Coal,2020,1.9012
inside_lvliang,Coal,2025,1.9012
outside_lvliang,Coal,2025,1.9012
inside_lvliang,Coal,2030,2.0467
outside_lvliang,Coal,2030,2.0467
inside_lvliang,Coal,2035,2.0467
outside_lvliang,Coal,2035,2.0467
inside_lvliang,ResidualFuelOil,2020,18.5755
outside_lvliang,ResidualFuelOil,2020,18.5755
inside_lvliang,ResidualFuelOil,2025,18.5755
outside_lvliang,ResidualFuelOil,2025,18.5755
inside_lvliang,ResidualFuelOil,2030,20.3021
outside_lvliang,ResidualFuelOil,2030,20.3021
inside_lvliang,ResidualFuelOil,2035,20.3021
outside_lvliang,ResidualFuelOil,2035,20.3021
