LOAD_ZONE,TIMEPOINT,zone_demand_mw
inside_lvliang,1,5
inside_lvliang,2,4
inside_lvliang,3,4.5
inside_lvliang,4,4.2
inside_lvliang,5,4
inside_lvliang,6,6
inside_lvliang,7,6
inside_lvliang,8,6
inside_lvliang,9,6
inside_lvliang,10,6
inside_lvliang,11,6
inside_lvliang,12,6
inside_lvliang,13,6
inside_lvliang,14,6
inside_lvliang,15,6
inside_lvliang,16,6
inside_lvliang,17,6
inside_lvliang,18,6
inside_lvliang,19,6
inside_lvliang,20,6
inside_lvliang,21,6
inside_lvliang,22,6
inside_lvliang,23,6
inside_lvliang,24,6
inside_lvliang,25,6
inside_lvliang,26,6
inside_lvliang,27,6
inside_lvliang,28,6
inside_lvliang,29,6
inside_lvliang,30,6
inside_lvliang,31,6
inside_lvliang,32,6
inside_lvliang,33,6
inside_lvliang,34,6
inside_lvliang,35,6
inside_lvliang,36,6
inside_lvliang,37,6
inside_lvliang,38,6
inside_lvliang,39,6
inside_lvliang,40,6
inside_lvliang,41,6
inside_lvliang,42,6
inside_lvliang,43,6
inside_lvliang,44,6
inside_lvliang,45,6
inside_lvliang,46,6
inside_lvliang,47,6
inside_lvliang,48,6
inside_lvliang,49,6
inside_lvliang,50,6
inside_lvliang,51,6
inside_lvliang,52,6
inside_lvliang,53,6
inside_lvliang,54,6
inside_lvliang,55,6
inside_lvliang,56,6
inside_lvliang,57,6
inside_lvliang,58,6
inside_lvliang,59,6
inside_lvliang,60,6
inside_lvliang,61,6
inside_lvliang,62,6
inside_lvliang,63,6
inside_lvliang,64,6
inside_lvliang,65,6
inside_lvliang,66,6
inside_lvliang,67,6
inside_lvliang,68,6
inside_lvliang,69,6
inside_lvliang,70,6
inside_lvliang,71,6
inside_lvliang,72,6
inside_lvliang,73,6
inside_lvliang,74,6
inside_lvliang,75,6
inside_lvliang,76,6
inside_lvliang,77,6
inside_lvliang,78,6
inside_lvliang,79,6
inside_lvliang,80,6
inside_lvliang,81,6
inside_lvliang,82,6
inside_lvliang,83,6
inside_lvliang,84,6
inside_lvliang,85,6
inside_lvliang,86,6
inside_lvliang,87,6
inside_lvliang,88,6
inside_lvliang,89,6
inside_lvliang,90,6
inside_lvliang,91,6
inside_lvliang,92,6
inside_lvliang,93,6
inside_lvliang,94,6
inside_lvliang,95,6
inside_lvliang,96,6
outside_lvliang,1,3.7
outside_lvliang,2,3
outside_lvliang,3,3.6
outside_lvliang,4,3.3
outside_lvliang,5,3
outside_lvliang,6,4
outside_lvliang,7,4.6
outside_lvliang,8,4.6
outside_lvliang,9,4.6
outside_lvliang,10,4.6
outside_lvliang,11,4.6
outside_lvliang,12,4.6
outside_lvliang,13,4.6
outside_lvliang,14,4.6
outside_lvliang,15,4.6
outside_lvliang,16,4.6
outside_lvliang,17,4.6
outside_lvliang,18,4.6
outside_lvliang,19,4.6
outside_lvliang,20,4.6
outside_lvliang,21,4.6
outside_lvliang,22,4.6
outside_lvliang,23,4.6
outside_lvliang,24,4.6
outside_lvliang,25,4.6
outside_lvliang,26,4.6
outside_lvliang,27,4.6
outside_lvliang,28,4.6
outside_lvliang,29,4.6
outside_lvliang,30,4.6
outside_lvliang,31,4.6
outside_lvliang,32,4.6
outside_lvliang,33,4.6
outside_lvliang,34,4.6
outside_lvliang,35,4.6
outside_lvliang,36,4.6
outside_lvliang,37,4.6
outside_lvliang,38,4.6
outside_lvliang,39,4.6
outside_lvliang,40,4.6
outside_lvliang,41,4.6
outside_lvliang,42,4.6
outside_lvliang,43,4.6
outside_lvliang,44,4.6
outside_lvliang,45,4.6
outside_lvliang,46,4.6
outside_lvliang,47,4.6
outside_lvliang,48,4.6
outside_lvliang,49,4.6
outside_lvliang,50,4.6
outside_lvliang,51,4.6
outside_lvliang,52,4.6
outside_lvliang,53,4.6
outside_lvliang,54,4.6
outside_lvliang,55,4.6
outside_lvliang,56,4.6
outside_lvliang,57,4.6
outside_lvliang,58,4.6
outside_lvliang,59,4.6
outside_lvliang,60,4.6
outside_lvliang,61,4.6
outside_lvliang,62,4.6
outside_lvliang,63,4.6
outside_lvliang,64,4.6
outside_lvliang,65,4.6
outside_lvliang,66,4.6
outside_lvliang,67,4.6
outside_lvliang,68,4.6
outside_lvliang,69,4.6
outside_lvliang,70,4.6
outside_lvliang,71,4.6
outside_lvliang,72,4.6
outside_lvliang,73,4.6
outside_lvliang,74,4.6
outside_lvliang,75,4.6
outside_lvliang,76,4.6
outside_lvliang,77,4.6
outside_lvliang,78,4.6
outside_lvliang,79,4.6
outside_lvliang,80,4.6
outside_lvliang,81,4.6
outside_lvliang,82,4.6
outside_lvliang,83,4.6
outside_lvliang,84,4.6
outside_lvliang,85,4.6
outside_lvliang,86,4.6
outside_lvliang,87,4.6
outside_lvliang,88,4.6
outside_lvliang,89,4.6
outside_lvliang,90,4.6
outside_lvliang,91,4.6
outside_lvliang,92,4.6
outside_lvliang,93,4.6
outside_lvliang,94,4.6
outside_lvliang,95,4.6
outside_lvliang,96,4.6
