GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
G109041,2015,3729300,28923
G109042,2015,3729300,28923
G106470,2019,3729300,28923
G106471,2019,3729300,28923
G106348,2012,3729300,28923
G106349,2014,3729300,28923
G106344,1995,3729300,28923
G106345,1996,3729300,28923
G106346,2008,3729300,28923
G106347,2008,3729300,28923
G114088,2007,3729300,28923
G114089,2007,3729300,28923
G114090,2007,3729300,28923
G112778,2007,3729300,28923
G112779,2007,3729300,28923
G111092,2021,3729300,28923
G111093,2021,3729300,28923
N-Residential_PV,2020,3487500,41850
N-Residential_PV,2030,3059700,38130
N-Commercial_PV,2020,3106200,41850
N-Commercial_PV,2030,2752800,38130
N-Central_PV-1,2020,2334300,41850
N-Central_PV-2,2020,2334300,41850
N-Central_PV-1,2030,2148300,38130
N-Central_PV-2,2030,2148300,38130
N-Wind-1,2020,1841400,55800
N-Wind-2,2020,1841400,55800
N-Wind-1,2030,1841400,55800
N-Wind-2,2030,1841400,55800
C-Residential_PV,2020,2790000,33480
C-Residential_PV,2030,2447760,30504
C-Commercial_PV,2020,2484960,33480
C-Commercial_PV,2030,2202240,30504
C-Central_PV-1,2020,1867440,33480
C-Central_PV-2,2020,1867440,33480
C-Central_PV-1,2030,1718640,30504
C-Central_PV-2,2030,1718640,30504
C-Wind-1,2020,1473120,44640
C-Wind-2,2020,1473120,44640
C-Wind-1,2030,1473120,44640
C-Wind-2,2030,1473120,44640
S-Residential_PV,2020,4185000,50220
S-Residential_PV,2030,3671640,45756
S-Commercial_PV,2020,3727440,50220
S-Commercial_PV,2030,3303360,45756
S-Central_PV-1,2020,2801160,50220
S-Central_PV-2,2020,2801160,50220
S-Central_PV-1,2030,2577960,45756
S-Central_PV-2,2030,2577960,45756
outside_coal,2015,3729300,28923
