LOAD_ZONE,TIMEPOINT,dr_shift_down_limit,dr_shift_up_limit
inside_lvliang,1,244.1535983,732.4607949
inside_lvliang,2,242.4081988,727.2245964
inside_lvliang,3,239.6420806,718.9262418
inside_lvliang,4,236.4030018,709.2090054
inside_lvliang,5,233.6183154,700.8549462
inside_lvliang,6,233.8782686,701.6348058
inside_lvliang,7,239.0845127,717.2535381
inside_lvliang,8,249.3216553,747.9649659
inside_lvliang,9,249.1179319,747.3537957
inside_lvliang,10,252.432334,757.297002
inside_lvliang,11,244.1530728,732.4592184
inside_lvliang,12,242.8718753,728.6156259
inside_lvliang,13,244.1246951,732.3740853
inside_lvliang,14,233.8313229,701.4939687
inside_lvliang,15,231.5758267,694.7274801
inside_lvliang,16,234.2573377,702.7720131
inside_lvliang,17,239.5105275,718.5315825
inside_lvliang,18,260.3009954,780.9029862
inside_lvliang,19,276.5902806,829.7708418
inside_lvliang,20,280.9352111,842.8056333
inside_lvliang,21,273.6488167,820.9464501
inside_lvliang,22,271.8946587,815.6839761
inside_lvliang,23,262.1304767,786.3914301
inside_lvliang,24,248.3380726,745.0142178
inside_lvliang,25,244.1535983,732.4607949
inside_lvliang,26,242.4081988,727.2245964
inside_lvliang,27,239.6420806,718.9262418
inside_lvliang,28,236.4030018,709.2090054
inside_lvliang,29,233.6183154,700.8549462
inside_lvliang,30,233.8782686,701.6348058
inside_lvliang,31,239.0845127,717.2535381
inside_lvliang,32,249.3216553,747.9649659
inside_lvliang,33,249.1179319,747.3537957
inside_lvliang,34,252.432334,757.297002
inside_lvliang,35,244.1530728,732.4592184
inside_lvliang,36,242.8718753,728.6156259
inside_lvliang,37,244.1246951,732.3740853
inside_lvliang,38,233.8313229,701.4939687
inside_lvliang,39,231.5758267,694.7274801
inside_lvliang,40,234.2573377,702.7720131
inside_lvliang,41,239.5105275,718.5315825
inside_lvliang,42,260.3009954,780.9029862
inside_lvliang,43,276.5902806,829.7708418
inside_lvliang,44,280.9352111,842.8056333
inside_lvliang,45,273.6488167,820.9464501
inside_lvliang,46,271.8946587,815.6839761
inside_lvliang,47,262.1304767,786.3914301
inside_lvliang,48,248.3380726,745.0142178
inside_lvliang,49,244.1535983,732.4607949
inside_lvliang,50,242.4081988,727.2245964
inside_lvliang,51,239.6420806,718.9262418
inside_lvliang,52,236.4030018,709.2090054
inside_lvliang,53,233.6183154,700.8549462
inside_lvliang,54,233.8782686,701.6348058
inside_lvliang,55,239.0845127,717.2535381
inside_lvliang,56,249.3216553,747.9649659
inside_lvliang,57,249.1179319,747.3537957
inside_lvliang,58,252.432334,757.297002
inside_lvliang,59,244.1530728,732.4592184
inside_lvliang,60,242.8718753,728.6156259
inside_lvliang,61,244.1246951,732.3740853
inside_lvliang,62,233.8313229,701.4939687
inside_lvliang,63,231.5758267,694.7274801
inside_lvliang,64,234.2573377,702.7720131
inside_lvliang,65,239.5105275,718.5315825
inside_lvliang,66,260.3009954,780.9029862
inside_lvliang,67,276.5902806,829.7708418
inside_lvliang,68,280.9352111,842.8056333
inside_lvliang,69,273.6488167,820.9464501
inside_lvliang,70,271.8946587,815.6839761
inside_lvliang,71,262.1304767,786.3914301
inside_lvliang,72,248.3380726,745.0142178
inside_lvliang,73,244.1535983,732.4607949
inside_lvliang,74,242.4081988,727.2245964
inside_lvliang,75,239.6420806,718.9262418
inside_lvliang,76,236.4030018,709.2090054
inside_lvliang,77,233.6183154,700.8549462
inside_lvliang,78,233.8782686,701.6348058
inside_lvliang,79,239.0845127,717.2535381
inside_lvliang,80,249.3216553,747.9649659
inside_lvliang,81,249.1179319,747.3537957
inside_lvliang,82,252.432334,757.297002
inside_lvliang,83,244.1530728,732.4592184
inside_lvliang,84,242.8718753,728.6156259
inside_lvliang,85,244.1246951,732.3740853
inside_lvliang,86,233.8313229,701.4939687
inside_lvliang,87,231.5758267,694.7274801
inside_lvliang,88,234.2573377,702.7720131
inside_lvliang,89,239.5105275,718.5315825
inside_lvliang,90,260.3009954,780.9029862
inside_lvliang,91,276.5902806,829.7708418
inside_lvliang,92,280.9352111,842.8056333
inside_lvliang,93,273.6488167,820.9464501
inside_lvliang,94,271.8946587,815.6839761
inside_lvliang,95,262.1304767,786.3914301
inside_lvliang,96,248.3380726,745.0142178
outside_lvliang,1,100,300
outside_lvliang,2,100,300
outside_lvliang,3,100,300
outside_lvliang,4,100,300
outside_lvliang,5,100,300
outside_lvliang,6,100,300
outside_lvliang,7,100,300
outside_lvliang,8,100,300
outside_lvliang,9,100,300
outside_lvliang,10,100,300
outside_lvliang,11,100,300
outside_lvliang,12,100,300
outside_lvliang,13,100,300
outside_lvliang,14,100,300
outside_lvliang,15,100,300
outside_lvliang,16,100,300
outside_lvliang,17,100,300
outside_lvliang,18,100,300
outside_lvliang,19,100,300
outside_lvliang,20,100,300
outside_lvliang,21,100,300
outside_lvliang,22,100,300
outside_lvliang,23,100,300
outside_lvliang,24,100,300
outside_lvliang,25,100,300
outside_lvliang,26,100,300
outside_lvliang,27,100,300
outside_lvliang,28,100,300
outside_lvliang,29,100,300
outside_lvliang,30,100,300
outside_lvliang,31,100,300
outside_lvliang,32,100,300
outside_lvliang,33,100,300
outside_lvliang,34,100,300
outside_lvliang,35,100,300
outside_lvliang,36,100,300
outside_lvliang,37,100,300
outside_lvliang,38,100,300
outside_lvliang,39,100,300
outside_lvliang,40,100,300
outside_lvliang,41,100,300
outside_lvliang,42,100,300
outside_lvliang,43,100,300
outside_lvliang,44,100,300
outside_lvliang,45,100,300
outside_lvliang,46,100,300
outside_lvliang,47,100,300
outside_lvliang,48,100,300
outside_lvliang,49,100,300
outside_lvliang,50,100,300
outside_lvliang,51,100,300
outside_lvliang,52,100,300
outside_lvliang,53,100,300
outside_lvliang,54,100,300
outside_lvliang,55,100,300
outside_lvliang,56,100,300
outside_lvliang,57,100,300
outside_lvliang,58,100,300
outside_lvliang,59,100,300
outside_lvliang,60,100,300
outside_lvliang,61,100,300
outside_lvliang,62,100,300
outside_lvliang,63,100,300
outside_lvliang,64,100,300
outside_lvliang,65,100,300
outside_lvliang,66,100,300
outside_lvliang,67,100,300
outside_lvliang,68,100,300
outside_lvliang,69,100,300
outside_lvliang,70,100,300
outside_lvliang,71,100,300
outside_lvliang,72,100,300
outside_lvliang,73,100,300
outside_lvliang,74,100,300
outside_lvliang,75,100,300
outside_lvliang,76,100,300
outside_lvliang,77,100,300
outside_lvliang,78,100,300
outside_lvliang,79,100,300
outside_lvliang,80,100,300
outside_lvliang,81,100,300
outside_lvliang,82,100,300
outside_lvliang,83,100,300
outside_lvliang,84,100,300
outside_lvliang,85,100,300
outside_lvliang,86,100,300
outside_lvliang,87,100,300
outside_lvliang,88,100,300
outside_lvliang,89,100,300
outside_lvliang,90,100,300
outside_lvliang,91,100,300
outside_lvliang,92,100,300
outside_lvliang,93,100,300
