GENERATION_PROJECT,timepoint,gen_max_capacity_factor
w1,1,0.212916317
w1,2,0.210720131
w1,3,0.201971121
w1,4,0.193222111
w1,5,0.184473102
w1,6,0.178487258
w1,7,0.172501414
w1,8,0.16651557
w1,9,0.193637838
w1,10,0.221152466
w1,11,0.247976352
w1,12,0.256205505
w1,13,0.264434658
w1,14,0.27266381
w1,15,0.260120125
w1,16,0.24757644
w1,17,0.235032755
w1,18,0.223364271
w1,19,0.211695786
w1,20,0.200027302
w1,21,0.205787765
w1,22,0.211548227
w1,23,0.217308689
w1,24,0.215112503
w1,25,0.222805831
w1,26,0.216182834
w1,27,0.208132226
w1,28,0.200081618
w1,29,0.19203101
w1,30,0.187051427
w1,31,0.182071843
w1,32,0.17709226
w1,33,0.204827167
w1,34,0.232068781
w1,35,0.259623955
w1,36,0.268617696
w1,37,0.277611437
w1,38,0.286605178
w1,39,0.275910266
w1,40,0.265215355
w1,41,0.254520443
w1,42,0.237047537
w1,43,0.219574632
w1,44,0.202101726
w1,45,0.213418425
w1,46,0.224735125
w1,47,0.236051824
w1,48,0.229428827
w1,49,0.218805845
w1,50,0.214510884
w1,51,0.205716508
w1,52,0.196922133
w1,53,0.188127758
w1,54,0.183616718
w1,55,0.179105678
w1,56,0.174594638
w1,57,0.197740233
w1,58,0.220399492
w1,59,0.243607992
w1,60,0.253728188
w1,61,0.263848384
w1,62,0.27396858
w1,63,0.261819905
w1,64,0.249671229
w1,65,0.237522553
w1,66,0.221348744
w1,67,0.205174934
w1,68,0.189001125
w1,69,0.201799339
w1,70,0.214597553
w1,71,0.227395767
w1,72,0.223100806
w1,73,0.223884831
w1,74,0.223228368
w1,75,0.212209397
w1,76,0.201190426
w1,77,0.190171454
w1,78,0.186169484
w1,79,0.182167514
w1,80,0.178165544
w1,81,0.198254738
w1,82,0.218336065
w1,83,0.237764661
w1,84,0.249058725
w1,85,0.260352788
w1,86,0.271646852
w1,87,0.260006579
w1,88,0.248366306
w1,89,0.236726034
w1,90,0.225245806
w1,91,0.213765578
w1,92,0.202285349
w1,93,0.209922818
w1,94,0.217560287
w1,95,0.225197755
w1,96,0.224541293
w2,1,0.061538564
w2,2,0.058417876
w2,3,0.054397828
w2,4,0.050377779
w2,5,0.04635773
w2,6,0.04590279
w2,7,0.045447849
w2,8,0.044992908
w2,9,0.06388466
w2,10,0.083371945
w2,11,0.102573509
w2,12,0.111348142
w2,13,0.120122775
w2,14,0.128897408
w2,15,0.117872533
w2,16,0.106847658
w2,17,0.095822782
w2,18,0.084964472
w2,19,0.074106162
w2,20,0.063247852
w2,21,0.064758548
w2,22,0.066269244
w2,23,0.06777994
w2,24,0.064659252
w2,25,0.06595382
w2,26,0.060500439
w2,27,0.056560072
w2,28,0.052619705
w2,29,0.048679338
w2,30,0.050989694
w2,31,0.053300051
w2,32,0.055610407
w2,33,0.075698863
w2,34,0.095632416
w2,35,0.115791697
w2,36,0.122085969
w2,37,0.128380241
w2,38,0.134674513
w2,39,0.124309155
w2,40,0.113943797
w2,41,0.103578439
w2,42,0.091827577
w2,43,0.080076714
w2,44,0.068325851
w2,45,0.071170762
w2,46,0.074015672
w2,47,0.076860583
w2,48,0.071407202
w2,49,0.06296448
w2,50,0.058665097
w2,51,0.055610648
w2,52,0.0525562
w2,53,0.049501751
w2,54,0.049829952
w2,55,0.050158153
w2,56,0.050486354
w2,57,0.068117527
w2,58,0.08560807
w2,59,0.103553203
w2,60,0.112489082
w2,61,0.121424961
w2,62,0.130360839
w2,63,0.120055307
w2,64,0.109749775
w2,65,0.099444243
w2,66,0.086859377
w2,67,0.074274512
w2,68,0.061689646
w2,69,0.064980847
w2,70,0.068272047
w2,71,0.071563247
w2,72,0.067263864
w2,73,0.061550499
w2,74,0.057143144
w2,75,0.056083035
w2,76,0.055022926
w2,77,0.053962817
w2,78,0.051924017
w2,79,0.049885216
w2,80,0.047846416
w2,81,0.064785669
w2,82,0.081591646
w2,83,0.098124296
w2,84,0.106203884
w2,85,0.114283471
w2,86,0.122363058
w2,87,0.113436936
w2,88,0.104510814
w2,89,0.095584692
w2,90,0.084020856
w2,91,0.07245702
w2,92,0.060893184
w2,93,0.064050526
w2,94,0.067207868
w2,95,0.07036521
w2,96,0.065957854
w3,1,0.17081422
w3,2,0.164596009
w3,3,0.158683017
w3,4,0.152770025
w3,5,0.146857033
w3,6,0.140796311
w3,7,0.13473559
w3,8,0.128674868
w3,9,0.153964904
w3,10,0.179961451
w3,11,0.205385892
w3,12,0.219373219
w3,13,0.233360545
w3,14,0.247347871
w3,15,0.229781577
w3,16,0.212215282
w3,17,0.194648988
w3,18,0.180625397
w3,19,0.166601806
w3,20,0.152578216
w3,21,0.162802358
w3,22,0.1730265
w3,23,0.183250643
w3,24,0.177032431
w3,25,0.184877279
w3,26,0.178715241
w3,27,0.169681736
w3,28,0.16064823
w3,29,0.151614725
w3,30,0.150753124
w3,31,0.149891522
w3,32,0.14902992
w3,33,0.17418432
w3,34,0.198923594
w3,35,0.223915307
w3,36,0.234331141
w3,37,0.244746974
w3,38,0.255162808
w3,39,0.238545443
w3,40,0.221928079
w3,41,0.205310714
w3,42,0.191185875
w3,43,0.177061036
w3,44,0.162936197
w3,45,0.174357916
w3,46,0.185779636
w3,47,0.197201355
w3,48,0.191039317
w3,49,0.176744596
w3,50,0.172647193
w3,51,0.163811249
w3,52,0.154975305
w3,53,0.146139361
w3,54,0.144746321
w3,55,0.143353282
w3,56,0.141960242
w3,57,0.165430376
w3,58,0.188505078
w3,59,0.212432585
w3,60,0.22400487
w3,61,0.235577154
w3,62,0.247149439
w3,63,0.231297243
w3,64,0.215445046
w3,65,0.19959285
w3,66,0.182964854
w3,67,0.166336859
w3,68,0.149708864
w3,69,0.161452376
w3,70,0.173195888
w3,71,0.1849394
w3,72,0.180841998
w3,73,0.18011802
w3,74,0.176012812
w3,75,0.170697935
w3,76,0.165383058
w3,77,0.160068181
w3,78,0.153855719
w3,79,0.147643256
w3,80,0.141430793
w3,81,0.165576879
w3,82,0.189329008
w3,83,0.212489244
w3,84,0.221185666
w3,85,0.229882088
w3,86,0.23857851
w3,87,0.222923271
w3,88,0.207268032
w3,89,0.191612793
w3,90,0.176971468
w3,91,0.162330143
w3,92,0.147688819
w3,93,0.161235358
w3,94,0.174781898
w3,95,0.188328438
w3,96,0.184223229
w4,1,0.06589381
w4,2,0.062749966
w4,3,0.058488531
w4,4,0.054227095
w4,5,0.049965659
w4,6,0.049314672
w4,7,0.048663685
w4,8,0.048012698
w4,9,0.067438752
w4,10,0.087477986
w4,11,0.10721856
w4,12,0.116334704
w4,13,0.125450847
w4,14,0.134566991
w4,15,0.123187658
w4,16,0.111808326
w4,17,0.100428993
w4,18,0.089353589
w4,19,0.078278186
w4,20,0.067202782
w4,21,0.068862354
w4,22,0.070521926
w4,23,0.072181498
w4,24,0.069037654
w4,25,0.070389422
w4,26,0.064746824
w4,27,0.060655921
w4,28,0.056565018
w4,29,0.052474116
w4,30,0.054671141
w4,31,0.056868167
w4,32,0.059065193
w4,33,0.079703708
w4,34,0.100177696
w4,35,0.120886013
w4,36,0.127486408
w4,37,0.134086803
w4,38,0.140687198
w4,39,0.12999535
w4,40,0.119303502
w4,41,0.108611654
w4,42,0.096625231
w4,43,0.084638808
w4,44,0.072652384
w4,45,0.075659796
w4,46,0.078667207
w4,47,0.081674619
w4,48,0.07603202
w4,49,0.067171801
w4,50,0.062733241
w4,51,0.059513661
w4,52,0.05629408
w4,53,0.0530745
w4,54,0.053268302
w4,55,0.053462104
w4,56,0.053655906
w4,57,0.071736405
w4,58,0.089667445
w4,59,0.10806707
w4,60,0.117374254
w4,61,0.126681438
w4,62,0.135988623
w4,63,0.12540156
w4,64,0.114814497
w4,65,0.104227434
w4,66,0.091278517
w4,67,0.0783296
w4,68,0.065380683
w4,69,0.068936762
w4,70,0.072492842
w4,71,0.076048922
w4,72,0.071610362
w4,73,0.065847728
w4,74,0.06122604
w4,75,0.060024383
w4,76,0.058822727
w4,77,0.05762107
w4,78,0.055372612
w4,79,0.053124153
w4,80,0.050875695
w4,81,0.068402855
w4,82,0.0857883
w4,83,0.102887151
w4,84,0.111301266
w4,85,0.119715382
w4,86,0.128129497
w4,87,0.118837417
w4,88,0.109545337
w4,89,0.100253257
w4,90,0.088493686
w4,91,0.076734116
w4,92,0.064974545
w4,93,0.068346732
w4,94,0.071718919
w4,95,0.075091105
w4,96,0.070469417
w5,1,0.102041585
w5,2,0.098633818
w5,3,0.09480638
w5,4,0.090978943
w5,5,0.087151505
w5,6,0.085400814
w5,7,0.083650123
w5,8,0.081899432
w5,9,0.101297356
w5,10,0.121375134
w5,11,0.141059986
w5,12,0.150417754
w5,13,0.159775522
w5,14,0.16913329
w5,15,0.160208047
w5,16,0.151282804
w5,17,0.142357561
w5,18,0.12667096
w5,19,0.110984359
w5,20,0.095297758
w5,21,0.099817545
w5,22,0.104337331
w5,23,0.108857118
w5,24,0.105449351
w5,25,0.108777856
w5,26,0.104390519
w5,27,0.100956037
w5,28,0.097521555
w5,29,0.094087073
w5,30,0.094823368
w5,31,0.095559664
w5,32,0.096295959
w5,33,0.116698999
w5,34,0.136833805
w5,35,0.157365102
w5,36,0.162812966
w5,37,0.16826083
w5,38,0.173708694
w5,39,0.163235712
w5,40,0.15276273
w5,41,0.142289748
