LOAD_ZONE,TIMEPOINT,dr_shift_down_limit,dr_shift_up_limit
inside_lvliang,1,75.68761547,75.68761547
inside_lvliang,2,75.14654163,75.14654163
inside_lvliang,3,74.28904499,74.28904499
inside_lvliang,4,73.28493056,73.28493056
inside_lvliang,5,72.42167777,72.42167777
inside_lvliang,6,72.50226327,72.50226327
inside_lvliang,7,74.11619894,74.11619894
inside_lvliang,8,77.28971314,77.28971314
inside_lvliang,9,77.22655889,77.22655889
inside_lvliang,10,78.25402354,78.25402354
inside_lvliang,11,75.68745257,75.68745257
inside_lvliang,12,75.29028134,75.29028134
inside_lvliang,13,75.67865548,75.67865548
inside_lvliang,14,72.4877101,72.4877101
inside_lvliang,15,71.78850628,71.78850628
inside_lvliang,16,72.61977469,72.61977469
inside_lvliang,17,74.24826353,74.24826353
inside_lvliang,18,80.69330857,80.69330857
inside_lvliang,19,85.74298699,85.74298699
inside_lvliang,20,87.08991544,87.08991544
inside_lvliang,21,84.83113318,84.83113318
inside_lvliang,22,84.2873442,84.2873442
inside_lvliang,23,81.26044778,81.26044778
inside_lvliang,24,76.98480251,76.98480251
inside_lvliang,25,75.68761547,75.68761547
inside_lvliang,26,75.14654163,75.14654163
inside_lvliang,27,74.28904499,74.28904499
inside_lvliang,28,73.28493056,73.28493056
inside_lvliang,29,72.42167777,72.42167777
inside_lvliang,30,72.50226327,72.50226327
inside_lvliang,31,74.11619894,74.11619894
inside_lvliang,32,77.28971314,77.28971314
inside_lvliang,33,77.22655889,77.22655889
inside_lvliang,34,78.25402354,78.25402354
inside_lvliang,35,75.68745257,75.68745257
inside_lvliang,36,75.29028134,75.29028134
inside_lvliang,37,75.67865548,75.67865548
inside_lvliang,38,72.4877101,72.4877101
inside_lvliang,39,71.78850628,71.78850628
inside_lvliang,40,72.61977469,72.61977469
inside_lvliang,41,74.24826353,74.24826353
inside_lvliang,42,80.69330857,80.69330857
inside_lvliang,43,85.74298699,85.74298699
inside_lvliang,44,87.08991544,87.08991544
inside_lvliang,45,84.83113318,84.83113318
inside_lvliang,46,84.2873442,84.2873442
inside_lvliang,47,81.26044778,81.26044778
inside_lvliang,48,76.98480251,76.98480251
inside_lvliang,49,75.68761547,75.68761547
inside_lvliang,50,75.14654163,75.14654163
inside_lvliang,51,74.28904499,74.28904499
inside_lvliang,52,73.28493056,73.28493056
inside_lvliang,53,72.42167777,72.42167777
inside_lvliang,54,72.50226327,72.50226327
inside_lvliang,55,74.11619894,74.11619894
inside_lvliang,56,77.28971314,77.28971314
inside_lvliang,57,77.22655889,77.22655889
inside_lvliang,58,78.25402354,78.25402354
inside_lvliang,59,75.68745257,75.68745257
inside_lvliang,60,75.29028134,75.29028134
inside_lvliang,61,75.67865548,75.67865548
inside_lvliang,62,72.4877101,72.4877101
inside_lvliang,63,71.78850628,71.78850628
inside_lvliang,64,72.61977469,72.61977469
inside_lvliang,65,74.24826353,74.24826353
inside_lvliang,66,80.69330857,80.69330857
inside_lvliang,67,85.74298699,85.74298699
inside_lvliang,68,87.08991544,87.08991544
inside_lvliang,69,84.83113318,84.83113318
inside_lvliang,70,84.2873442,84.2873442
