GENERATION_PROJECT,timepoint,gen_max_capacity_factor
w1,1,0
w1,2,0
w1,3,0
w1,4,0.052641
w1,5,0.105282
w1,6,0.157923
w1,7,0.207139
w1,8,0.256356
w1,9,0.305572
w1,10,0.244899
w1,11,0.184227
w1,12,0.123555
w1,13,0.08237
w1,14,0.041185
w1,15,0
w1,16,0
w1,17,0
w1,18,0
w1,19,0.00889
w1,20,0.01778
w1,21,0.026669
w1,22,0.01778
w1,23,0.00889
w1,24,0
w1,25,0
w1,26,0
w1,27,0
w1,28,0.052641
w1,29,0.105282
w1,30,0.157923
w1,31,0.207139
w1,32,0.256356
w1,33,0.305572
w1,34,0.244899
w1,35,0.184227
w1,36,0.123555
w1,37,0.08237
w1,38,0.041185
w1,39,0
w1,40,0
w1,41,0
w1,42,0
w1,43,0.00889
w1,44,0.01778
w1,45,0.026669
w1,46,0.01778
w1,47,0.00889
w1,48,0
w1,49,0
w1,50,0
w1,51,0
w1,52,0.052641
w1,53,0.105282
w1,54,0.157923
w1,55,0.207139
w1,56,0.256356
w1,57,0.305572
w1,58,0.244899
w1,59,0.184227
w1,60,0.123555
w1,61,0.08237
w1,62,0.041185
w1,63,0
w1,64,0
w1,65,0
w1,66,0
w1,67,0.00889
w1,68,0.01778
w1,69,0.026669
w1,70,0.01778
w1,71,0.00889
w1,72,0
w1,73,0
w1,74,0
w1,75,0
w1,76,0.052641
w1,77,0.105282
w1,78,0.157923
w1,79,0.207139
w1,80,0.256356
w1,81,0.305572
w1,82,0.244899
w1,83,0.184227
w1,84,0.123555
w1,85,0.08237
w1,86,0.041185
w1,87,0
w1,88,0
w1,89,0
w1,90,0
w1,91,0.00889
w1,92,0.01778
w1,93,0.026669
w1,94,0.01778
w1,95,0.00889
w1,96,0
w2,1,0
w2,2,0.089587209
w2,3,0.264048497
w2,4,0.438509785
w2,5,0.612971074
w2,6,0.787432362
w2,7,0.818852069
w2,8,0.850271775
w2,9,0.881691482
w2,10,0.771717523
w2,11,0.661743564
w2,12,0.551769605
w2,13,0.400101228
w2,14,0.248432852
w2,15,0.096764475
w2,16,0.08511313
w2,17,0.073461785
w2,18,0.06181044
w2,19,0.316324816
w2,20,0.570839191
w2,21,0.825353567
w2,22,0.806350461
w2,23,0.787347354
w2,24,0.768344248
w2,25,0
w2,26,0.089587209
w2,27,0.264048497
w2,28,0.438509785
w2,29,0.612971074
w2,30,0.787432362
w2,31,0.818852069
w2,32,0.850271775
w2,33,0.881691482
w2,34,0.771717523
w2,35,0.661743564
w2,36,0.551769605
w2,37,0.400101228
w2,38,0.248432852
w2,39,0.096764475
w2,40,0.08511313
w2,41,0.073461785
w2,42,0.06181044
w2,43,0.316324816
w2,44,0.570839191
w2,45,0.825353567
w2,46,0.806350461
w2,47,0.787347354
w2,48,0.768344248
w2,49,0
w2,50,0.089587209
w2,51,0.264048497
w2,52,0.438509785
w2,53,0.612971074
w2,54,0.787432362
w2,55,0.818852069
w2,56,0.850271775
w2,57,0.881691482
w2,58,0.771717523
w2,59,0.661743564
w2,60,0.551769605
w2,61,0.400101228
w2,62,0.248432852
w2,63,0.096764475
w2,64,0.08511313
w2,65,0.073461785
w2,66,0.06181044
w2,67,0.316324816
w2,68,0.570839191
w2,69,0.825353567
w2,70,0.806350461
w2,71,0.787347354
w2,72,0.768344248
w2,73,0
w2,74,0.089587209
w2,75,0.264048497
w2,76,0.438509785
w2,77,0.612971074
w2,78,0.787432362
w2,79,0.818852069
w2,80,0.850271775
w2,81,0.881691482
w2,82,0.771717523
w2,83,0.661743564
w2,84,0.551769605
w2,85,0.400101228
w2,86,0.248432852
w2,87,0.096764475
w2,88,0.08511313
w2,89,0.073461785
w2,90,0.06181044
w2,91,0.316324816
w2,92,0.570839191
w2,93,0.825353567
w2,94,0.806350461
w2,95,0.787347354
w2,96,0.768344248
w3,1,0.549391002
w3,2,0.616328801
w3,3,0.683266601
w3,4,0.750204401
w3,5,0.8171422
w3,6,0.88408
w3,7,0.797895771
w3,8,0.711711543
w3,9,0.625527314
w3,10,0.529207319
w3,11,0.432887324
w3,12,0.336567329
w3,13,0.343410697
w3,14,0.350254064
w3,15,0.357097432
w3,16,0.274406042
w3,17,0.191714652
w3,18,0.109023262
w3,19,0.268308524
w3,20,0.427593785
w3,21,0.586879047
w3,22,0.600281335
w3,23,0.613683622
w3,24,0.62708591
w3,25,0.549391002
w3,26,0.616328801
w3,27,0.683266601
w3,28,0.750204401
w3,29,0.8171422
w3,30,0.88408
w3,31,0.797895771
w3,32,0.711711543
w3,33,0.625527314
w3,34,0.529207319
w3,35,0.432887324
w3,36,0.336567329
w3,37,0.343410697
w3,38,0.350254064
w3,39,0.357097432
w3,40,0.274406042
w3,41,0.191714652
w3,42,0.109023262
w3,43,0.268308524
w3,44,0.427593785
w3,45,0.586879047
w3,46,0.600281335
w3,47,0.613683622
w3,48,0.62708591
w3,49,0.549391002
w3,50,0.616328801
w3,51,0.683266601
w3,52,0.750204401
w3,53,0.8171422
w3,54,0.88408
w3,55,0.797895771
w3,56,0.711711543
w3,57,0.625527314
w3,58,0.529207319
w3,59,0.432887324
w3,60,0.336567329
w3,61,0.343410697
w3,62,0.350254064
w3,63,0.357097432
w3,64,0.274406042
w3,65,0.191714652
w3,66,0.109023262
w3,67,0.268308524
w3,68,0.427593785
w3,69,0.586879047
w3,70,0.600281335
w3,71,0.613683622
w3,72,0.62708591
w3,73,0.549391002
w3,74,0.616328801
w3,75,0.683266601
w3,76,0.750204401
w3,77,0.8171422
w3,78,0.88408
w3,79,0.797895771
w3,80,0.711711543
w3,81,0.625527314
w3,82,0.529207319
w3,83,0.432887324
w3,84,0.336567329
w3,85,0.343410697
w3,86,0.350254064
w3,87,0.357097432
w3,88,0.274406042
w3,89,0.191714652
w3,90,0.109023262
w3,91,0.268308524
w3,92,0.427593785
w3,93,0.586879047
w3,94,0.600281335
w3,95,0.613683622
w3,96,0.62708591
w4,1,0.04072517
w4,2,0.151353028
w4,3,0.261980886
w4,4,0.372608744
w4,5,0.483236602
w4,6,0.59386446
w4,7,0.650493669
w4,8,0.707122878
w4,9,0.763752087
w4,10,0.58045938
w4,11,0.397166672
w4,12,0.213873965
w4,13,0.302914424
w4,14,0.391954884
w4,15,0.480995343
w4,16,0.320663562
w4,17,0.160331781
w4,18,0
w4,19,0.067030341
w4,20,0.134060682
w4,21,0.201091023
w4,22,0.375583065
w4,23,0.550075106
w4,24,0.724567148
w4,25,0.04072517
w4,26,0.151353028
w4,27,0.261980886
w4,28,0.372608744
w4,29,0.483236602
w4,30,0.59386446
w4,31,0.650493669
w4,32,0.707122878
w4,33,0.763752087
w4,34,0.58045938
w4,35,0.397166672
w4,36,0.213873965
w4,37,0.302914424
w4,38,0.391954884
w4,39,0.480995343
w4,40,0.320663562
w4,41,0.160331781
w4,42,0
w4,43,0.067030341
w4,44,0.134060682
w4,45,0.201091023
w4,46,0.375583065
w4,47,0.550075106
