GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
G109041,2015,557692,10600
G109042,2015,557692,10600
G106470,2019,557692,10600
G106471,2019,557692,10600
G106348,2012,557692,10600
G106349,2014,557692,10600
G106344,1995,557692,10600
G106345,1996,557692,10600
G106346,2008,557692,10600
G106347,2008,557692,10600
G114088,2007,557692,10600
G114089,2007,557692,10600
G114090,2007,557692,10600
G112778,2007,557692,10600
G112779,2007,557692,10600
G111092,2021,557692,10600
G111093,2021,557692,10600
outside_coal,2015,557692,10600
w1,2020,537000,26850
w1,2025,537000,26850
w1,2030,537000,26850
w1,2035,537000,26850
w2,2020,537000,26850
w2,2025,537000,26850
w2,2030,537000,26850
w2,2035,537000,26850
w3,2020,537000,26850
w3,2025,537000,26850
w3,2030,537000,26850
w3,2035,537000,26850
w4,2020,537000,26850
w4,2025,537000,26850
w4,2030,537000,26850
w4,2035,537000,26850
w5,2020,537000,26850
w5,2025,537000,26850
w5,2030,537000,26850
w5,2035,537000,26850
w6,2020,537000,26850
w6,2025,537000,26850
w6,2030,537000,26850
w6,2035,537000,26850
w7,2020,537000,26850
w7,2025,537000,26850
w7,2030,537000,26850
w7,2035,537000,26850
w8,2020,537000,26850
w8,2025,537000,26850
w8,2030,537000,26850
w8,2035,537000,26850
w9,2020,537000,26850
w9,2025,537000,26850
w9,2030,537000,26850
w9,2035,537000,26850
w10,2020,537000,26850
w10,2025,537000,26850
w10,2030,537000,26850
w10,2035,537000,26850
w11,2020,537000,26850
w11,2025,537000,26850
w11,2030,537000,26850
w11,2035,537000,26850
s1,2020,267000,13350
s1,2025,267000,13350
s1,2030,267000,13350
s1,2035,267000,13350
s2,2020,267000,13350
s2,2025,267000,13350
s2,2030,267000,13350
s2,2035,267000,13350
s3,2020,267000,13350
s3,2025,267000,13350
s3,2030,267000,13350
s3,2035,267000,13350
s4,2020,267000,13350
s4,2025,267000,13350
s4,2030,267000,13350
s4,2035,267000,13350
s5,2020,267000,13350
s5,2025,267000,13350
s5,2030,267000,13350
s5,2035,267000,13350
s6,2020,267000,13350
s6,2025,267000,13350
s6,2030,267000,13350
s6,2035,267000,13350
s7,2020,267000,13350
s7,2025,267000,13350
s7,2030,267000,13350
s7,2035,267000,13350
s8,2020,267000,13350
s8,2025,267000,13350
s8,2030,267000,13350
s8,2035,267000,13350
s9,2020,267000,13350
s9,2025,267000,13350
s9,2030,267000,13350
s9,2035,267000,13350
s10,2020,267000,13350
s10,2025,267000,13350
s10,2030,267000,13350
s10,2035,267000,13350
s11,2020,267000,13350
s11,2025,267000,13350
s11,2030,267000,13350
s11,2035,267000,13350
G109041_H2,2020,10000,10600
G109041_H2,2025,10000,10600
G109041_H2,2030,10000,10600
G109041_H2,2035,10000,10600
G109042_H2,2020,10000,10600
G109042_H2,2025,10000,10600
G109042_H2,2030,10000,10600
G109042_H2,2035,10000,10600
G106470_H2,2020,10000,10600
G106470_H2,2025,10000,10600
G106470_H2,2030,10000,10600
G106470_H2,2035,10000,10600
G106471_H2,2020,10000,10600
G106471_H2,2025,10000,10600
G106471_H2,2030,10000,10600
G106471_H2,2035,10000,10600
G106348_H2,2020,10000,10600
G106348_H2,2025,10000,10600
G106348_H2,2030,10000,10600
G106348_H2,2035,10000,10600
G106349_H2,2020,10000,10600
G106349_H2,2025,10000,10600
G106349_H2,2030,10000,10600
G106349_H2,2035,10000,10600
G106344_H2,2020,10000,10600
G106344_H2,2025,10000,10600
G106344_H2,2030,10000,10600
G106344_H2,2035,10000,10600
G106345_H2,2020,10000,10600
G106345_H2,2025,10000,10600
G106345_H2,2030,10000,10600
G106345_H2,2035,10000,10600
G106346_H2,2020,10000,10600
G106346_H2,2025,10000,10600
G106346_H2,2030,10000,10600
G106346_H2,2035,10000,10600
G106347_H2,2020,10000,10600
G106347_H2,2025,10000,10600
G106347_H2,2030,10000,10600
G106347_H2,2035,10000,10600
G114088_H2,2020,10000,10600
G114088_H2,2025,10000,10600
G114088_H2,2030,10000,10600
G114088_H2,2035,10000,10600
G114089_H2,2020,10000,10600
G114089_H2,2025,10000,10600
G114089_H2,2030,10000,10600
G114089_H2,2035,10000,10600
G114090_H2,2020,10000,10600
G114090_H2,2025,10000,10600
G114090_H2,2030,10000,10600
G114090_H2,2035,10000,10600
G112778_H2,2020,10000,10600
G112778_H2,2025,10000,10600
G112778_H2,2030,10000,10600
G112778_H2,2035,10000,10600
G112779_H2,2020,10000,10600
G112779_H2,2025,10000,10600
G112779_H2,2030,10000,10600
G112779_H2,2035,10000,10600
G111092_H2,2020,10000,10600
G111092_H2,2025,10000,10600
G111092_H2,2030,10000,10600
G111092_H2,2035,10000,10600
G111093_H2,2020,10000,10600
G111093_H2,2025,10000,10600
G111093_H2,2030,10000,10600
G111093_H2,2035,10000,10600
outside_coal_H2,2020,10000,10600
outside_coal_H2,2025,10000,10600
outside_coal_H2,2030,10000,10600
outside_coal_H2,2035,10000,10600
