GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_suspend
G109041,1,inside_lvliang,3000,300,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G109042,2,inside_lvliang,3000,300,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G106470,3,inside_lvliang,3000,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G106471,4,inside_lvliang,3000,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G106348,5,inside_lvliang,3000,300,10.438,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G106349,6,inside_lvliang,3000,300,9.579,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G106344,7,inside_lvliang,3000,100,12.184,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G106345,8,inside_lvliang,3000,100,12.184,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G106346,9,inside_lvliang,3000,600,9.579,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G106347,10,inside_lvliang,3000,600,9.579,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G114088,11,inside_lvliang,3000,135,11.315,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G114089,12,inside_lvliang,3000,135,12.315,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G114090,13,inside_lvliang,3000,135,13.315,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G112778,14,inside_lvliang,3000,50,14.315,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G112779,15,inside_lvliang,3000,50,15.315,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G111092,16,inside_lvliang,3000,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
G111093,17,inside_lvliang,3000,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
outside_coal,outside,outside_lvliang,3000,.,9.258,4.57,41,0,0.08,0.12,0,1,0,Coal,.,.,.,.,.,1
w1,wind1,inside_lvliang,2500,1639.92,.,0,20,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,1
w2,wind2,inside_lvliang,2500,220.44,.,0,20,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,1
w3,wind3,inside_lvliang,2500,3066.16,.,0,20,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,1
w4,wind4,inside_lvliang,2500,505.28,.,0,20,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,1
w5,wind5,inside_lvliang,2500,3413.04,.,0,20,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,1
w6,wind6,inside_lvliang,2500,804.28,.,0,20,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,1
w7,wind7,inside_lvliang,2500,807.48,.,0,20,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,1
w8,wind8,inside_lvliang,2500,1497.36,.,0,20,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,1
w9,wind9,inside_lvliang,2500,1397.08,.,0,20,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,1
w10,wind10,inside_lvliang,2500,363.72,.,0,20,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,1
w11,wind11,inside_lvliang,2500,149.88,.,0,20,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,1
s1,PV1,inside_lvliang,2500,1946,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,1
s2,PV2,inside_lvliang,2500,1.1088,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,1
s3,PV3,inside_lvliang,2500,3486,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,1
s4,PV4,inside_lvliang,2500,644,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,1
s5,PV5,inside_lvliang,2500,1918,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,1
s6,PV6,inside_lvliang,2500,1.1117,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,1
s7,PV7,inside_lvliang,2500,469,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,1
s8,PV8,inside_lvliang,2500,924,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,1
s9,PV9,inside_lvliang,2500,203,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,1
s10,PV10,inside_lvliang,2500,861,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,1
s11,PV11,inside_lvliang,2500,1.1205,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,1
G109041_H2,hydrogen1,inside_lvliang,3000,300,9.258,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G109042_H2,hydrogen2,inside_lvliang,3000,300,9.258,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G106470_H2,hydrogen3,inside_lvliang,3000,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G106471_H2,hydrogen4,inside_lvliang,3000,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G106348_H2,hydrogen5,inside_lvliang,3000,300,10.438,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G106349_H2,hydrogen6,inside_lvliang,3000,300,9.579,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G106344_H2,hydrogen7,inside_lvliang,3000,100,12.184,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G106345_H2,hydrogen8,inside_lvliang,3000,100,12.184,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G106346_H2,hydrogen9,inside_lvliang,3000,600,9.579,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G106347_H2,hydrogen10,inside_lvliang,3000,600,9.579,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G114088_H2,hydrogen11,inside_lvliang,3000,135,11.315,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G114089_H2,hydrogen12,inside_lvliang,3000,135,12.315,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G114090_H2,hydrogen13,inside_lvliang,3000,135,13.315,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G112778_H2,hydrogen14,inside_lvliang,3000,50,14.315,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G112779_H2,hydrogen15,inside_lvliang,3000,50,15.315,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G111092_H2,hydrogen16,inside_lvliang,3000,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
G111093_H2,hydrogen17,inside_lvliang,3000,350,9.258,0.457,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
outside_coal_H2,hydrogen_outside,outside_lvliang,3000,.,9.258,4.57,41,0,0.08,0.12,0,1,0,Hydrogen,.,.,.,.,.,1
