TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,2.72838572438182
Central,North,2,5.5300869241453885
Central,North,3,2.178403323818638
Central,North,4,1.848413883480729
Central,North,5,1.6284209232554563
Central,North,6,1.9909180991075317
Central,North,7,0.06235906031762717
Central,South,1,7.150673960396324
Central,South,2,11.795367229099734
Central,South,3,8.519015053206438
Central,South,4,8.10624475670129
Central,South,5,5.895731300691997
Central,South,6,8.142467915758614
Central,South,7,11.795367229099734
North,Central,1,0.0
North,Central,2,3.7455993608543348
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.0
South,Central,1,3.291578518284687
South,Central,2,6.6016239817845825
South,Central,3,4.049836040985541
South,Central,4,2.9226556159137846
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
