GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
C-Biomass_IGCC,2020,2020,0.0
C-Biomass_IGCC,2020,2030,0.0
C-Biomass_IGCC,2030,2030,0.0
C-Central_PV-1,2020,2020,0.0
C-Central_PV-1,2020,2030,0.0
C-Central_PV-1,2030,2030,0.0
C-Central_PV-2,2020,2020,0.0
C-Central_PV-2,2020,2030,0.0
C-Central_PV-2,2030,2030,0.0
C-Coal_IGCC,2020,2020,0.0
C-Coal_IGCC,2020,2030,0.0
C-Coal_IGCC,2030,2030,0.0
C-Coal_ST,1985,2020,0.0
C-Commercial_PV,2020,2020,0.0
C-Commercial_PV,2020,2030,0.0
C-Commercial_PV,2030,2030,0.0
C-NG_CC,2005,2020,0.0
C-NG_CC,2020,2020,0.0
C-NG_CC,2020,2030,0.0
C-NG_CC,2030,2030,0.0
C-NG_GT,2005,2020,0.0
C-NG_GT,2020,2020,0.0
C-NG_GT,2020,2030,0.0
C-NG_GT,2030,2030,0.0
C-Nuclear,2030,2030,0.0
C-Residential_PV,2020,2020,0.0
C-Residential_PV,2020,2030,0.0
C-Residential_PV,2030,2030,0.0
C-Wind-1,2020,2020,0.0
C-Wind-1,2020,2030,0.0
C-Wind-1,2030,2030,0.0
C-Wind-2,2020,2020,0.0
C-Wind-2,2020,2030,0.0
C-Wind-2,2030,2030,0.0
N-Biomass_IGCC,2020,2020,0.0
N-Biomass_IGCC,2020,2030,0.0
N-Biomass_IGCC,2030,2030,0.0
N-Biomass_IGCC_CCS,2030,2030,0.0
N-Central_PV-1,2020,2020,0.0
N-Central_PV-1,2020,2030,0.0
N-Central_PV-1,2030,2030,0.0
N-Central_PV-2,2020,2020,0.0
N-Central_PV-2,2020,2030,0.0
N-Central_PV-2,2030,2030,0.0
N-Coal_IGCC,2020,2020,0.0
N-Coal_IGCC,2020,2030,0.0
N-Coal_IGCC,2030,2030,0.0
N-Coal_IGCC_CCS,2030,2030,0.0
N-Coal_ST,1995,2020,0.0
N-Coal_ST,1995,2030,0.0
N-Commercial_PV,2020,2020,0.0
N-Commercial_PV,2020,2030,0.0
N-Commercial_PV,2030,2030,0.0
N-Geothermal,2000,2020,0.0
N-Geothermal,2020,2020,0.0
N-Geothermal,2020,2030,0.0
N-Geothermal,2030,2030,0.0
N-NG_CC,2008,2020,0.0
N-NG_CC,2020,2020,0.0
N-NG_CC,2020,2030,0.0
N-NG_CC,2030,2030,0.0
N-NG_CC_CCS,2030,2030,0.0
N-NG_GT,2009,2020,0.0
N-NG_GT,2020,2020,0.0
N-NG_GT,2020,2030,0.0
N-NG_GT,2030,2030,0.0
N-Nuclear,2030,2030,0.0
N-Residential_PV,2020,2020,0.0
N-Residential_PV,2020,2030,0.0
N-Residential_PV,2030,2030,0.0
N-Wind-1,2020,2020,0.0
N-Wind-1,2020,2030,0.0
N-Wind-1,2030,2030,0.0
N-Wind-2,2020,2020,0.0
N-Wind-2,2020,2030,0.0
N-Wind-2,2030,2030,0.0
S-Biomass_IGCC,2020,2020,0.0
S-Biomass_IGCC,2020,2030,0.0
S-Biomass_IGCC,2030,2030,0.0
S-Biomass_IGCC_CCS,2030,2030,0.0
S-Central_PV-1,2020,2020,0.0
S-Central_PV-1,2020,2030,0.0
S-Central_PV-1,2030,2030,0.0
S-Central_PV-2,2020,2020,0.0
S-Central_PV-2,2020,2030,0.0
S-Central_PV-2,2030,2030,0.0
S-Commercial_PV,2020,2020,0.0
S-Commercial_PV,2020,2030,0.0
S-Commercial_PV,2030,2030,0.0
S-Geothermal,1998,2020,0.0
S-Geothermal,2020,2020,0.0
S-Geothermal,2020,2030,0.0
S-Geothermal,2030,2030,0.0
S-NG_CC,2020,2020,0.0
S-NG_CC,2020,2030,0.0
S-NG_CC,2030,2030,0.0
S-NG_CC_CCS,2030,2030,0.0
S-NG_GT,2002,2020,0.0
S-NG_GT,2020,2020,0.0
S-NG_GT,2020,2030,0.0
S-NG_GT,2030,2030,0.0
S-Residential_PV,2020,2020,0.0
S-Residential_PV,2020,2030,0.0
S-Residential_PV,2030,2030,0.0
