PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,FuelCostsPerTP,timepoint,1343061.9201688091,1714125.1660072983
2020,GenVariableOMCostsInTP,timepoint,1264380.1793061357,1613705.1108388654
2020,LocalTDFixedCosts,annual,1593108.5907511995,2033255.1214361144
2020,TotalGenFixedCosts,annual,6350126.695613096,8104549.621150046
2020,TxFixedCosts,annual,283826.41246505,362242.4171796636
2030,FuelCostsPerTP,timepoint,748906.8960124606,1556923.6498758036
2030,GenVariableOMCostsInTP,timepoint,208910.76830353038,434310.4832086886
2030,LocalTDFixedCosts,annual,1029341.3593487587,2139926.758183738
2030,TotalGenFixedCosts,annual,3418860.9886652334,7107566.450826365
2030,TxFixedCosts,annual,174244.79631722035,362242.4171796636
