gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Solar,2020,11.89794963595875,0.0,0.0,7.2464846650050685,1432674.5050101615,261415.38323046215,142.38502767910836,0.1873028870041572
Central_PV,Solar,2030,24.320719461605957,0.0,0.0,7.2464846650050685,1432674.5050101615,261415.38323046215,69.65643138530702,0.3828666817991667
Coal_IGCC,Coal,2020,78.89422976032323,383880.38739859033,59911.01577231329,11.11666360077987,2535747.500862846,257221.80906028496,40.26719960347967,0.8096
Coal_IGCC,Coal,2030,78.89444576154365,383881.43840868864,59911.17980018406,11.11666360077987,2535747.500862846,257221.80906028496,40.26721292524099,0.8096
Coal_IGCC_CCS,Coal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_ST,Coal,2020,29.664062784000002,103824.219744,26209.97931343104,4.0,823680.3345779361,85560.0,34.151240903803505,0.846
Coal_ST,Coal,2030,14.832072,50429.044799999996,12750.835656959998,2.0,411840.16728896805,42780.0,34.051250212521666,0.846
Commercial_PV,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,Geothermal,2020,33.962222434248005,1126000.5036962752,0.0,4.0,1826293.1651901624,0.0,86.92875369396619,0.96858075
Geothermal,Geothermal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_CC,NaturalGas,2020,0.0,0.0,0.0,4.0,453639.7902272075,23473.2,0.0,0.0
NG_CC,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_CC_CCS,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG_GT,NaturalGas,2020,0.0,0.0,0.0,6.0,375493.1329909859,29350.800000000003,0.0,0.0
NG_GT,NaturalGas,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,Uranium,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,Wind,2030,83.49277524940005,0.0,0.0,11.66513458021114,1593092.575797859,572794.5095757815,25.941083031386004,0.8165027975195037
