load_zone,timestamp,ZoneTotalDistributedDispatch,InjectIntoDistributedGrid,zone_demand_mw
Central,1,0,3.7,-3.7
Central,2,0,3.0,-3.0
Central,3,0,3.6,-3.6
Central,4,0,3.3,-3.3
Central,5,0,3.0,-3.0
Central,6,0,4.0,-4.0
Central,7,0,4.6,-4.6
North,1,0,5.0,-5.0
North,2,0,4.0,-4.0
North,3,0,4.5,-4.5
North,4,0,4.2,-4.2
North,5,0,4.0,-4.0
North,6,0,6.0,-6.0
North,7,0,6.0,-6.0
South,1,0,6.0,-6.0
South,2,0,7.0,-7.0
South,3,0,6.5,-6.5
South,4,0,7.2,-7.2
South,5,0,8.0,-8.0
South,6,0,10.0,-10.0
South,7,0,10.5,-10.5
