PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,CogenFixedCost,annual,119600129.97307277,119600129.97307277
2020,EmissionsCosts,annual,0.0,0.0
2020,FuelCostsPerTP,timepoint,992231513.6825153,992231513.6825153
2020,GenVariableOMCostsInTP,timepoint,10357487.275564628,10357487.275564628
2020,HydrogenFixedCostAnnual,annual,25325.940699993793,25325.940699993793
2020,HydrogenVariableCost,timepoint,0.0,0.0
2020,LocalTDFixedCosts,annual,250765120.6919384,250765120.6919384
2020,TotalGenFixedCosts,annual,357953038.12225133,357953038.12225133
2020,TxFixedCosts,annual,13825186.346118487,13825186.346118487
2025,CogenFixedCost,annual,96673050.83136517,123382032.36669669
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,775621551.7989911,989911486.0386913
2025,GenVariableOMCostsInTP,timepoint,8148516.825940413,10399801.786668774
2025,HydrogenFixedCostAnnual,annual,19843.537228873654,25325.940699993793
2025,HydrogenVariableCost,timepoint,0.0,0.0
2025,LocalTDFixedCosts,annual,196481033.6997549,250765120.6919384
2025,TotalGenFixedCosts,annual,302069823.7131377,385526146.592703
2025,TxFixedCosts,annual,10832395.258486299,13825186.346118487
2030,CogenFixedCost,annual,76209014.99917021,124136455.04414986
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,611637529.2437938,996293084.9206464
2030,GenVariableOMCostsInTP,timepoint,6426893.5860340465,10468732.429161265
2030,HydrogenFixedCostAnnual,annual,15547.93065411352,25325.940699993793
2030,HydrogenVariableCost,timepoint,0.0,0.0
2030,LocalTDFixedCosts,annual,153948031.11852902,250765120.6919384
2030,TotalGenFixedCosts,annual,234090372.5466225,381308550.02152306
2030,TxFixedCosts,annual,8487465.13055288,13825186.346118487
2035,CogenFixedCost,annual,69481942.57195169,144447968.37307277
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,377223750.8027447,784221085.4870777
2035,GenVariableOMCostsInTP,timepoint,4005193.86103051,8326510.381701748
2035,HydrogenFixedCostAnnual,annual,12182.210501935006,25325.940699993793
2035,HydrogenVariableCost,timepoint,0.0,0.0
2035,LocalTDFixedCosts,annual,120622310.65766807,250765120.6919384
2035,TotalGenFixedCosts,annual,293206164.1101558,609554556.9457172
2035,TxFixedCosts,annual,6650151.016776816,13825186.346118487
