load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,CogenZonalOutput,WithdrawFromCentralGrid,RunElectrolyzerMW,LiquefyHydrogenMW
inside_lvliang,20200100,2790.22,-1111.41,797.334,2475.9,0.24426,0
inside_lvliang,20200101,2784.58,-1111.41,797.334,2470.26,0.24426,0
inside_lvliang,20200102,2777.62,-1111.41,797.334,2463.29,0.24426,0
inside_lvliang,20200103,2770.65,-1111.41,797.334,2456.33,0.24426,0
inside_lvliang,20200104,2763.69,-1111.41,797.334,2449.36,0.24426,0
inside_lvliang,20200105,2777.75,-1111.41,797.334,2463.42,0.24426,0
inside_lvliang,20200106,2791.81,-1111.41,797.334,2477.48,0.24426,0
inside_lvliang,20200107,2805.86,-1111.41,797.334,2491.54,0.24426,0
inside_lvliang,20200108,2961.06,-1111.41,797.334,2646.74,0.24426,0
inside_lvliang,20200109,3116.87,-1111.41,780.252,2785.46,0.24426,0
inside_lvliang,202001010,3270.96,-1111.41,626.158,2785.46,0.24426,0
inside_lvliang,202001011,3360.96,-1111.41,536.165,2785.46,0.24426,0
inside_lvliang,202001012,3450.96,-1111.41,446.158,2785.46,0.24426,0
inside_lvliang,202001013,3540.92,-1111.41,356.202,2785.46,0.24426,0
inside_lvliang,202001014,3455.82,-1111.41,441.299,2785.46,0.24426,0
inside_lvliang,202001015,3370.84,-1111.41,526.277,2785.46,0.24426,0
inside_lvliang,202001016,3285.81,-1111.41,611.314,2785.46,0.24426,0
inside_lvliang,202001017,3144.72,-1111.41,752.398,2785.46,0.24426,0
inside_lvliang,202001018,3003.64,-1111.41,797.334,2689.32,0.24426,0
inside_lvliang,202001019,2862.56,-989.968,797.334,2669.92,0,0
inside_lvliang,202001020,2842.2,-1038.62,797.334,2600.68,0.24426,0
inside_lvliang,202001021,2821.85,-1034.94,797.334,2584,0.24426,0
inside_lvliang,202001022,2801.5,-1107.38,797.334,2491.21,0.24426,0
inside_lvliang,202001023,2795.86,-1111.41,797.334,2481.54,0.24426,0
inside_lvliang,20250100,2806.14,-1111.41,792.637,2487.12,0.24426,0
inside_lvliang,20250101,2799.12,-1111.41,792.637,2480.1,0.24426,0
inside_lvliang,20250102,2791.78,-1111.41,792.637,2472.76,0.24426,0
inside_lvliang,20250103,2784.44,-1111.41,792.637,2465.42,0.24426,0
inside_lvliang,20250104,2777.1,-1111.41,792.637,2458.08,0.24426,0
inside_lvliang,20250105,2792.09,-1111.41,792.637,2473.07,0.24426,0
inside_lvliang,20250106,2807.08,-1093.4,792.637,2506.07,0.24426,0
inside_lvliang,20250107,2822.07,-1111.41,792.637,2503.05,0.24426,0
inside_lvliang,20250108,2964.74,-1111.41,792.637,2645.72,0.24426,0
inside_lvliang,20250109,3106.78,-1111.41,790.343,2785.46,0.24426,0
inside_lvliang,20250110,3249.2,-1111.41,647.922,2785.46,0.24426,0
inside_lvliang,20250111,3335.05,-1111.41,562.075,2785.46,0.24426,0
inside_lvliang,20250112,3420.84,-1111.41,476.282,2785.46,0.24426,0
inside_lvliang,20250113,3506.68,-1111.41,390.442,2785.46,0.24426,0
inside_lvliang,20250114,3430.11,-1111.41,467.015,2785.46,0.24426,0
inside_lvliang,20250115,3353.47,-1111.41,543.65,2785.46,0.24426,0
inside_lvliang,20250116,3276.84,-1111.41,620.284,2785.46,0.24426,0
inside_lvliang,20250117,3140.31,-1111.41,756.812,2785.46,0.24426,0
inside_lvliang,20250118,3003.78,-1111.41,792.637,2684.76,0.24426,0
inside_lvliang,20250119,2867.25,-989.968,792.637,2669.92,0,0
inside_lvliang,20250120,2851.56,-1043.28,792.637,2600.68,0.24426,0
inside_lvliang,20250121,2835.87,-1044.26,792.637,2584,0.24426,0
inside_lvliang,20250122,2820.17,-1111.41,792.637,2501.15,0.24426,0
inside_lvliang,20250123,2813.16,-1111.41,677.603,2379.1,0.24426,0
inside_lvliang,20300100,2806.79,-1111.41,797.666,2492.8,0.24426,0
inside_lvliang,20300101,2803.22,-1111.41,797.666,2489.23,0.24426,0
inside_lvliang,20300102,2794.6,-1111.41,696.43,2379.38,0.24426,0
inside_lvliang,20300103,2785.98,-1111.41,797.666,2471.99,0.24426,0
inside_lvliang,20300104,2777.36,-1111.41,797.666,2463.37,0.24426,0
inside_lvliang,20300105,2791.73,-1111.41,797.666,2477.74,0.24426,0
inside_lvliang,20300106,2806.1,-1111.41,797.666,2492.1,0.24426,0
inside_lvliang,20300107,2820.46,-1111.41,749.471,2458.28,0.24426,0
inside_lvliang,20300108,2957.23,-1111.41,797.666,2643.24,0.24426,0
inside_lvliang,20300109,3093.46,-1111.41,797.666,2779.47,0.24426,0
inside_lvliang,20300110,3229.94,-1111.41,667.184,2785.46,0.24426,0
inside_lvliang,20300111,3317.04,-1111.41,580.079,2785.46,0.24426,0
inside_lvliang,20300112,3404.15,-1111.41,492.974,2785.46,0.24426,0
inside_lvliang,20300113,3491.13,-1111.41,405.995,2785.46,0.24426,0
inside_lvliang,20300114,3414.45,-1111.41,482.667,2785.46,0.24426,0
inside_lvliang,20300115,3337.72,-1111.41,559.402,2785.46,0.24426,0
inside_lvliang,20300116,3261.03,-1111.41,636.093,2785.46,0.24426,0
inside_lvliang,20300117,3128.06,-1111.41,769.058,2785.46,0.24426,0
inside_lvliang,20300118,2995.16,-1111.41,797.666,2681.17,0.24426,0
inside_lvliang,20300119,2862.23,-989.968,797.666,2669.92,0,0
inside_lvliang,20300120,2846.13,-1042.87,797.666,2600.68,0.24426,0
inside_lvliang,20300121,2830.03,-1043.44,797.666,2584,0.24426,0
inside_lvliang,20300122,2813.93,-1111.41,797.666,2499.93,0.24426,0
inside_lvliang,20300123,2810.36,-1094.62,797.666,2513.16,0.24426,0
inside_lvliang,20350100,2987.19,-1111.41,624.205,2499.74,0.24426,0
inside_lvliang,20350101,2976.24,-1111.41,624.205,2488.79,0.24426,0
inside_lvliang,20350102,2940.82,-1111.41,624.205,2453.36,0.24426,0
inside_lvliang,20350103,2905.39,-1111.41,624.205,2417.94,0.24426,0
inside_lvliang,20350104,2869.96,-1111.41,624.205,2382.51,0.24426,0
inside_lvliang,20350105,2882.38,-1111.41,624.205,2394.93,0.24426,0
inside_lvliang,20350106,2894.8,-1072.93,624.205,2445.83,0.24426,0
inside_lvliang,20350107,2907.22,-1111.41,624.205,2419.77,0.24426,0
inside_lvliang,20350108,3223.22,-1111.41,624.205,2735.77,0.24426,0
inside_lvliang,20350109,3537.41,-1111.41,359.715,2785.46,0.24426,0
inside_lvliang,20350110,3847.43,-1111.41,49.6913,2785.46,0.24426,0
inside_lvliang,20350111,3874.8,-1111.41,22.3232,2785.46,0.24426,0
inside_lvliang,20350112,3751.24,-1111.41,145.886,2785.46,0.24426,0
inside_lvliang,20350113,3822.23,-1111.41,74.892,2785.46,0.24426,0
inside_lvliang,20350114,3832.14,-1111.41,64.9814,2785.46,0.24426,0
inside_lvliang,20350115,3897.12,-1111.41,0,2785.46,0.24426,0
inside_lvliang,20350116,3826.13,-1111.41,70.9938,2785.46,0.24426,0
inside_lvliang,20350117,3595.69,-1111.41,301.436,2785.46,0.24426,0
inside_lvliang,20350118,3315.87,-1111.41,581.252,2785.46,0.24426,0
inside_lvliang,20350119,3035.69,-989.968,624.205,2669.92,0,0
inside_lvliang,20350120,3026.82,-1050.1,624.205,2600.68,0.24426,0
inside_lvliang,20350121,3017.95,-1057.9,624.205,2584,0.24426,0
inside_lvliang,20350122,3009.08,-1111.41,624.205,2521.62,0.24426,0
inside_lvliang,20350123,2998.13,-1111.41,624.205,2510.68,0.24426,0
outside_lvliang,20200100,0,1066.96,0,1066.96,0,0
outside_lvliang,20200101,0,1066.96,0,1066.96,0,0
outside_lvliang,20200102,0,1066.96,0,1066.96,0,0
outside_lvliang,20200103,0,1066.96,0,1066.96,0,0
outside_lvliang,20200104,0,1066.96,0,1066.96,0,0
outside_lvliang,20200105,0,1066.96,0,1066.96,0,0
outside_lvliang,20200106,0,1066.96,0,1066.96,0,0
outside_lvliang,20200107,0,1066.96,0,1066.96,0,0
outside_lvliang,20200108,0,1066.96,0,1066.96,0,0
outside_lvliang,20200109,0,1066.96,0,1066.96,0,0
outside_lvliang,202001010,0,1066.96,0,1066.96,0,0
outside_lvliang,202001011,0,1066.96,0,1066.96,0,0
outside_lvliang,202001012,0,1066.96,0,1066.96,0,0
outside_lvliang,202001013,0,1066.96,0,1066.96,0,0
outside_lvliang,202001014,0,1066.96,0,1066.96,0,0
outside_lvliang,202001015,0,1066.96,0,1066.96,0,0
outside_lvliang,202001016,0,1066.96,0,1066.96,0,0
outside_lvliang,202001017,0,1066.96,0,1066.96,0,0
outside_lvliang,202001018,0,1066.96,0,1066.96,0,0
outside_lvliang,202001019,0,950.37,0,950.37,0,0
outside_lvliang,202001020,0,997.074,0,997.074,0,0
outside_lvliang,202001021,0,993.539,0,993.539,0,0
outside_lvliang,202001022,0,1063.08,0,1063.08,0,0
outside_lvliang,202001023,0,1066.96,0,1066.96,0,0
outside_lvliang,20250100,0,1066.96,0,1066.96,0,0
outside_lvliang,20250101,0,1066.96,0,1066.96,0,0
outside_lvliang,20250102,0,1066.96,0,1066.96,0,0
outside_lvliang,20250103,0,1066.96,0,1066.96,0,0
outside_lvliang,20250104,0,1066.96,0,1066.96,0,0
outside_lvliang,20250105,0,1066.96,0,1066.96,0,0
outside_lvliang,20250106,0,1049.66,0,1049.66,0,0
outside_lvliang,20250107,0,1066.96,0,1066.96,0,0
outside_lvliang,20250108,0,1066.96,0,1066.96,0,0
outside_lvliang,20250109,0,1066.96,0,1066.96,0,0
outside_lvliang,20250110,0,1066.96,0,1066.96,0,0
outside_lvliang,20250111,0,1066.96,0,1066.96,0,0
outside_lvliang,20250112,0,1066.96,0,1066.96,0,0
outside_lvliang,20250113,0,1066.96,0,1066.96,0,0
outside_lvliang,20250114,0,1066.96,0,1066.96,0,0
outside_lvliang,20250115,0,1066.96,0,1066.96,0,0
outside_lvliang,20250116,0,1066.96,0,1066.96,0,0
outside_lvliang,20250117,0,1066.96,0,1066.96,0,0
outside_lvliang,20250118,0,1066.96,0,1066.96,0,0
outside_lvliang,20250119,0,950.37,0,950.37,0,0
outside_lvliang,20250120,0,1001.55,0,1001.55,0,0
outside_lvliang,20250121,0,1002.49,0,1002.49,0,0
outside_lvliang,20250122,0,1066.96,0,1066.96,0,0
outside_lvliang,20250123,0,1066.96,0,1066.96,0,0
outside_lvliang,20300100,0,1066.96,0,1066.96,0,0
outside_lvliang,20300101,0,1066.96,0,1066.96,0,0
outside_lvliang,20300102,0,1066.96,0,1066.96,0,0
outside_lvliang,20300103,0,1066.96,0,1066.96,0,0
outside_lvliang,20300104,0,1066.96,0,1066.96,0,0
outside_lvliang,20300105,0,1066.96,0,1066.96,0,0
outside_lvliang,20300106,0,1066.96,0,1066.96,0,0
outside_lvliang,20300107,0,1066.96,0,1066.96,0,0
outside_lvliang,20300108,0,1066.96,0,1066.96,0,0
outside_lvliang,20300109,0,1066.96,0,1066.96,0,0
outside_lvliang,20300110,0,1066.96,0,1066.96,0,0
outside_lvliang,20300111,0,1066.96,0,1066.96,0,0
outside_lvliang,20300112,0,1066.96,0,1066.96,0,0
outside_lvliang,20300113,0,1066.96,0,1066.96,0,0
outside_lvliang,20300114,0,1066.96,0,1066.96,0,0
outside_lvliang,20300115,0,1066.96,0,1066.96,0,0
outside_lvliang,20300116,0,1066.96,0,1066.96,0,0
outside_lvliang,20300117,0,1066.96,0,1066.96,0,0
outside_lvliang,20300118,0,1066.96,0,1066.96,0,0
outside_lvliang,20300119,0,950.37,0,950.37,0,0
outside_lvliang,20300120,0,1001.16,0,1001.16,0,0
outside_lvliang,20300121,0,1001.71,0,1001.71,0,0
outside_lvliang,20300122,0,1066.96,0,1066.96,0,0
outside_lvliang,20300123,0,1050.84,0,1050.84,0,0
outside_lvliang,20350100,0,1066.96,0,1066.96,0,0
outside_lvliang,20350101,0,1066.96,0,1066.96,0,0
outside_lvliang,20350102,0,1066.96,0,1066.96,0,0
outside_lvliang,20350103,0,1066.96,0,1066.96,0,0
outside_lvliang,20350104,0,1066.96,0,1066.96,0,0
outside_lvliang,20350105,0,1066.96,0,1066.96,0,0
outside_lvliang,20350106,0,1030.01,0,1030.01,0,0
outside_lvliang,20350107,0,1066.96,0,1066.96,0,0
outside_lvliang,20350108,0,1066.96,0,1066.96,0,0
outside_lvliang,20350109,0,1066.96,0,1066.96,0,0
outside_lvliang,20350110,0,1066.96,0,1066.96,0,0
outside_lvliang,20350111,0,1066.96,0,1066.96,0,0
outside_lvliang,20350112,0,1066.96,0,1066.96,0,0
outside_lvliang,20350113,0,1066.96,0,1066.96,0,0
outside_lvliang,20350114,0,1066.96,0,1066.96,0,0
outside_lvliang,20350115,0,1066.96,0,1066.96,0,0
outside_lvliang,20350116,0,1066.96,0,1066.96,0,0
outside_lvliang,20350117,0,1066.96,0,1066.96,0,0
outside_lvliang,20350118,0,1066.96,0,1066.96,0,0
