PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,CogenFixedCost,annual,560767872.3927253,129523246.12272808
2020,EmissionsCosts,annual,0.0,0.0
2020,FuelCostsPerTP,timepoint,4531178692.866419,1046588083.8679302
2020,GenVariableOMCostsInTP,timepoint,47866954.47655403,11056060.14723706
2020,HydrogenFixedCostAnnual,annual,98947471.68061507,22854372.29673258
2020,HydrogenVariableCost,timepoint,0.0,0.0
2020,LocalTDFixedCosts,annual,1134819570.385309,262114721.18175453
2020,TotalGenFixedCosts,annual,1840901589.035881,425201872.9015704
2020,TxFixedCosts,annual,59239294.042253815,13682783.982670683
2025,CogenFixedCost,annual,454796488.32805026,134068945.71815847
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,3524765739.2191844,1039061731.3204429
2025,GenVariableOMCostsInTP,timepoint,37627756.05528038,11092243.923468204
2025,HydrogenFixedCostAnnual,annual,77527933.16765872,22854372.29673258
2025,HydrogenVariableCost,timepoint,0.0,0.0
2025,LocalTDFixedCosts,annual,889160827.6173844,262114721.18175453
2025,TotalGenFixedCosts,annual,1567004409.5342958,461935468.97053087
2025,TxFixedCosts,annual,46415536.965224944,13682783.982670683
2030,CogenFixedCost,annual,356365354.8228283,134076623.06584576
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,2779199167.8180065,1045628129.1252422
2030,GenVariableOMCostsInTP,timepoint,29638442.30955919,11150978.073536975
2030,HydrogenFixedCostAnnual,annual,60745164.269078515,22854372.29673258
2030,HydrogenVariableCost,timepoint,0.0,0.0
2030,LocalTDFixedCosts,annual,696680774.6369715,262114721.18175453
2030,TotalGenFixedCosts,annual,1227795497.5939434,461937929.4451561
2030,TxFixedCosts,annual,36367787.74293774,13682783.982670683
2035,CogenFixedCost,annual,279221580.32650274,134076623.06584576
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,1633181428.7083375,784221085.4870776
2035,GenVariableOMCostsInTP,timepoint,17886255.950154964,8588622.678390255
2035,HydrogenFixedCostAnnual,annual,56946935.62293947,27344780.49061857
2035,HydrogenVariableCost,timepoint,0.0,0.0
2035,LocalTDFixedCosts,annual,545867616.6035826,262114721.18175453
2035,TotalGenFixedCosts,annual,1815608785.3563983,871819056.6238345
2035,TxFixedCosts,annual,28495113.313162617,13682783.982670683
