generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
G106346,G106346,9,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
G106346,G106346,9,inside_lvliang,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
G106346,G106346,9,inside_lvliang,Coal,2030,4258.172160000001,1945984.6771200006,4103376.530736385,600.0,28447615.108630236,6360000.0,8.63130902291894,0.8096000000000002
G106347,G106347,10,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
G106347,G106347,10,inside_lvliang,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
G106347,G106347,10,inside_lvliang,Coal,2030,4258.172160000001,1945984.6771200006,4103376.530736385,600.0,28447615.108630236,6360000.0,8.63130902291894,0.8096000000000002
G106348,G106348,5,inside_lvliang,Coal,2020,2129.08608,972992.33856,2235674.0906058243,300.0,13555245.527235586,3180000.0,8.317295403009533,0.8096
G106348,G106348,5,inside_lvliang,Coal,2025,2129.08608,972992.33856,2235674.0906058243,300.0,13555245.527235586,3180000.0,8.317295403009533,0.8096
G106348,G106348,5,inside_lvliang,Coal,2030,2129.08608,972992.3385600001,2235674.0906058243,300.0,13555245.527235586,3180000.0,8.317295403009533,0.8096
G106348,G106348,5,inside_lvliang,Coal,2035,1896.941909719356,866902.4527417456,1991908.1331572523,267.2896029247473,13555245.527235586,2833269.7910023215,9.09643973943963,0.8096
G106349,G106349,6,inside_lvliang,Coal,2020,2129.08608,972992.33856,2051688.265368192,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096
G106349,G106349,6,inside_lvliang,Coal,2025,2129.0860800000005,972992.3385600003,2051688.2653681925,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096000000000002
G106349,G106349,6,inside_lvliang,Coal,2030,2129.08608,972992.33856,2051688.265368192,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096
G106349,G106349,6,inside_lvliang,Coal,2035,2129.0860800000005,972992.3385600003,2051688.2653681925,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096000000000002
G106470,G106470,3,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106470,G106470,3,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106470,G106470,3,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106470,G106470,3,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G109041,G109041,1,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109041,G109041,1,inside_lvliang,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109041,G109041,1,inside_lvliang,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109041,G109041,1,inside_lvliang,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109042,G109042,2,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109042,G109042,2,inside_lvliang,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109042,G109042,2,inside_lvliang,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109042,G109042,2,inside_lvliang,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G111092,G111092,16,inside_lvliang,Coal,2025,428.25205673222035,195711.18992662468,398854.60864742566,60.343082520959456,14794063.953511018,639636.6747221702,36.49582429894237,0.8096000000000001
G111092,G111092,16,inside_lvliang,Coal,2030,428.25205673222035,195711.1899266247,398854.60864742566,60.343082520959456,14794063.953511018,639636.6747221702,36.49582429894237,0.8096000000000001
G111092,G111092,16,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
G111093,G111093,17,inside_lvliang,Coal,2025,1098.5729346940493,502047.83115518047,1023161.175877389,154.79500030746274,14794063.953511018,1640827.0032591051,15.417218332110293,0.8096000000000004
G111093,G111093,17,inside_lvliang,Coal,2030,1378.2546530259158,629862.3764328435,1283644.086718021,194.20370072955183,14794063.953511018,2058559.2277332493,12.68451045624613,0.8096000000000002
G111093,G111093,17,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
G112778,G112778,14,inside_lvliang,Coal,2020,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G112778,G112778,14,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G112778,G112778,14,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G112779,G112779,15,inside_lvliang,Coal,2020,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G112779,G112779,15,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G112779,G112779,15,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G114088,G114088,11,inside_lvliang,Coal,2020,958.0887359999999,437846.5523519999,1090581.8692127038,135.0,6495291.520401074,1431000.0,8.730024431424976,0.8096
G114088,G114088,11,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114088,G114088,11,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114089,G114089,12,inside_lvliang,Coal,2020,423.0649258228383,193340.6711010371,524130.48288773024,59.61218709712831,6495291.520401074,631889.1832295601,17.30354120113752,0.8095999999999999
G114089,G114089,12,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114089,G114089,12,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114090,G114090,13,inside_lvliang,Coal,2020,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114090,G114090,13,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114090,G114090,13,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outside_coal,outside_coal,outside,outside_lvliang,Coal,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s1,s1,PV1,inside_lvliang,Solar,2020,279.32871312855946,0.0,0.0,194.7902658,4955248.824147893,2600450.04843,27.049488711532582,0.16358627529605732
s1,s1,PV1,inside_lvliang,Solar,2025,303.7104893109949,0.0,0.0,194.7902658,4955248.824147893,2600450.04843,24.87796483328231,0.1778652368325
s1,s1,PV1,inside_lvliang,Solar,2030,300.308196486594,0.0,0.0,194.7902658,4955248.824147893,2600450.04843,25.159815685933786,0.17587271553250003
s1,s1,PV1,inside_lvliang,Solar,2035,139.04636208475867,0.0,0.0,194.7902658,4955248.824147893,2600450.04843,54.33942146556956,0.08143121490143351
s10,s10,PV10,inside_lvliang,Solar,2020,101.18265472672707,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,33.03915161459644,0.13392974367500002
s10,s10,PV10,inside_lvliang,Solar,2025,84.413121323608,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,39.602718367301485,0.11173286303083332
s10,s10,PV10,inside_lvliang,Solar,2030,94.01218175889393,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,35.559105296132955,0.12443859512583333
s10,s10,PV10,inside_lvliang,Solar,2035,26.579419380380312,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,125.7735928103583,0.03518167055666666
s11,s11,PV11,inside_lvliang,Solar,2020,0.027325509820086868,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,159.21185084524626,0.027792686810000005
s11,s11,PV11,inside_lvliang,Solar,2025,0.07776016460461709,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,55.94824825625003,0.07908960950333332
s11,s11,PV11,inside_lvliang,Solar,2030,0.043318953005359526,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,100.43052040541521,0.04405956564916667
s11,s11,PV11,inside_lvliang,Solar,2035,0.009459721492015506,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,459.90201692703823,0.009621451840000001
s2,s2,PV2,inside_lvliang,Solar,2020,0.03410737214842771,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,126.22249509977436,0.03505654917916667
s2,s2,PV2,inside_lvliang,Solar,2025,0.00623721193083014,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,690.2310938948823,0.006410787844999998
s2,s2,PV2,inside_lvliang,Solar,2030,0.015223369026367449,0.0,0.0,0.11098841,2823.422340371098,1481.6952735,282.7966402453013,0.015647021489166666
s2,s2,PV2,inside_lvliang,Solar,2035,0.27733070749294864,0.0,0.0,1.1088,28206.645099280846,14802.48,155.08244827296807,0.028532726664166664
s3,s3,PV3,inside_lvliang,Solar,2020,467.317587907123,0.0,0.0,348.9408359,8876668.758006582,4658360.159265,28.963234570066298,0.15277731139724132
s3,s3,PV3,inside_lvliang,Solar,2025,427.551526139029,0.0,0.0,348.9408359,8876668.758006582,4658360.159265,31.657070761736286,0.1397768334375
s3,s3,PV3,inside_lvliang,Solar,2030,274.7771855694982,0.0,0.0,348.9408359,8876668.758006582,4658360.159265,49.258197652833246,0.08983124267292086
s3,s3,PV3,inside_lvliang,Solar,2035,2478.8891853076866,0.0,0.0,2670.2258345655373,67927590.59390435,35647514.89144993,41.782870367599045,0.10590285128935802
s4,s4,PV4,inside_lvliang,Solar,2020,60.00205048445924,0.0,0.0,64.46296567,1639866.5175873153,860580.5916945001,41.672694334495134,0.10618284172999999
