generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
G106344,G106344,7,inside_lvliang,Coal,2020,0.0,0.0,0.0,0.0,4186105.4155322565,0.0,0.0,0.0
G106344,G106344,7,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,4186105.4155322565,0.0,0.0,0.0
G106344,G106344,7,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,4186105.4155322565,0.0,0.0,0.0
G106344,G106344,7,inside_lvliang,Coal,2035,0.0,0.0,0.0,0.0,4186105.4155322565,0.0,0.0,0.0
G106345,G106345,8,inside_lvliang,Coal,2020,424.9911563692998,194220.95846077,520916.0802698769,59.88360363090155,4186105.4155322565,634766.1984875564,11.800463368048709,0.8096
G106345,G106345,8,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,4186105.4155322565,0.0,0.0,0.0
G106345,G106345,8,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,4186105.4155322565,0.0,0.0,0.0
G106345,G106345,8,inside_lvliang,Coal,2035,0.0,0.0,0.0,0.0,4186105.4155322565,0.0,0.0,0.0
G106346,G106346,9,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
G106346,G106346,9,inside_lvliang,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
G106346,G106346,9,inside_lvliang,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
G106346,G106346,9,inside_lvliang,Coal,2035,3256.7654489221263,1488341.8101574115,3138373.5572636398,458.89625781435655,25116632.493193537,4864300.332832179,9.662739036548775,0.8096000000000001
G106347,G106347,10,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
G106347,G106347,10,inside_lvliang,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
G106347,G106347,10,inside_lvliang,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
G106347,G106347,10,inside_lvliang,Coal,2035,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
G106348,G106348,5,inside_lvliang,Coal,2020,2129.08608,972992.33856,2235674.0906058243,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G106348,G106348,5,inside_lvliang,Coal,2025,2129.08608,972992.33856,2235674.0906058243,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G106348,G106348,5,inside_lvliang,Coal,2030,2129.08608,972992.3385600001,2235674.0906058243,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G106348,G106348,5,inside_lvliang,Coal,2035,0.0,0.0,0.0,0.0,12558316.246596768,0.0,0.0,0.0
G106349,G106349,6,inside_lvliang,Coal,2020,2129.08608,972992.33856,2051688.265368192,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G106349,G106349,6,inside_lvliang,Coal,2025,2129.08608,972992.33856,2051688.265368192,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G106349,G106349,6,inside_lvliang,Coal,2030,2129.08608,972992.33856,2051688.265368192,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G106349,G106349,6,inside_lvliang,Coal,2035,823.1229985369891,376167.210331404,793200.3374203732,115.98258139055454,12558316.246596768,1229415.3627398782,17.20751193301952,0.8096
G106470,G106470,3,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106470,G106470,3,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106470,G106470,3,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106470,G106470,3,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G106471,G106471,4,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
G109041,G109041,1,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G109041,G109041,1,inside_lvliang,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G109041,G109041,1,inside_lvliang,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G109041,G109041,1,inside_lvliang,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
