GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
C-Central_PV-1,2020,2020,0.0
C-Central_PV-1,2020,2025,0.0
C-Central_PV-1,2020,2030,0.0
C-Central_PV-1,2020,2035,0.0
C-Central_PV-1,2030,2030,0.0
C-Central_PV-1,2030,2035,0.0
C-Central_PV-2,2020,2020,0.0
C-Central_PV-2,2020,2025,0.0
C-Central_PV-2,2020,2030,0.0
C-Central_PV-2,2020,2035,0.0
C-Central_PV-2,2030,2030,0.0
C-Central_PV-2,2030,2035,0.0
C-Commercial_PV,2020,2020,0.0
C-Commercial_PV,2020,2025,0.0
C-Commercial_PV,2020,2030,0.0
C-Commercial_PV,2020,2035,0.0
C-Commercial_PV,2030,2030,0.0
C-Commercial_PV,2030,2035,0.0
C-Residential_PV,2020,2020,0.0
C-Residential_PV,2020,2025,0.0
C-Residential_PV,2020,2030,0.0
C-Residential_PV,2020,2035,0.0
C-Residential_PV,2030,2030,0.0
C-Residential_PV,2030,2035,0.0
C-Wind-1,2020,2020,0.0
C-Wind-1,2020,2025,0.0
C-Wind-1,2020,2030,0.0
C-Wind-1,2020,2035,0.0
C-Wind-1,2030,2030,0.0
C-Wind-1,2030,2035,0.0
C-Wind-2,2020,2020,0.0
C-Wind-2,2020,2025,0.0
C-Wind-2,2020,2030,0.0
C-Wind-2,2020,2035,0.0
C-Wind-2,2030,2030,0.0
C-Wind-2,2030,2035,0.0
G106344,1995,2020,0.0
G106344,1995,2025,0.0
G106344,1995,2030,0.0
G106344,1995,2035,0.0
G106345,1996,2020,0.0
G106345,1996,2025,0.0
G106345,1996,2030,0.0
G106345,1996,2035,0.0
G106346,2008,2020,0.0
G106346,2008,2025,0.0
G106346,2008,2030,0.0
G106346,2008,2035,0.0
G106347,2008,2020,0.0
G106347,2008,2025,0.0
G106347,2008,2030,0.0
G106347,2008,2035,0.0
G106348,2012,2020,0.0
G106348,2012,2025,0.0
G106348,2012,2030,0.0
G106348,2012,2035,0.0
G106349,2014,2020,0.0
G106349,2014,2025,0.0
G106349,2014,2030,0.0
G106349,2014,2035,0.0
G106470,2019,2020,0.0
G106470,2019,2025,0.0
G106470,2019,2030,0.0
G106470,2019,2035,0.0
G106471,2019,2020,0.0
G106471,2019,2025,0.0
G106471,2019,2030,0.0
G106471,2019,2035,0.0
G109041,2015,2020,0.0
G109041,2015,2025,0.0
G109041,2015,2030,0.0
G109041,2015,2035,0.0
G109042,2015,2020,0.0
G109042,2015,2025,0.0
G109042,2015,2030,0.0
G109042,2015,2035,0.0
G111092,2021,2025,0.0
G111092,2021,2030,0.0
G111092,2021,2035,0.0
G111093,2021,2025,0.0
G111093,2021,2030,0.0
G111093,2021,2035,0.0
G112778,2007,2020,0.0
G112778,2007,2025,0.0
G112778,2007,2030,0.0
G112778,2007,2035,0.0
G112779,2007,2020,0.0
G112779,2007,2025,0.0
G112779,2007,2030,0.0
G112779,2007,2035,0.0
G114088,2007,2020,0.0
G114088,2007,2025,0.0
