PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,CogenFixedCost,annual,102619572.98724389,102619572.98724389
2020,FuelCostsPerTP,timepoint,858776465.8013622,858776465.8013622
2020,GenVariableOMCostsInTP,timepoint,9104414.910144499,9104414.910144499
2020,LocalTDFixedCosts,annual,197216076.3446901,197216076.3446901
2020,TotalGenFixedCosts,annual,4304551168.70774,4304551168.70774
2020,TxFixedCosts,annual,37317.8777229767,37317.8777229767
2025,CogenFixedCost,annual,80405120.62732542,102619572.98724389
2025,FuelCostsPerTP,timepoint,672873832.1026728,858776465.8013622
2025,GenVariableOMCostsInTP,timepoint,7133547.312483797,9104414.910144499
2025,LocalTDFixedCosts,annual,154523956.26430595,197216076.3446901
2025,TotalGenFixedCosts,annual,3543658098.9249043,4522705495.461658
2025,TxFixedCosts,annual,29239.533673022634,37317.8777229767
2030,CogenFixedCost,annual,62999515.92956229,102619572.98724389
2030,FuelCostsPerTP,timepoint,527214254.18434876,858776465.8013623
2030,GenVariableOMCostsInTP,timepoint,5589320.979071807,9104414.910144499
2030,LocalTDFixedCosts,annual,121073563.07931145,197216076.3446901
2030,TotalGenFixedCosts,annual,2776548845.525537,4522705495.461658
2030,TxFixedCosts,annual,22909.939728148842,37317.8777229767
2035,CogenFixedCost,annual,49361769.205658555,102619572.98724389
2035,FuelCostsPerTP,timepoint,413086163.4885905,858776465.8013623
2035,GenVariableOMCostsInTP,timepoint,4379379.239893867,9104414.910144499
2035,LocalTDFixedCosts,annual,94864304.74021004,197216076.3446901
2035,TotalGenFixedCosts,annual,2175498672.947049,4522705495.461658
2035,TxFixedCosts,annual,17950.53724921991,37317.8777229767
