generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts
C-Central_PV-1,20200100,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20200101,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20200102,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20200103,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20200104,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20200105,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20200106,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20200107,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20200108,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20200109,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250100,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250101,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250102,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250103,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250104,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250105,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250106,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250107,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250108,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250109,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250110,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250111,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250112,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250113,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250114,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250115,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250116,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250117,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250118,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250119,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250120,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250121,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250122,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20250123,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300100,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300101,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300102,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300103,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300104,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300105,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300106,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300107,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300108,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300109,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300110,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300111,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300112,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300113,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300114,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300115,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300116,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300117,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300118,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300119,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300120,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300121,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300122,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20300123,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350100,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350101,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350102,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350103,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350104,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350105,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350106,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350107,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350108,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350109,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350110,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350111,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350112,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350113,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,20350114,C-Central_PV-1,Central_PV,inside_lvliang,Solar,365.25,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
