gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
1,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
1,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
1,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
1,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
2,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
2,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
2,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
2,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
3,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
3,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
3,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
3,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
4,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
4,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
4,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
4,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
5,Coal,2020,50.66320259189396,23153.083584495544,53199.54437061144,300.0,84817811.46596469,8676900.0,1845.8735288185653,0.0192650401520625
5,Coal,2025,50.66320259189396,23153.083584495544,53199.54437061144,300.0,84817811.46596469,8676900.0,1845.8735288185653,0.0192650401520625
5,Coal,2030,50.66320259189396,23153.083584495544,53199.54437061144,300.0,84817811.46596469,8676900.0,1845.8735288185653,0.0192650401520625
5,Coal,2035,50.66320259189544,23153.08358449622,53199.54437061299,300.0,84817811.46596469,8676900.0,1845.8735288185119,0.01926504015206306
6,Coal,2020,2129.08608,972992.33856,2051688.265368192,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
6,Coal,2025,2129.08608,972992.33856,2051688.265368192,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
6,Coal,2030,2129.08608,972992.33856,2051688.265368192,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
6,Coal,2035,2129.08608,972992.33856,2051688.265368192,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
7,Coal,2020,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
7,Coal,2025,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
7,Coal,2030,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
7,Coal,2035,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
8,Coal,2020,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
8,Coal,2025,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
8,Coal,2030,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
8,Coal,2035,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
9,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
9,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
9,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
9,Coal,2035,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
10,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
10,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
10,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
10,Coal,2035,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
11,Coal,2020,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
11,Coal,2025,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
11,Coal,2030,2.6005589109590685e-12,1.1884554223082944e-09,2.9601876021966873e-09,135.0,38168015.15968411,3904605.0,1.61782992042153e+16,2.197513043627372e-15
11,Coal,2035,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
12,Coal,2020,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
12,Coal,2025,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
12,Coal,2030,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
12,Coal,2035,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
13,Coal,2020,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
13,Coal,2025,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
13,Coal,2030,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
13,Coal,2035,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
14,Coal,2020,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
14,Coal,2025,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
14,Coal,2030,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
14,Coal,2035,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,Coal,2020,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,Coal,2025,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,Coal,2030,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,Coal,2035,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
16,Coal,2025,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
16,Coal,2030,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
16,Coal,2035,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
17,Coal,2025,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
17,Coal,2030,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
17,Coal,2035,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
Central_PV,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial_PV,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_PV,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,Wind,2020,11.24029116,0.0,0.0,12.0,1644716.0822649356,591480.0,198.9446759371076,0.10685500000000002
Wind,Wind,2025,7.152252450000001,0.0,0.0,12.0,1644716.0822649356,591480.0,312.6562013712108,0.06799236111111111
Wind,Wind,2030,56.41575647502638,0.0,0.0,12.0,1644716.0822649356,591480.0,39.63779309163097,0.5363122335826525
Wind,Wind,2035,55.253969275026485,0.0,0.0,12.0,1644716.0822649356,591480.0,40.47122969816477,0.525267789138209
outside,Coal,2020,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside,Coal,2025,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside,Coal,2030,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside,Coal,2035,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
