timestamp,C-Central_PV-1,C-Central_PV-2,C-Commercial_PV,C-Residential_PV,C-Wind-1,C-Wind-2,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,N-Central_PV-1,N-Central_PV-2,N-Commercial_PV,N-Residential_PV,N-Wind-1,N-Wind-2,S-Central_PV-1,S-Central_PV-2,S-Commercial_PV,S-Residential_PV,outside_coal
20200100,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,2.3856,0,0,0,0,0,0
20200101,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200102,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,2.5844,0,0,0,0,0,0
20200103,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200104,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0.47712,0,0,0,0,0,0
20200105,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200106,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200107,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200108,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200109,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001010,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001011,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001012,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001013,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001014,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001015,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001016,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001017,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001018,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,3.1808,0.86478,0,0,0,0,0
202001019,0,0,0,0,3.1808,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,3.1808,0.86478,0,0,0,0,0
202001020,0,0,0,0,0,2.56452,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,3.1808,0,0,0,0,0,0
202001021,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001022,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001023,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250100,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250101,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250102,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250103,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250104,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250105,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250106,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250107,0,0,0,0,0,0,0,0,485.76,485.76,5.77951,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
