GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
C-Central_PV-1,2020,Central_PV,inside_lvliang,Solar,0,.,0
C-Central_PV-1,2025,Central_PV,inside_lvliang,Solar,.,.,.
C-Central_PV-1,2030,Central_PV,inside_lvliang,Solar,0,.,0
C-Central_PV-1,2035,Central_PV,inside_lvliang,Solar,.,.,.
C-Central_PV-2,2020,Central_PV,inside_lvliang,Solar,0,.,0
C-Central_PV-2,2025,Central_PV,inside_lvliang,Solar,.,.,.
C-Central_PV-2,2030,Central_PV,inside_lvliang,Solar,0,.,0
C-Central_PV-2,2035,Central_PV,inside_lvliang,Solar,.,.,.
C-Commercial_PV,2020,Commercial_PV,inside_lvliang,Solar,0,.,0
C-Commercial_PV,2025,Commercial_PV,inside_lvliang,Solar,.,.,.
C-Commercial_PV,2030,Commercial_PV,inside_lvliang,Solar,0,.,0
C-Commercial_PV,2035,Commercial_PV,inside_lvliang,Solar,.,.,.
C-Residential_PV,2020,Residential_PV,inside_lvliang,Solar,0,.,0
C-Residential_PV,2025,Residential_PV,inside_lvliang,Solar,.,.,.
C-Residential_PV,2030,Residential_PV,inside_lvliang,Solar,0,.,0
C-Residential_PV,2035,Residential_PV,inside_lvliang,Solar,.,.,.
C-Wind-1,2020,Wind,inside_lvliang,Wind,4,.,6.18265e+06
C-Wind-1,2025,Wind,inside_lvliang,Wind,.,.,.
C-Wind-1,2030,Wind,inside_lvliang,Wind,0,.,0
C-Wind-1,2035,Wind,inside_lvliang,Wind,.,.,.
C-Wind-2,2020,Wind,inside_lvliang,Wind,3,.,4.65304e+06
C-Wind-2,2025,Wind,inside_lvliang,Wind,.,.,.
C-Wind-2,2030,Wind,inside_lvliang,Wind,0,.,0
C-Wind-2,2035,Wind,inside_lvliang,Wind,.,.,.
G106344,2020,7,inside_lvliang,Coal,.,.,.
G106344,2025,7,inside_lvliang,Coal,.,.,.
G106344,2030,7,inside_lvliang,Coal,.,.,.
G106344,2035,7,inside_lvliang,Coal,.,.,.
G106345,2020,8,inside_lvliang,Coal,.,.,.
G106345,2025,8,inside_lvliang,Coal,.,.,.
G106345,2030,8,inside_lvliang,Coal,.,.,.
G106345,2035,8,inside_lvliang,Coal,.,.,.
G106346,2020,9,inside_lvliang,Coal,.,.,.
G106346,2025,9,inside_lvliang,Coal,.,.,.
G106346,2030,9,inside_lvliang,Coal,.,.,.
G106346,2035,9,inside_lvliang,Coal,.,.,.
G106347,2020,10,inside_lvliang,Coal,.,.,.
G106347,2025,10,inside_lvliang,Coal,.,.,.
G106347,2030,10,inside_lvliang,Coal,.,.,.
G106347,2035,10,inside_lvliang,Coal,.,.,.
G106348,2020,5,inside_lvliang,Coal,.,.,.
G106348,2025,5,inside_lvliang,Coal,.,.,.
G106348,2030,5,inside_lvliang,Coal,.,.,.
G106348,2035,5,inside_lvliang,Coal,.,.,.
G106349,2020,6,inside_lvliang,Coal,.,.,.
G106349,2025,6,inside_lvliang,Coal,.,.,.
G106349,2030,6,inside_lvliang,Coal,.,.,.
G106349,2035,6,inside_lvliang,Coal,.,.,.
G106470,2020,3,inside_lvliang,Coal,.,.,.
G106470,2025,3,inside_lvliang,Coal,.,.,.
G106470,2030,3,inside_lvliang,Coal,.,.,.
G106470,2035,3,inside_lvliang,Coal,.,.,.
G106471,2020,4,inside_lvliang,Coal,.,.,.
G106471,2025,4,inside_lvliang,Coal,.,.,.
G106471,2030,4,inside_lvliang,Coal,.,.,.
G106471,2035,4,inside_lvliang,Coal,.,.,.
G109041,2020,1,inside_lvliang,Coal,.,.,.
G109041,2025,1,inside_lvliang,Coal,.,.,.
G109041,2030,1,inside_lvliang,Coal,.,.,.
G109041,2035,1,inside_lvliang,Coal,.,.,.
G109042,2020,2,inside_lvliang,Coal,.,.,.
G109042,2025,2,inside_lvliang,Coal,.,.,.
G109042,2030,2,inside_lvliang,Coal,.,.,.
G109042,2035,2,inside_lvliang,Coal,.,.,.
G111092,2025,16,inside_lvliang,Coal,.,.,.
G111092,2030,16,inside_lvliang,Coal,.,.,.
G111092,2035,16,inside_lvliang,Coal,.,.,.
G111093,2025,17,inside_lvliang,Coal,.,.,.
G111093,2030,17,inside_lvliang,Coal,.,.,.
G111093,2035,17,inside_lvliang,Coal,.,.,.
