generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
C-Central_PV-1,C-Central_PV-1,Central_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,C-Central_PV-1,Central_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,C-Central_PV-1,Central_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-1,C-Central_PV-1,Central_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-2,C-Central_PV-2,Central_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-2,C-Central_PV-2,Central_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-2,C-Central_PV-2,Central_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Central_PV-2,C-Central_PV-2,Central_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Commercial_PV,C-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Commercial_PV,C-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Commercial_PV,C-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Commercial_PV,C-Commercial_PV,Commercial_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Residential_PV,C-Residential_PV,Residential_PV,inside_lvliang,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Residential_PV,C-Residential_PV,Residential_PV,inside_lvliang,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Residential_PV,C-Residential_PV,Residential_PV,inside_lvliang,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Residential_PV,C-Residential_PV,Residential_PV,inside_lvliang,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-Wind-1,C-Wind-1,Wind,inside_lvliang,Wind,2020,2.3235744,0.0,0.0,4.0,498237.2053223575,178560.0,291.2741702277136,0.06626666666666667
C-Wind-1,C-Wind-1,Wind,inside_lvliang,Wind,2025,3.4853616,0.0,0.0,4.0,498237.2053223575,178560.0,194.18278015180906,0.0994
C-Wind-1,C-Wind-1,Wind,inside_lvliang,Wind,2030,24.397531200000003,0.0,0.0,4.0,498237.2053223575,178560.0,27.74039716454415,0.6958000000000001
C-Wind-1,C-Wind-1,Wind,inside_lvliang,Wind,2035,27.8828928,0.0,0.0,4.0,498237.2053223575,178560.0,24.272847518976132,0.7952
C-Wind-2,C-Wind-2,Wind,inside_lvliang,Wind,2020,2.81007279,0.0,0.0,3.0,374971.48499956884,133920.0,181.09548151582536,0.10685500000000002
C-Wind-2,C-Wind-2,Wind,inside_lvliang,Wind,2025,1.87338186,0.0,0.0,3.0,374971.48499956884,133920.0,271.64322227373805,0.07123666666666666
C-Wind-2,C-Wind-2,Wind,inside_lvliang,Wind,2030,22.48058232,0.0,0.0,3.0,374971.48499956884,133920.0,22.63693518947817,0.8548400000000002
C-Wind-2,C-Wind-2,Wind,inside_lvliang,Wind,2035,22.48058232,0.0,0.0,3.0,374971.48499956884,133920.0,22.63693518947817,0.8548400000000002
G106344,G106344,7,inside_lvliang,Coal,2020,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106344,G106344,7,inside_lvliang,Coal,2025,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106344,G106344,7,inside_lvliang,Coal,2030,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106344,G106344,7,inside_lvliang,Coal,2035,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106345,G106345,8,inside_lvliang,Coal,2020,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106345,G106345,8,inside_lvliang,Coal,2025,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106345,G106345,8,inside_lvliang,Coal,2030,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106345,G106345,8,inside_lvliang,Coal,2035,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
G106346,G106346,9,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
G106346,G106346,9,inside_lvliang,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
G106346,G106346,9,inside_lvliang,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
G106346,G106346,9,inside_lvliang,Coal,2035,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
G106347,G106347,10,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
G106347,G106347,10,inside_lvliang,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
G106347,G106347,10,inside_lvliang,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
G106347,G106347,10,inside_lvliang,Coal,2035,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
G106348,G106348,5,inside_lvliang,Coal,2020,50.66320259189396,23153.083584495544,53199.54437061144,300.0,84817811.46596469,8676900.0,1845.8735288185653,0.0192650401520625
G106348,G106348,5,inside_lvliang,Coal,2025,50.66320259189396,23153.083584495544,53199.54437061144,300.0,84817811.46596469,8676900.0,1845.8735288185653,0.0192650401520625
