GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
G106344,1995,100.0
G106345,1996,100.0
G106346,2008,600.0
G106347,2008,600.0
G106348,2012,300.0
G106349,2014,300.0
G106470,2019,350.0
G106471,2019,350.0
G109041,2015,300.0
G109042,2015,300.0
G111092,2021,350.0
G111093,2021,350.0
G112778,2007,50.0
G112779,2007,50.0
G114088,2007,135.0
G114089,2007,135.0
G114090,2007,135.0
outside_coal,2015,10000.0
w1,2020,0.0
w1,2025,0.0
w1,2030,0.0
w1,2035,0.0
w10,2020,0.0
w10,2025,0.0
w10,2030,0.0
w10,2035,0.0
w11,2020,0.0
w11,2025,0.0
w11,2030,0.0
w11,2035,5000.0
w2,2020,679.9130011114034
w2,2025,-1.1515302684037318e-12
w2,2030,0.0
w2,2035,4320.086998888597
w3,2020,0.0
w3,2025,0.0
w3,2030,0.0
w3,2035,5000.0
w4,2020,0.0
w4,2025,0.0
w4,2030,0.0
w4,2035,0.0
w5,2020,0.0
w5,2025,0.0
w5,2030,0.0
w5,2035,0.0
w6,2020,0.0
w6,2025,0.0
w6,2030,0.0
w6,2035,0.0
w7,2020,0.0
w7,2025,0.0
w7,2030,0.0
w7,2035,0.0
w8,2020,0.0
w8,2025,0.0
w8,2030,0.0
w8,2035,0.0
w9,2020,0.0
w9,2025,0.0
w9,2030,0.0
w9,2035,2239.4047275601074
