GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
G106344,1,Coal,0.0
G106344,2,Coal,0.0
G106344,3,Coal,0.0
G106344,4,Coal,0.0
G106344,5,Coal,0.0
G106344,6,Coal,0.0
G106344,7,Coal,0.0
G106344,8,Coal,0.0
G106344,9,Coal,0.0
G106344,10,Coal,0.0
G106344,11,Coal,0.0
G106344,12,Coal,0.0
G106344,13,Coal,0.0
G106344,14,Coal,0.0
G106344,15,Coal,0.0
G106344,16,Coal,0.0
G106344,17,Coal,0.0
G106344,18,Coal,0.0
G106344,19,Coal,0.0
G106344,20,Coal,0.0
G106344,21,Coal,0.0
G106344,22,Coal,0.0
G106344,23,Coal,0.0
G106344,24,Coal,0.0
G106344,25,Coal,0.0
G106344,26,Coal,0.0
G106344,27,Coal,0.0
G106344,28,Coal,0.0
G106344,29,Coal,0.0
G106344,30,Coal,0.0
G106344,31,Coal,0.0
G106344,32,Coal,0.0
G106344,33,Coal,0.0
G106344,34,Coal,0.0
G106344,35,Coal,0.0
G106344,36,Coal,0.0
G106344,37,Coal,0.0
G106344,38,Coal,0.0
G106344,39,Coal,0.0
G106344,40,Coal,0.0
G106344,41,Coal,0.0
G106344,42,Coal,0.0
G106344,43,Coal,0.0
G106344,44,Coal,0.0
G106344,45,Coal,0.0
G106344,46,Coal,0.0
G106344,47,Coal,0.0
G106344,48,Coal,0.0
G106344,49,Coal,0.0
G106344,50,Coal,0.0
G106344,51,Coal,0.0
G106344,52,Coal,0.0
G106344,53,Coal,0.0
G106344,54,Coal,0.0
G106344,55,Coal,0.0
G106344,56,Coal,0.0
G106344,57,Coal,0.0
G106344,58,Coal,0.0
G106344,59,Coal,0.0
G106344,60,Coal,0.0
G106344,61,Coal,0.0
G106344,62,Coal,0.0
G106344,63,Coal,0.0
G106344,64,Coal,0.0
G106344,65,Coal,0.0
G106344,66,Coal,0.0
G106344,67,Coal,0.0
G106344,68,Coal,0.0
G106344,69,Coal,0.0
G106344,70,Coal,0.0
G106344,71,Coal,0.0
G106344,72,Coal,0.0
G106344,73,Coal,0.0
G106344,74,Coal,0.0
G106344,75,Coal,0.0
G106344,76,Coal,0.0
G106344,77,Coal,0.0
G106344,78,Coal,0.0
G106344,79,Coal,0.0
G106344,80,Coal,0.0
G106344,81,Coal,0.0
G106344,82,Coal,0.0
G106344,83,Coal,0.0
G106344,84,Coal,0.0
G106344,85,Coal,0.0
G106344,86,Coal,0.0
G106344,87,Coal,0.0
G106344,88,Coal,0.0
G106344,89,Coal,0.0
G106344,90,Coal,0.0
G106344,91,Coal,0.0
G106344,92,Coal,0.0
G106344,93,Coal,0.0
G106344,94,Coal,0.0
G106344,95,Coal,0.0
G106344,96,Coal,0.0
G106345,1,Coal,0.0
G106345,2,Coal,0.0
G106345,3,Coal,0.0
G106345,4,Coal,0.0
G106345,5,Coal,0.0
G106345,6,Coal,0.0
G106345,7,Coal,0.0
G106345,8,Coal,0.0
G106345,9,Coal,0.0
G106345,10,Coal,0.0
G106345,11,Coal,0.0
G106345,12,Coal,0.0
G106345,13,Coal,0.0
G106345,14,Coal,0.0
G106345,15,Coal,0.0
G106345,16,Coal,0.0
G106345,17,Coal,0.0
G106345,18,Coal,0.0
G106345,19,Coal,0.0
G106345,20,Coal,0.0
G106345,21,Coal,0.0
G106345,22,Coal,0.0
G106345,23,Coal,0.0
G106345,24,Coal,0.0
G106345,25,Coal,0.0
G106345,26,Coal,0.0
G106345,27,Coal,0.0
G106345,28,Coal,0.0
G106345,29,Coal,0.0
G106345,30,Coal,0.0
G106345,31,Coal,0.0
G106345,32,Coal,0.0
G106345,33,Coal,0.0
G106345,34,Coal,0.0
G106345,35,Coal,0.0
G106345,36,Coal,0.0
G106345,37,Coal,0.0
G106345,38,Coal,0.0
G106345,39,Coal,0.0
G106345,40,Coal,0.0
G106345,41,Coal,0.0
G106345,42,Coal,0.0
G106345,43,Coal,0.0
G106345,44,Coal,0.0
G106345,45,Coal,0.0
G106345,46,Coal,0.0
G106345,47,Coal,0.0
G106345,48,Coal,0.0
G106345,49,Coal,0.0
G106345,50,Coal,0.0
G106345,51,Coal,0.0
G106345,52,Coal,0.0
G106345,53,Coal,0.0
G106345,54,Coal,0.0
G106345,55,Coal,0.0
G106345,56,Coal,0.0
G106345,57,Coal,0.0
G106345,58,Coal,0.0
G106345,59,Coal,0.0
G106345,60,Coal,0.0
G106345,61,Coal,0.0
G106345,62,Coal,0.0
G106345,63,Coal,0.0
G106345,64,Coal,0.0
G106345,65,Coal,0.0
G106345,66,Coal,0.0
G106345,67,Coal,0.0
G106345,68,Coal,0.0
G106345,69,Coal,0.0
G106345,70,Coal,0.0
G106345,71,Coal,0.0
G106345,72,Coal,0.0
G106345,73,Coal,0.0
G106345,74,Coal,0.0
G106345,75,Coal,0.0
G106345,76,Coal,0.0
G106345,77,Coal,0.0
G106345,78,Coal,0.0
G106345,79,Coal,0.0
G106345,80,Coal,0.0
G106345,81,Coal,0.0
G106345,82,Coal,0.0
G106345,83,Coal,0.0
G106345,84,Coal,0.0
G106345,85,Coal,0.0
G106345,86,Coal,0.0
G106345,87,Coal,0.0
G106345,88,Coal,0.0
G106345,89,Coal,0.0
G106345,90,Coal,0.0
G106345,91,Coal,0.0
G106345,92,Coal,0.0
G106345,93,Coal,0.0
G106345,94,Coal,0.0
G106345,95,Coal,0.0
G106345,96,Coal,0.0
G106346,1,Coal,4653.09504
G106346,2,Coal,4653.09504
G106346,3,Coal,4653.09504
G106346,4,Coal,4653.09504
G106346,5,Coal,4653.09504
G106346,6,Coal,4653.09504
G106346,7,Coal,4653.09504
G106346,8,Coal,4653.09504
G106346,9,Coal,4653.09504
G106346,10,Coal,4653.09504
G106346,11,Coal,4653.09504
G106346,12,Coal,4653.09504
G106346,13,Coal,4653.09504
G106346,14,Coal,4653.09504
G106346,15,Coal,4653.09504
G106346,16,Coal,4653.09504
G106346,17,Coal,4653.09504
G106346,18,Coal,4653.09504
G106346,19,Coal,4653.09504
G106346,20,Coal,4653.09504
G106346,21,Coal,4653.09504
G106346,22,Coal,4653.09504
G106346,23,Coal,4653.09504
G106346,24,Coal,4653.09504
G106346,25,Coal,4653.095040000001
G106346,26,Coal,4653.095040000001
G106346,27,Coal,4653.095040000001
G106346,28,Coal,4653.095040000001
G106346,29,Coal,4653.095040000001
G106346,30,Coal,4653.095040000001
G106346,31,Coal,4653.095040000001
G106346,32,Coal,4653.095040000001
G106346,33,Coal,4653.095040000001
G106346,34,Coal,4653.095040000001
G106346,35,Coal,4653.095040000001
G106346,36,Coal,4653.095040000001
G106346,37,Coal,4653.095040000001
G106346,38,Coal,4653.095040000001
G106346,39,Coal,4653.095040000001
G106346,40,Coal,4653.095040000001
G106346,41,Coal,4653.095040000001
G106346,42,Coal,4653.095040000001
G106346,43,Coal,4653.095040000001
G106346,44,Coal,4653.095040000001
G106346,45,Coal,4653.095040000001
G106346,46,Coal,4653.095040000001
G106346,47,Coal,4653.095040000001
G106346,48,Coal,4653.095040000001
G106346,49,Coal,4653.09504
G106346,50,Coal,4653.09504
G106346,51,Coal,4653.09504
G106346,52,Coal,4653.09504
G106346,53,Coal,4653.09504
G106346,54,Coal,4653.09504
G106346,55,Coal,4653.09504
G106346,56,Coal,4653.09504
G106346,57,Coal,4653.09504
