PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,CogenFixedCost,annual,93757658.3407919,93757658.3407919
2020,EmissionsCosts,annual,0.0,0.0
2020,FuelCostsPerTP,timepoint,785362322.205889,785362322.205889
2020,GenVariableOMCostsInTP,timepoint,8340083.992434068,8340083.992434068
2020,LocalTDFixedCosts,annual,197216076.3446901,197216076.3446901
2020,TotalGenFixedCosts,annual,4360169065.777024,4360169065.777024
2020,TxFixedCosts,annual,37317.8777229767,37317.8777229767
2025,CogenFixedCost,annual,73461578.6168202,93757658.3407919
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,615351929.6067473,785362322.2058896
2025,GenVariableOMCostsInTP,timepoint,6534674.038616826,8340083.9924340695
2025,LocalTDFixedCosts,annual,154523956.26430595,197216076.3446901
2025,TotalGenFixedCosts,annual,3587236176.6026382,4578323392.530942
2025,TxFixedCosts,annual,29239.533673022634,37317.8777229767
2030,CogenFixedCost,annual,57559069.076358445,93757658.3407919
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,482144338.43374366,785362322.2058896
2030,GenVariableOMCostsInTP,timepoint,5120088.098598403,8340083.992434069
2030,LocalTDFixedCosts,annual,121073563.07931145,197216076.3446901
2030,TotalGenFixedCosts,annual,2810693409.6704364,4578323392.530942
2030,TxFixedCosts,annual,22909.939728148842,37317.8777229767
2035,CogenFixedCost,annual,48734381.54881185,101315279.10801041
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,218513731.43893948,454274353.87673914
2035,GenVariableOMCostsInTP,timepoint,2360269.2961648246,4906830.350796491
2035,LocalTDFixedCosts,annual,94864304.74021004,197216076.3446901
2035,TotalGenFixedCosts,annual,2880031070.457074,5987377749.9535
2035,TxFixedCosts,annual,17950.53724921991,37317.8777229767
