gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
1,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
1,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
1,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
1,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
2,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
2,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
2,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
2,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,84817811.46596469,8676900.0,44.370072535782434,0.8096
3,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
3,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
3,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
3,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
4,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
4,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
4,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
4,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,98954113.3769588,10123050.0,44.37007253578244,0.8095999999999999
5,Coal,2020,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
5,Coal,2025,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
5,Coal,2030,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
5,Coal,2035,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
6,Coal,2020,507.25274493230836,231814.5044340649,488812.7887968821,300.0,84817811.46596469,8676900.0,184.77283150612882,0.1928864343038666
6,Coal,2025,507.25274493231365,231814.50443406735,488812.78879688715,300.0,84817811.46596469,8676900.0,184.7728315061269,0.1928864343038686
6,Coal,2030,507.25274493231365,231814.50443406735,488812.78879688727,300.0,84817811.46596469,8676900.0,184.7728315061269,0.1928864343038686
6,Coal,2035,0.0,0.0,0.0,300.0,84817811.46596469,8676900.0,0.0,0.0
7,Coal,2020,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
7,Coal,2025,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
7,Coal,2030,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
7,Coal,2035,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
8,Coal,2020,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
8,Coal,2025,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
8,Coal,2030,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
8,Coal,2035,0.0,0.0,0.0,100.0,28272603.82198823,2892300.0,0.0,0.0
9,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
9,Coal,2025,4258.172160000001,1945984.6771200006,4103376.530736385,600.0,169635622.93192938,17353800.0,44.37007253578243,0.8096000000000002
9,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
9,Coal,2035,0.0,0.0,0.0,600.0,169635622.93192938,17353800.0,0.0,0.0
10,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
10,Coal,2025,4258.172160000001,1945984.6771200006,4103376.530736385,600.0,169635622.93192938,17353800.0,44.37007253578243,0.8096000000000002
10,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,169635622.93192938,17353800.0,44.370072535782434,0.8096
10,Coal,2035,0.0,0.0,0.0,600.0,169635622.93192938,17353800.0,0.0,0.0
11,Coal,2020,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
11,Coal,2025,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
11,Coal,2030,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
11,Coal,2035,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
12,Coal,2020,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
12,Coal,2025,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
12,Coal,2030,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
12,Coal,2035,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
13,Coal,2020,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
13,Coal,2025,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
13,Coal,2030,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
13,Coal,2035,0.0,0.0,0.0,135.0,38168015.15968411,3904605.0,0.0,0.0
14,Coal,2020,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
14,Coal,2025,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
14,Coal,2030,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
14,Coal,2035,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,Coal,2020,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,Coal,2025,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,Coal,2030,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
15,Coal,2035,0.0,0.0,0.0,50.0,14136301.910994114,1446150.0,0.0,0.0
16,Coal,2025,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
16,Coal,2030,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
16,Coal,2035,1511.0070394671557,690530.2170364901,1407283.6590415253,350.0,98954113.3769588,10123050.0,72.6453886228776,0.4924895014722975
17,Coal,2025,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
17,Coal,2030,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
17,Coal,2035,0.0,0.0,0.0,350.0,98954113.3769588,10123050.0,0.0,0.0
outside,Coal,2020,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside,Coal,2025,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside,Coal,2030,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
outside,Coal,2035,0.0,0.0,0.0,10000.0,2827260382.198823,289230000.0,0.0,0.0
wind1,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind1,Wind,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind1,Wind,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind1,Wind,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind10,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind10,Wind,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind10,Wind,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind10,Wind,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind11,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind11,Wind,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind11,Wind,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind11,Wind,2035,3466.111940033024,0.0,0.0,5000.0,291202175.9179438,134250000.0,122.74623072730022,0.07908081086089491
wind2,Wind,2020,2140.734650358402,0.0,0.0,679.9130011114034,39598429.071708,18255664.07984118,27.0253453139852,0.3591765930557876
wind2,Wind,2025,2100.9410135851517,0.0,0.0,679.9130011114023,39598429.071707934,18255664.07984115,27.537228688217166,0.35249993984277894
wind2,Wind,2030,2150.0939403694247,0.0,0.0,679.9130011114023,39598429.071707934,18255664.07984115,26.907704852006937,0.36074691280514026
wind2,Wind,2035,2664.049769021163,0.0,0.0,4999.999999999999,291202175.9179437,134250000.0,159.7012866896497,0.06078142297561403
wind3,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind3,Wind,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind3,Wind,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind3,Wind,2035,4512.729521357451,0.0,0.0,5000.0,291202175.9179438,134250000.0,94.27823535720478,0.10295983393468973
wind4,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind4,Wind,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind4,Wind,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind4,Wind,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind5,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind5,Wind,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind5,Wind,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind5,Wind,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind6,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind6,Wind,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind6,Wind,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind6,Wind,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind7,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind7,Wind,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind7,Wind,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind7,Wind,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind8,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind8,Wind,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind8,Wind,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind8,Wind,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind9,Wind,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind9,Wind,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind9,Wind,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind9,Wind,2035,1249.6708389434855,0.0,0.0,2239.4047275601074,130423905.88528666,60128016.934988886,152.48169108384948,0.06365925893814754
