load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,CogenZonalOutput,WithdrawFromCentralGrid
inside_lvliang,20200100,2081.87,0,496.314,2578.18
inside_lvliang,20200101,2094.53,0,465.22,2559.75
inside_lvliang,20200102,2205.06,0,325.483,2530.54
inside_lvliang,20200103,2196.77,0,299.568,2496.34
inside_lvliang,20200104,2466.93,0,0,2466.93
inside_lvliang,20200105,2469.68,0,0,2469.68
inside_lvliang,20200106,2359,0,165.652,2524.65
inside_lvliang,20200107,2632.75,0,0,2632.75
inside_lvliang,20200108,2630.6,0,0,2630.6
inside_lvliang,20200109,2523.61,0,141.988,2665.6
inside_lvliang,202001010,2260.76,0,317.411,2578.17
inside_lvliang,202001011,2422.66,0,141.988,2564.64
inside_lvliang,202001012,2118.48,0,459.399,2577.87
inside_lvliang,202001013,2081.87,0,387.314,2469.18
inside_lvliang,202001014,2081.87,0,363.497,2445.36
inside_lvliang,202001015,2139.39,0,334.29,2473.68
inside_lvliang,202001016,2081.87,0,447.284,2529.15
inside_lvliang,202001017,2123.64,0,625.051,2748.69
inside_lvliang,202001018,2295.65,0,625.051,2920.7
inside_lvliang,202001019,2359.37,0,607.208,2966.58
inside_lvliang,202001020,2590.07,0,299.568,2889.64
inside_lvliang,202001021,2405.9,0,465.22,2871.12
inside_lvliang,202001022,2602.36,0,165.652,2768.01
inside_lvliang,202001023,2601.14,0,21.2274,2622.37
inside_lvliang,20250100,2081.87,0,496.314,2578.18
inside_lvliang,20250101,2094.53,0,465.22,2559.75
inside_lvliang,20250102,2205.06,0,325.483,2530.54
inside_lvliang,20250103,2196.77,0,299.568,2496.34
inside_lvliang,20250104,2466.93,0,0,2466.93
inside_lvliang,20250105,2304.02,0,165.652,2469.68
inside_lvliang,20250106,2524.65,0,0,2524.65
inside_lvliang,20250107,2632.75,0,0,2632.75
inside_lvliang,20250108,2464.95,0,165.652,2630.6
inside_lvliang,20250109,2505.77,0,159.831,2665.6
inside_lvliang,20250110,2278.61,0,299.568,2578.17
inside_lvliang,20250111,2265.08,0,299.568,2564.64
inside_lvliang,20250112,2270.23,0,307.64,2577.87
inside_lvliang,20250113,2161.54,0,307.64,2469.18
