PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,CogenFixedCost,annual,588128671.0876923,135842901.07792625
2020,EmissionsCosts,annual,0.0,0.0
2020,FuelCostsPerTP,timepoint,4819063741.102788,1113082274.7684724
2020,GenVariableOMCostsInTP,timepoint,49168342.53506013,11356647.991337046
2020,LocalTDFixedCosts,annual,1134819570.385309,262114721.18175453
2020,TotalGenFixedCosts,annual,3687716626.9094634,851769603.4546707
2020,TxFixedCosts,annual,59239294.042253815,13682783.982670683
2025,CogenFixedCost,annual,496197601.1292104,146273533.23644724
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,3716879996.359224,1095694877.2949865
2025,GenVariableOMCostsInTP,timepoint,38824851.48098481,11445134.33877954
2025,LocalTDFixedCosts,annual,889160827.6173844,262114721.18175453
2025,TotalGenFixedCosts,annual,3013995482.6519566,888492341.3633964
2025,TxFixedCosts,annual,46415536.965224944,13682783.982670683
2030,CogenFixedCost,annual,388783804.22361565,146273533.23644724
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,2779199167.818014,1045628129.1252452
2030,GenVariableOMCostsInTP,timepoint,29243171.025313754,11002263.732287737
2030,LocalTDFixedCosts,annual,696680774.6369715,262114721.18175453
2030,TotalGenFixedCosts,annual,2595864226.1442823,976651362.6216425
2030,TxFixedCosts,annual,36367787.74293774,13682783.982670683
2035,CogenFixedCost,annual,304622283.7083534,146273533.23644724
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,1633181428.708338,784221085.4870778
2035,GenVariableOMCostsInTP,timepoint,17410360.039076667,8360106.971926554
2035,LocalTDFixedCosts,annual,545867616.6035826,262114721.18175453
2035,TotalGenFixedCosts,annual,2937882446.2569704,1410712441.7029629
2035,TxFixedCosts,annual,28495113.313162617,13682783.982670683
