generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts
G106344,20200100,G106344,7,inside_lvliang,Coal,365.25,2020,80.96,29.57064,13513.78248,36245.04098265599,100.0,4186105.4155322565,1060000.0
G106344,20200101,G106344,7,inside_lvliang,Coal,365.25,2020,80.96,29.57064,13513.78248,36245.04098265599,100.0,4186105.4155322565,1060000.0
G106344,20200102,G106344,7,inside_lvliang,Coal,365.25,2020,80.96,29.57064,13513.78248,36245.04098265599,100.0,4186105.4155322565,1060000.0
G106344,20200103,G106344,7,inside_lvliang,Coal,365.25,2020,80.96,29.57064,13513.78248,36245.04098265599,100.0,4186105.4155322565,1060000.0
G106344,20200104,G106344,7,inside_lvliang,Coal,365.25,2020,80.96,29.57064,13513.78248,36245.04098265599,100.0,4186105.4155322565,1060000.0
G106344,20200105,G106344,7,inside_lvliang,Coal,365.25,2020,80.96,29.57064,13513.78248,36245.04098265599,100.0,4186105.4155322565,1060000.0
G106344,20200106,G106344,7,inside_lvliang,Coal,365.25,2020,80.96,29.57064,13513.78248,36245.04098265599,100.0,4186105.4155322565,1060000.0
G106344,20200107,G106344,7,inside_lvliang,Coal,365.25,2020,80.96,29.57064,13513.78248,36245.04098265599,100.0,4186105.4155322565,1060000.0
G106344,20200108,G106344,7,inside_lvliang,Coal,365.25,2020,80.96,29.57064,13513.78248,36245.04098265599,100.0,4186105.4155322565,1060000.0
G106344,20200109,G106344,7,inside_lvliang,Coal,365.25,2020,80.96,29.57064,13513.78248,36245.04098265599,100.0,4186105.4155322565,1060000.0
G106344,20250100,G106344,7,inside_lvliang,Coal,365.25,2025,0.0,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0
G106344,20250101,G106344,7,inside_lvliang,Coal,365.25,2025,0.0,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0
G106344,20250102,G106344,7,inside_lvliang,Coal,365.25,2025,0.0,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0
G106344,20250103,G106344,7,inside_lvliang,Coal,365.25,2025,0.0,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0
G106344,20250104,G106344,7,inside_lvliang,Coal,365.25,2025,0.0,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0
G106344,20250105,G106344,7,inside_lvliang,Coal,365.25,2025,0.0,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0
G106344,20250106,G106344,7,inside_lvliang,Coal,365.25,2025,0.0,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0
