gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
1,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
1,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
1,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
1,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
2,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
2,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
2,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
2,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
3,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
3,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
3,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
3,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
4,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
4,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
4,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
4,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14651368.954362897,3710000.0,7.849052578069916,0.8095999999999999
5,Coal,2020,2129.08608,972992.33856,2235674.0906058243,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
5,Coal,2025,2129.08608,972992.33856,2235674.0906058243,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
5,Coal,2030,2118.0925260835866,967968.284420199,2224130.1685984037,300.0,12558316.246596768,3180000.0,7.887419612356294,0.8054196235773012
5,Coal,2035,0.0,0.0,0.0,300.0,12558316.246596768,3180000.0,0.0,0.0
6,Coal,2020,2129.08608,972992.33856,2051688.265368192,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
6,Coal,2025,2129.08608,972992.33856,2051688.265368192,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
6,Coal,2030,2129.08608,972992.33856,2051688.265368192,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
6,Coal,2035,2129.08608,972992.33856,2051688.265368192,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
7,Coal,2020,709.69536,324330.77952,869880.9835837438,100.0,4186105.4155322565,1060000.0,7.849052578069914,0.8096000000000001
7,Coal,2025,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
7,Coal,2030,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
7,Coal,2035,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
8,Coal,2020,709.69536,324330.77952,869880.9835837438,100.0,4186105.4155322565,1060000.0,7.849052578069914,0.8096000000000001
8,Coal,2025,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
8,Coal,2030,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
8,Coal,2035,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
9,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
9,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
9,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
9,Coal,2035,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
10,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
10,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
10,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
10,Coal,2035,594.7400463435787,271796.20117901545,573119.699334869,600.0,25116632.493193537,6360000.0,53.382026129835594,0.11307704889032981
11,Coal,2020,958.0887359999999,437846.5523519999,1090581.8692127038,135.0,5651242.310968546,1431000.0,7.849052578069916,0.8096
11,Coal,2025,958.0887359999999,437846.5523519999,1090581.8692127038,135.0,5651242.310968546,1431000.0,7.849052578069916,0.8096
11,Coal,2030,0.0,0.0,0.0,135.0,5651242.310968546,1431000.0,0.0,0.0
11,Coal,2035,0.0,0.0,0.0,135.0,5651242.310968546,1431000.0,0.0,0.0
12,Coal,2020,472.39762543774174,215885.71482504794,585248.2217809383,135.0,5651242.310968546,1431000.0,15.44912089477772,0.3991833983469311
12,Coal,2025,0.0,0.0,0.0,135.0,5651242.310968546,1431000.0,0.0,0.0
12,Coal,2030,0.0,0.0,0.0,135.0,5651242.310968546,1431000.0,0.0,0.0
12,Coal,2035,0.0,0.0,0.0,135.0,5651242.310968546,1431000.0,0.0,0.0
13,Coal,2020,0.0,0.0,0.0,135.0,5651242.310968546,1431000.0,0.0,0.0
13,Coal,2025,0.0,0.0,0.0,135.0,5651242.310968546,1431000.0,0.0,0.0
13,Coal,2030,0.0,0.0,0.0,135.0,5651242.310968546,1431000.0,0.0,0.0
13,Coal,2035,0.0,0.0,0.0,135.0,5651242.310968546,1431000.0,0.0,0.0
14,Coal,2020,0.0,0.0,0.0,50.0,2093052.7077661282,530000.0,0.0,0.0
14,Coal,2025,0.0,0.0,0.0,50.0,2093052.7077661282,530000.0,0.0,0.0
14,Coal,2030,0.0,0.0,0.0,50.0,2093052.7077661282,530000.0,0.0,0.0
14,Coal,2035,0.0,0.0,0.0,50.0,2093052.7077661282,530000.0,0.0,0.0
15,Coal,2020,0.0,0.0,0.0,50.0,2093052.7077661282,530000.0,0.0,0.0
15,Coal,2025,0.0,0.0,0.0,50.0,2093052.7077661282,530000.0,0.0,0.0
15,Coal,2030,0.0,0.0,0.0,50.0,2093052.7077661282,530000.0,0.0,0.0
15,Coal,2035,0.0,0.0,0.0,50.0,2093052.7077661282,530000.0,0.0,0.0
16,Coal,2025,340.10781958383086,155429.27354981072,316761.0502869348,350.0,14651368.954362897,3710000.0,54.44390620177619,0.1108529120901636
16,Coal,2030,340.10781958383075,155429.27354981063,316761.0502869347,350.0,14651368.954362897,3710000.0,54.44390620177621,0.11085291209016356
16,Coal,2035,340.107819583831,155429.27354981075,316761.05028693494,350.0,14651368.954362897,3710000.0,54.44390620177619,0.1108529120901636
17,Coal,2025,1745.3049185070606,797604.3477577267,1625498.1133151595,350.0,14651368.954362897,3710000.0,10.977436148240086,0.5688552910619148
17,Coal,2030,1745.3049185070606,797604.3477577267,1625498.1133151616,350.0,14651368.954362897,3710000.0,10.977436148240086,0.5688552910619148
17,Coal,2035,1745.3049185070606,797604.3477577267,1625498.1133151618,350.0,14651368.954362897,3710000.0,10.977436148240086,0.5688552910619148
PV1,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV1,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV1,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV1,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV10,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV10,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV10,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV10,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV11,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV11,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV11,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV11,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV2,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV2,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV2,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV2,Solar,2035,0.18783323880595798,0.0,0.0,1.1088,28206.64509928085,14802.48,228.97504921219843,0.019324922615833334
PV3,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV3,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV3,Solar,2030,702.7454201142593,0.0,0.0,660.1414806119454,16793268.812170755,8812888.766169472,36.43731690798771,0.1214393781560887
PV3,Solar,2035,2884.645259290651,0.0,0.0,3130.353200774431,79632721.65371773,41790215.230338655,42.09284884960687,0.10512296572731715
PV4,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV4,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV4,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV4,Solar,2035,251.06738114284008,0.0,0.0,644.0,16382647.406147968,8597400.0,99.49539160539553,0.04447366893666667
PV5,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV5,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV5,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV5,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV6,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV6,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV6,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV6,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV7,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV7,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV7,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV7,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV8,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV8,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV8,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV8,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV9,Solar,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV9,Solar,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV9,Solar,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV9,Solar,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
