timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,outside_coal,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
20200100,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,306.716,0,0,0,0,0,0,0,0,0,0
20200101,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,316.115,0,0,0,0,0,0,0,0,0,0
20200102,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,259.4,0,0,0,0,0,0,0,0,0,0
20200103,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,305.525,0,0,0,0,0,0,0,0,0,0
20200104,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,101.375,0,0,0,0,0,0,0,0,0,0
20200105,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3202,0,0,0,0,0,0,0,0,0,0
20200106,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,273.303,0,0,0,0,0,0,0,0,0,0
20200107,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,271.434,0,0,0,0,0,0,0,0,0,0
20200108,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,315.645,0,0,0,0,0,0,0,0,0,0
20200109,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,252.473,0,0,0,0,0,0,0,0,0,0
202001010,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,280.41,0,0,0,0,0,0,0,0,0,0
202001011,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,369.96,0,0,0,0,0,0,0,0,0,0
202001012,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,383.189,0,0,0,0,0,0,0,0,0,0
202001013,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,355.621,0,0,0,0,0,0,0,0,0,0
202001014,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,422.564,0,0,0,0,0,0,0,0,0,0
202001015,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,151.311,0,0,0,0,0,0,0,0,0,0
202001016,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,383.122,0,0,0,0,0,0,0,0,0,0
202001017,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,297.269,0,0,0,0,0,0,0,0,0,0
202001018,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,280.18,0,0,0,0,0,0,0,0,0,0
202001019,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,326.061,0,0,0,0,0,0,0,0,0,0
202001020,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,249.119,0,0,0,0,0,0,0,0,0,0
202001021,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,329.476,0,0,0,0,0,0,0,0,0,0
202001022,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,226.37,0,0,0,0,0,0,0,0,0,0
202001023,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,53.8898,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1586,0,0,0,0,0,0,0,0,0,0
20250100,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.445,0,0,0,0,0,0,0,0,0,0
20250101,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.258,0,0,0,0,0,0,0,0,0,0
20250102,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.4502,0,0,0,0,0,0,0,0,0,0
20250103,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.277,0,0,0,0,0,0,0,0,0,0
20250104,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.721,0,0,0,0,0,0,0,0,0,0
20250105,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.392,0,0,0,0,0,0,0,0,0,0
20250106,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.341,0,0,0,0,0,0,0,0,0,0
20250107,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.113,0,0,0,0,0,0,0,0,0,0
20250108,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.885,0,0,0,0,0,0,0,0,0,0
20250109,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.665,0,0,0,0,0,0,0,0,0,0
20250110,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.208,0,0,0,0,0,0,0,0,0,0
20250111,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.868,0,0,0,0,0,0,0,0,0,0
20250112,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.792,0,0,0,0,0,0,0,0,0,0
20250113,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.447,0,0,0,0,0,0,0,0,0,0
20250114,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.196,0,0,0,0,0,0,0,0,0,0
20250115,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.229,0,0,0,0,0,0,0,0,0,0
20250116,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414.889,0,0,0,0,0,0,0,0,0,0
20250117,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.62,0,0,0,0,0,0,0,0,0,0
20250118,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.561,0,0,0,0,0,0,0,0,0,0
20250119,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.442,0,0,0,0,0,0,0,0,0,0
20250120,0,0,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,38.7985,199.099,0,0,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337.824,0,0,0,0,0,0,0,0,0,0
