GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
G106344,2020,7,inside_lvliang,Coal,100,0,4.18611e+06,1.06e+06
G106344,2025,7,inside_lvliang,Coal,100,0,4.18611e+06,1.06e+06
G106344,2030,7,inside_lvliang,Coal,100,0,4.18611e+06,1.06e+06
G106344,2035,7,inside_lvliang,Coal,100,0,4.18611e+06,1.06e+06
G106345,2020,8,inside_lvliang,Coal,100,0,4.18611e+06,1.06e+06
G106345,2025,8,inside_lvliang,Coal,100,0,4.18611e+06,1.06e+06
G106345,2030,8,inside_lvliang,Coal,100,0,4.18611e+06,1.06e+06
G106345,2035,8,inside_lvliang,Coal,100,0,4.18611e+06,1.06e+06
G106346,2020,9,inside_lvliang,Coal,600,0,2.51166e+07,6.36e+06
G106346,2025,9,inside_lvliang,Coal,600,0,2.51166e+07,6.36e+06
G106346,2030,9,inside_lvliang,Coal,600,0,2.51166e+07,6.36e+06
G106346,2035,9,inside_lvliang,Coal,600,0,2.51166e+07,6.36e+06
G106347,2020,10,inside_lvliang,Coal,600,0,2.51166e+07,6.36e+06
G106347,2025,10,inside_lvliang,Coal,600,0,2.51166e+07,6.36e+06
G106347,2030,10,inside_lvliang,Coal,600,0,2.51166e+07,6.36e+06
G106347,2035,10,inside_lvliang,Coal,600,0,2.51166e+07,6.36e+06
G106348,2020,5,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G106348,2025,5,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G106348,2030,5,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G106348,2035,5,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G106349,2020,6,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G106349,2025,6,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G106349,2030,6,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G106349,2035,6,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G106470,2020,3,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G106470,2025,3,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G106470,2030,3,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G106470,2035,3,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G106471,2020,4,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G106471,2025,4,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G106471,2030,4,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G106471,2035,4,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G109041,2020,1,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G109041,2025,1,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G109041,2030,1,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G109041,2035,1,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G109042,2020,2,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G109042,2025,2,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G109042,2030,2,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G109042,2035,2,inside_lvliang,Coal,300,0,1.25583e+07,3.18e+06
G111092,2020,16,inside_lvliang,Coal,0,0,0,0
G111092,2025,16,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G111092,2030,16,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G111092,2035,16,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G111093,2020,17,inside_lvliang,Coal,0,0,0,0
G111093,2025,17,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G111093,2030,17,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G111093,2035,17,inside_lvliang,Coal,350,0,1.46514e+07,3.71e+06
G112778,2020,14,inside_lvliang,Coal,50,0,2.09305e+06,530000
G112778,2025,14,inside_lvliang,Coal,50,0,2.09305e+06,530000
G112778,2030,14,inside_lvliang,Coal,50,0,2.09305e+06,530000
G112778,2035,14,inside_lvliang,Coal,50,0,2.09305e+06,530000
G112779,2020,15,inside_lvliang,Coal,50,0,2.09305e+06,530000
G112779,2025,15,inside_lvliang,Coal,50,0,2.09305e+06,530000
G112779,2030,15,inside_lvliang,Coal,50,0,2.09305e+06,530000
G112779,2035,15,inside_lvliang,Coal,50,0,2.09305e+06,530000
G114088,2020,11,inside_lvliang,Coal,135,0,5.65124e+06,1.431e+06
G114088,2025,11,inside_lvliang,Coal,135,0,5.65124e+06,1.431e+06
G114088,2030,11,inside_lvliang,Coal,135,0,5.65124e+06,1.431e+06
G114088,2035,11,inside_lvliang,Coal,135,0,5.65124e+06,1.431e+06
G114089,2020,12,inside_lvliang,Coal,135,0,5.65124e+06,1.431e+06
