load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,CogenZonalOutput,WithdrawFromCentralGrid
inside_lvliang,20200100,3141.58,-1099.96,536.563,2578.18
inside_lvliang,20200101,3150.98,-1099.96,508.733,2559.75
inside_lvliang,20200102,3094.27,-1099.96,536.239,2530.54
inside_lvliang,20200103,3140.39,-1099.96,455.91,2496.34
inside_lvliang,20200104,2936.24,-1099.96,630.654,2466.93
inside_lvliang,20200105,2873.19,-1099.96,696.454,2469.68
inside_lvliang,20200106,3108.17,-1099.96,516.448,2524.65
inside_lvliang,20200107,3106.3,-1099.96,626.418,2632.75
inside_lvliang,20200108,3150.51,-1099.96,580.055,2630.6
inside_lvliang,20200109,3087.34,-1099.96,678.226,2665.6
inside_lvliang,202001010,3115.28,-1099.96,562.863,2578.17
inside_lvliang,202001011,3204.83,-1099.96,459.784,2564.64
inside_lvliang,202001012,3218.06,-1099.96,459.784,2577.87
inside_lvliang,202001013,3190.49,-1099.96,378.658,2469.18
inside_lvliang,202001014,3257.43,-1099.96,287.898,2445.36
inside_lvliang,202001015,2986.18,-1099.96,587.466,2473.68
inside_lvliang,202001016,3217.99,-1099.96,411.127,2529.15
inside_lvliang,202001017,3132.13,-1099.96,716.521,2748.69
inside_lvliang,202001018,3115.05,-1099.96,905.619,2920.7
inside_lvliang,202001019,3160.93,-1099.96,905.619,2966.58
inside_lvliang,202001020,3083.98,-1099.96,905.619,2889.64
inside_lvliang,202001021,3164.34,-1099.96,806.738,2871.12
inside_lvliang,202001022,3061.24,-1099.96,806.738,2768.01
inside_lvliang,202001023,2926.02,-1099.96,796.307,2622.37
inside_lvliang,20250100,3001.4,-1099.96,676.746,2578.18
inside_lvliang,20250101,3197.21,-1099.96,462.501,2559.75
inside_lvliang,20250102,2948.4,-1099.96,682.1,2530.54
inside_lvliang,20250103,3144.23,-1099.96,452.069,2496.34
inside_lvliang,20250104,3101.67,-1099.96,465.22,2466.93
inside_lvliang,20250105,3157.35,-1099.96,412.294,2469.68
inside_lvliang,20250106,3095.29,-1099.96,529.322,2524.65
inside_lvliang,20250107,3123.07,-1099.96,609.65,2632.75
inside_lvliang,20250108,3190.84,-1099.96,539.727,2630.6
inside_lvliang,20250109,3187.62,-1099.96,577.946,2665.6
inside_lvliang,20250110,3280.16,-1099.96,397.977,2578.17
inside_lvliang,20250111,3294.82,-1099.96,369.787,2564.64
inside_lvliang,20250112,3166.75,-1099.96,511.093,2577.87
inside_lvliang,20250113,3084.4,-1099.96,484.744,2469.18
inside_lvliang,20250114,3168.15,-1099.96,377.177,2445.36
inside_lvliang,20250115,3199.18,-1099.96,374.46,2473.68
inside_lvliang,20250116,3271.84,-1099.96,357.272,2529.15
inside_lvliang,20250117,3228.57,-1099.96,620.082,2748.69
inside_lvliang,20250118,3140.51,-1099.96,880.15,2920.7
inside_lvliang,20250119,3186.4,-1099.96,880.15,2966.58
inside_lvliang,20250120,3194.78,-1099.96,794.826,2889.64
inside_lvliang,20250121,3209.01,-1099.96,762.069,2871.12
inside_lvliang,20250122,3191.23,-1099.96,676.746,2768.01
inside_lvliang,20250123,3045.59,-1099.96,676.746,2622.37
inside_lvliang,20300100,2986.05,-1099.96,692.091,2578.18
inside_lvliang,20300101,3207.64,-1099.96,452.069,2559.75
inside_lvliang,20300102,3119.41,-1099.96,511.093,2530.54
inside_lvliang,20300103,3136.96,-1099.96,459.343,2496.34
inside_lvliang,20300104,3026.78,-1099.96,540.112,2466.93
inside_lvliang,20300105,3163.31,-1099.96,406.329,2469.68
inside_lvliang,20300106,3154.25,-1099.96,470.366,2524.65
inside_lvliang,20300107,3145.19,-1099.96,587.527,2632.75
inside_lvliang,20300108,3210.53,-1099.96,520.04,2630.6
inside_lvliang,20300109,3373.04,-1099.96,392.523,2665.6
inside_lvliang,20300110,3536.15,-1099.96,141.988,2578.17
inside_lvliang,20300111,3652.81,-1099.96,11.7964,2564.64
inside_lvliang,20300112,3677.84,-1099.96,0,2577.87
inside_lvliang,20300113,3427.16,-1099.96,141.988,2469.18
inside_lvliang,20300114,3103.77,-1099.96,441.556,2445.36
inside_lvliang,20300115,3573.64,-1099.96,0,2473.68
inside_lvliang,20300116,3463.46,-1099.96,165.652,2529.15
inside_lvliang,20300117,3171.91,-1099.96,676.746,2748.69
inside_lvliang,20300118,3326.13,-1099.96,694.533,2920.7
inside_lvliang,20300119,3230.02,-1099.96,836.521,2966.58
inside_lvliang,20300120,3237.97,-1099.96,751.638,2889.64
inside_lvliang,20300121,3230.83,-1099.96,740.254,2871.12
inside_lvliang,20300122,3191.23,-1099.96,676.746,2768.01
inside_lvliang,20300123,3245.77,-1099.96,476.561,2622.37
inside_lvliang,20350100,3130.26,-1099.96,547.882,2578.18
inside_lvliang,20350101,3111.83,-1099.96,547.882,2559.75
inside_lvliang,20350102,3077.27,-1099.96,553.236,2530.54
inside_lvliang,20350103,3048.42,-1099.96,547.882,2496.34
