PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,FuelCostsPerTP,timepoint,1142897071.5462964,1142897071.5462964
2020,GenVariableOMCostsInTP,timepoint,11529959.211936008,11529959.211936008
2020,LocalTDFixedCosts,annual,262114721.18175453,262114721.18175453
2020,TotalGenFixedCosts,annual,782956388.8710256,782956388.8710256
2020,TxFixedCosts,annual,13682783.982670683,13682783.982670683
2025,FuelCostsPerTP,timepoint,842708574.2522334,1075533415.878788
2025,GenVariableOMCostsInTP,timepoint,8961725.034588221,11437684.429839624
2025,LocalTDFixedCosts,annual,205373742.6624891,262114721.18175453
2025,TotalGenFixedCosts,annual,636413595.4791514,812242938.0343745
2025,TxFixedCosts,annual,10720819.280557992,13682783.982670683
2030,FuelCostsPerTP,timepoint,680200084.282518,1107974262.421357
2030,GenVariableOMCostsInTP,timepoint,7212547.609949903,11748480.047223879
2030,LocalTDFixedCosts,annual,160915701.28161985,262114721.18175453
2030,TotalGenFixedCosts,annual,498868748.93898994,812604624.6139055
2030,TxFixedCosts,annual,8400042.432296745,13682783.982670683
2035,FuelCostsPerTP,timepoint,382550371.6987321,795294747.7687874
2035,GenVariableOMCostsInTP,timepoint,4056224.9100436103,8432600.267520005
2035,LocalTDFixedCosts,annual,126081662.54977128,262114721.18175453
2035,TotalGenFixedCosts,annual,605159494.7428159,1258083126.659186
2035,TxFixedCosts,annual,6581653.045149858,13682783.982670683
