gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
1,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
1,inside_lvliang,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
1,inside_lvliang,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
1,inside_lvliang,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
2,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
2,inside_lvliang,Coal,2025,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
2,inside_lvliang,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
2,inside_lvliang,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
3,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
3,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
3,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
3,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
4,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
4,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
4,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
4,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
5,inside_lvliang,Coal,2020,2129.08608,972992.33856,2235674.0906058243,300.0,13555245.527235586,3180000.0,8.317295403009533,0.8096
5,inside_lvliang,Coal,2025,188.41826398167183,86107.14663962401,197851.00984773342,26.549175125179318,13555245.527235586,281421.2563269008,73.89291057026422,0.8096
5,inside_lvliang,Coal,2030,868.4962013651599,396902.76402387803,911975.5529948636,122.37591652919357,13555245.527235586,1297184.715209452,17.558318600011148,0.8096
5,inside_lvliang,Coal,2035,2129.08608,972992.33856,2235674.0906058243,300.0,13555245.527235586,3180000.0,8.317295403009533,0.8096
6,inside_lvliang,Coal,2020,2129.08608,972992.33856,2051688.265368192,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096
6,inside_lvliang,Coal,2025,2129.08608,972992.33856,2051688.265368192,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096
6,inside_lvliang,Coal,2030,2129.08608,972992.33856,2051688.265368192,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096
6,inside_lvliang,Coal,2035,2129.08608,972992.33856,2051688.265368192,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096
