gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
PV1,inside_lvliang,Solar,2020,251.07638068443316,0.0,0.0,194.7902658,4955248.824147893,2600450.04843,30.093228411135645,0.1470405583119481
PV1,inside_lvliang,Solar,2025,231.12960508024042,0.0,0.0,194.7902658,4955248.824147893,2600450.04843,32.690311870497105,0.1353589138125
PV1,inside_lvliang,Solar,2030,222.14653081527442,0.0,0.0,194.7902658,4955248.824147893,2600450.04843,34.012229877498385,0.13009805951916667
PV1,inside_lvliang,Solar,2035,69.82294385752226,0.0,0.0,194.7902658,4955248.824147893,2600450.04843,108.21226455297747,0.04089116076871355
PV10,inside_lvliang,Solar,2020,101.89004344528712,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,32.80977176223127,0.1348660740175
PV10,inside_lvliang,Solar,2025,93.77646156264491,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,35.648488059559625,0.12412658566583334
PV10,inside_lvliang,Solar,2030,124.62646653058658,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,26.824070065913666,0.16496098825082028
PV10,inside_lvliang,Solar,2035,34.04357911139907,0.0,0.0,86.18418237,2192430.2356441985,1150558.8346395001,98.19734462538753,0.045061555624166666
PV11,inside_lvliang,Solar,2020,0.15519804104446042,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,28.032215899552874,0.15785142076666667
PV11,inside_lvliang,Solar,2025,0.10639657484804504,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,40.88989706632385,0.10821560885333335
PV11,inside_lvliang,Solar,2030,0.151594635710046,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,28.698541827477587,0.1541864089675
PV11,inside_lvliang,Solar,2035,0.016716154355025516,0.0,0.0,0.112159554,2853.214947845983,1497.3300459,260.2599199162122,0.01700194601
