load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,CogenZonalOutput,WithdrawFromCentralGrid,RunElectrolyzerMW,LiquefyHydrogenMW
inside_lvliang,20200100,3027.99,-1099.96,650.396,2578.18,0.24426,0
inside_lvliang,20200101,2932.17,-1099.96,727.786,2559.75,0.24426,0
inside_lvliang,20200102,3130.27,-1099.96,500.475,2530.54,0.24426,0
inside_lvliang,20200103,3078.21,-1099.96,518.331,2496.34,0.24426,0
inside_lvliang,20200104,3085.61,-1099.96,481.526,2466.93,0.24426,0
inside_lvliang,20200105,3118.41,-1099.96,451.478,2469.68,0.24426,0
inside_lvliang,20200106,3042.39,-1099.96,582.47,2524.65,0.24426,0
inside_lvliang,20200107,2975.76,-1099.96,757.204,2632.75,0.24426,0
inside_lvliang,20200108,3159.34,-1099.96,571.469,2630.6,0.24426,0
inside_lvliang,20200109,3101.08,-1099.96,664.726,2665.6,0.24426,0
inside_lvliang,202001010,3212.95,-1099.96,465.432,2578.17,0.24426,0
inside_lvliang,202001011,3404.23,-1099.96,260.628,2564.64,0.24426,0
inside_lvliang,202001012,3331.29,-1099.96,346.792,2577.87,0.24426,0
inside_lvliang,202001013,3300.49,-1099.96,268.903,2469.18,0.24426,0
inside_lvliang,202001014,3002.96,-1099.96,542.61,2445.36,0.24426,0
inside_lvliang,202001015,3130.72,-1099.96,443.168,2473.68,0.24426,0
inside_lvliang,202001016,3254.69,-1099.96,374.672,2529.15,0.24426,0
inside_lvliang,202001017,3235.3,-1099.96,613.604,2748.69,0.24426,0
inside_lvliang,202001018,3271.64,-1099.96,749.27,2920.7,0.24426,0
inside_lvliang,202001019,3234.45,-1099.96,832.096,2966.58,0,0
inside_lvliang,202001020,3222.45,-1099.96,767.399,2889.64,0.24426,0
inside_lvliang,202001021,3194.29,-1099.96,777.035,2871.12,0.24426,0
inside_lvliang,202001022,3120.68,-1099.96,747.539,2768.01,0.24426,0
inside_lvliang,202001023,3067.15,-1099.96,655.428,2622.37,0.24426,0
inside_lvliang,20250100,3138.28,-1099.96,540.112,2578.18,0.24426,0
inside_lvliang,20250101,3188.2,-1099.96,471.754,2559.75,0.24426,0
inside_lvliang,20250102,3181.48,-1099.96,449.268,2530.54,0.24426,0
inside_lvliang,20250103,3139.26,-1099.96,457.286,2496.34,0.24426,0
inside_lvliang,20250104,3070.77,-1099.96,496.366,2466.93,0.24426,0
inside_lvliang,20250105,3151.22,-1099.96,418.664,2469.68,0.24426,0
inside_lvliang,20250106,3158.99,-1099.96,465.871,2524.65,0.24426,0
inside_lvliang,20250107,3166.76,-1099.96,566.203,2632.75,0.24426,0
inside_lvliang,20250108,3316.81,-1099.96,414,2630.6,0.24426,0
inside_lvliang,20250109,3503.84,-1099.96,261.969,2665.6,0.24426,0
inside_lvliang,20250110,3532.5,-1099.96,145.886,2578.17,0.24426,0
inside_lvliang,20250111,3460.44,-1099.96,204.418,2564.64,0.24426,0
inside_lvliang,20250112,3678.08,-1099.96,0,2577.87,0.24426,0
inside_lvliang,20250113,3265.78,-1099.96,303.604,2469.18,0.24426,0
inside_lvliang,20250114,3395.79,-1099.96,149.784,2445.36,0.24426,0
inside_lvliang,20250115,3502.89,-1099.96,70.9938,2473.68,0.24426,0
inside_lvliang,20250116,3428.66,-1099.96,200.696,2529.15,0.24426,0
inside_lvliang,20250117,3459.97,-1099.96,388.928,2748.69,0.24426,0
inside_lvliang,20250118,3370.72,-1099.96,650.186,2920.7,0.24426,0
inside_lvliang,20250119,3248.21,-1099.96,818.335,2966.58,0,0
inside_lvliang,20250120,3248.93,-1099.96,740.923,2889.64,0.24426,0
inside_lvliang,20250121,3249.64,-1099.96,721.684,2871.12,0.24426,0
inside_lvliang,20250122,3228.08,-1099.96,640.137,2768.01,0.24426,0
inside_lvliang,20250123,3211.74,-1099.96,510.833,2622.37,0.24426,0
inside_lvliang,20300100,3213.9,-1099.96,464.489,2578.18,0.24426,0
inside_lvliang,20300101,3129.18,-1099.96,530.778,2559.75,0.24426,0
inside_lvliang,20300102,3035.7,-1099.96,595.051,2530.54,0.24426,0
inside_lvliang,20300103,3080.42,-1099.96,516.123,2496.34,0.24426,0
inside_lvliang,20300104,3152.75,-1099.96,414.386,2466.93,0.24426,0
inside_lvliang,20300105,3149.42,-1099.96,420.462,2469.68,0.24426,0
inside_lvliang,20300106,3168.41,-1099.96,456.454,2524.65,0.24426,0
inside_lvliang,20300107,3176.23,-1099.96,556.728,2632.75,0.24426,0
inside_lvliang,20300108,3346.56,-1099.96,384.246,2630.6,0.24426,0
inside_lvliang,20300109,3444.72,-1099.96,321.092,2665.6,0.24426,0
inside_lvliang,20300110,3453.57,-1099.96,224.814,2578.17,0.24426,0
inside_lvliang,20300111,3365.29,-1099.96,299.568,2564.64,0.24426,0
inside_lvliang,20300112,3464.03,-1099.96,214.057,2577.87,0.24426,0
inside_lvliang,20300113,3498.39,-1099.96,70.9938,2469.18,0.24426,0
inside_lvliang,20300114,3527.72,-1099.96,17.8469,2445.36,0.24426,0
inside_lvliang,20300115,3353.11,-1099.96,220.778,2473.68,0.24426,0
inside_lvliang,20300116,3487.37,-1099.96,141.988,2529.15,0.24426,0
inside_lvliang,20300117,3335.27,-1099.96,513.626,2748.69,0.24426,0
inside_lvliang,20300118,3395.27,-1099.96,625.639,2920.7,0.24426,0
inside_lvliang,20300119,3238.88,-1099.96,827.661,2966.58,0,0
inside_lvliang,20300120,3241.34,-1099.96,748.507,2889.64,0.24426,0
inside_lvliang,20300121,3243.8,-1099.96,727.527,2871.12,0.24426,0
inside_lvliang,20300122,3246.25,-1099.96,621.964,2768.01,0.24426,0
inside_lvliang,20300123,3164.54,-1099.96,558.036,2622.37,0.24426,0
inside_lvliang,20350100,3044.89,-1099.96,633.508,2578.18,0.255363,0
inside_lvliang,20350101,3026.46,-1099.96,633.508,2559.75,0.255363,0
inside_lvliang,20350102,2997.25,-1099.96,633.508,2530.54,0.255363,0
inside_lvliang,20350103,2963.05,-1099.96,633.508,2496.34,0.255363,0
inside_lvliang,20350104,3004.64,-1099.96,562.514,2466.93,0.255363,0
inside_lvliang,20350105,2936.39,-1099.96,633.508,2469.68,0.255363,0
inside_lvliang,20350106,2991.36,-1099.96,633.508,2524.65,0.255363,0
inside_lvliang,20350107,3189.72,-1099.96,543.25,2632.75,0.255363,0
inside_lvliang,20350108,3234.54,-1099.96,496.281,2630.6,0.255363,0
inside_lvliang,20350109,3132.31,-1099.96,633.508,2665.6,0.255363,0
inside_lvliang,20350110,3202.6,-1099.96,475.79,2578.17,0.255363,0
inside_lvliang,20350111,3593.87,-1099.96,70.9938,2564.64,0.255363,0
inside_lvliang,20350112,3186.57,-1099.96,491.52,2577.87,0.255363,0
inside_lvliang,20350113,2935.89,-1099.96,633.508,2469.18,0.255363,0
inside_lvliang,20350114,2912.07,-1099.96,633.508,2445.36,0.255363,0
inside_lvliang,20350115,2940.39,-1099.96,633.508,2473.68,0.255363,0
inside_lvliang,20350116,2995.86,-1099.96,633.508,2529.15,0.255363,0
inside_lvliang,20350117,3215.4,-1099.96,633.508,2748.69,0.255363,0
inside_lvliang,20350118,3458.41,-1099.96,562.514,2920.7,0.255363,0
inside_lvliang,20350119,3433.04,-1099.96,633.508,2966.58,0,0
inside_lvliang,20350120,3370.55,-1099.96,619.308,2889.64,0.255363,0
inside_lvliang,20350121,3337.57,-1099.96,633.508,2871.12,0,0
inside_lvliang,20350122,3234.72,-1099.96,633.508,2768.01,0.255363,0
inside_lvliang,20350123,3089.08,-1099.96,633.508,2622.37,0.255363,0
outside_lvliang,20200100,0,1055.97,0,1055.97,0,0
outside_lvliang,20200101,0,1055.97,0,1055.97,0,0
outside_lvliang,20200102,0,1055.97,0,1055.97,0,0
outside_lvliang,20200103,0,1055.97,0,1055.97,0,0
outside_lvliang,20200104,0,1055.97,0,1055.97,0,0
outside_lvliang,20200105,0,1055.97,0,1055.97,0,0
