load_zone,technology,period,capacity
inside_lvliang,PV1,2020,194.7902658
inside_lvliang,PV1,2025,194.7902658
inside_lvliang,PV1,2030,194.7902658
inside_lvliang,PV1,2035,194.7902658
inside_lvliang,PV10,2020,86.18418237
inside_lvliang,PV10,2025,86.18418237
inside_lvliang,PV10,2030,86.18418237
inside_lvliang,PV10,2035,86.18418237
inside_lvliang,PV11,2020,0.112159554
inside_lvliang,PV11,2025,0.112159554
inside_lvliang,PV11,2030,0.112159554
inside_lvliang,PV11,2035,0.112159554
inside_lvliang,PV2,2020,0.11098841
inside_lvliang,PV2,2025,0.11098841
inside_lvliang,PV2,2030,0.11098841
inside_lvliang,PV2,2035,0.11098841
inside_lvliang,PV3,2020,348.9408359
inside_lvliang,PV3,2025,348.9408359
inside_lvliang,PV3,2030,348.9408359
inside_lvliang,PV3,2035,348.9408359
inside_lvliang,PV4,2020,64.46296567
inside_lvliang,PV4,2025,64.46296567
inside_lvliang,PV4,2030,64.46296567
inside_lvliang,PV4,2035,64.46296567
inside_lvliang,PV5,2020,191.9875282
inside_lvliang,PV5,2025,191.9875282
inside_lvliang,PV5,2030,191.9875282
inside_lvliang,PV5,2035,191.9875282
inside_lvliang,PV6,2020,0.111278694
inside_lvliang,PV6,2025,0.111278694
inside_lvliang,PV6,2030,0.111278694
inside_lvliang,PV6,2035,0.111278694
inside_lvliang,PV7,2020,46.94585543
inside_lvliang,PV7,2025,46.94585543
inside_lvliang,PV7,2030,46.94585543
inside_lvliang,PV7,2035,46.94585543
inside_lvliang,PV8,2020,92.49034205
inside_lvliang,PV8,2025,92.49034205
inside_lvliang,PV8,2030,92.49034205
inside_lvliang,PV8,2035,92.49034205
inside_lvliang,PV9,2020,20.31984787
inside_lvliang,PV9,2025,20.31984787
inside_lvliang,PV9,2030,20.31984787
inside_lvliang,PV9,2035,20.31984787
inside_lvliang,coal1,2020,300.0
inside_lvliang,coal1,2025,300.0
inside_lvliang,coal1,2030,300.0
inside_lvliang,coal1,2035,300.0
inside_lvliang,coal10,2020,600.0
inside_lvliang,coal10,2025,600.0
inside_lvliang,coal10,2030,600.0
inside_lvliang,coal10,2035,600.0
inside_lvliang,coal11,2020,135.0
inside_lvliang,coal11,2025,135.0
inside_lvliang,coal11,2030,135.0
inside_lvliang,coal11,2035,135.0
inside_lvliang,coal12,2020,135.0
inside_lvliang,coal12,2025,135.0
inside_lvliang,coal12,2030,135.0
inside_lvliang,coal12,2035,135.0
inside_lvliang,coal13,2020,135.0
inside_lvliang,coal13,2025,135.0
inside_lvliang,coal13,2030,135.0
inside_lvliang,coal13,2035,135.0
inside_lvliang,coal14,2020,50.0
inside_lvliang,coal14,2025,50.0
inside_lvliang,coal14,2030,50.0
inside_lvliang,coal14,2035,50.0
inside_lvliang,coal15,2020,50.0
inside_lvliang,coal15,2025,50.0
inside_lvliang,coal15,2030,50.0
inside_lvliang,coal15,2035,50.0
inside_lvliang,coal16,2020,0.0
inside_lvliang,coal16,2025,350.0
inside_lvliang,coal16,2030,350.0
inside_lvliang,coal16,2035,350.0
inside_lvliang,coal17,2020,0.0
inside_lvliang,coal17,2025,350.0
inside_lvliang,coal17,2030,350.0
inside_lvliang,coal17,2035,350.0
inside_lvliang,coal2,2020,300.0
inside_lvliang,coal2,2025,300.0
inside_lvliang,coal2,2030,300.0
inside_lvliang,coal2,2035,300.0
inside_lvliang,coal3,2020,350.0
inside_lvliang,coal3,2025,350.0
inside_lvliang,coal3,2030,350.0
inside_lvliang,coal3,2035,350.0
inside_lvliang,coal4,2020,350.0
inside_lvliang,coal4,2025,350.0
inside_lvliang,coal4,2030,350.0
inside_lvliang,coal4,2035,350.0
inside_lvliang,coal5,2020,300.0
inside_lvliang,coal5,2025,300.0
inside_lvliang,coal5,2030,300.0
inside_lvliang,coal5,2035,300.0
inside_lvliang,coal6,2020,300.0
inside_lvliang,coal6,2025,300.0
inside_lvliang,coal6,2030,300.0
inside_lvliang,coal6,2035,300.0
inside_lvliang,coal7,2020,100.0
inside_lvliang,coal7,2025,100.0
inside_lvliang,coal7,2030,100.0
inside_lvliang,coal7,2035,100.0
inside_lvliang,coal8,2020,100.0
inside_lvliang,coal8,2025,100.0
inside_lvliang,coal8,2030,100.0
inside_lvliang,coal8,2035,100.0
inside_lvliang,coal9,2020,600.0
inside_lvliang,coal9,2025,600.0
inside_lvliang,coal9,2030,600.0
inside_lvliang,coal9,2035,600.0
inside_lvliang,outside,2020,0.0
inside_lvliang,outside,2025,0.0
inside_lvliang,outside,2030,0.0
inside_lvliang,outside,2035,0.0
inside_lvliang,wind1,2020,181.2244406
inside_lvliang,wind1,2025,181.2244406
inside_lvliang,wind1,2030,181.2244406
inside_lvliang,wind1,2035,181.2244406
inside_lvliang,wind10,2020,40.19400551
inside_lvliang,wind10,2025,40.19400551
inside_lvliang,wind10,2030,40.19400551
inside_lvliang,wind10,2035,40.19400551
inside_lvliang,wind11,2020,16.56295377
inside_lvliang,wind11,2025,16.56295377
inside_lvliang,wind11,2030,16.56295377
inside_lvliang,wind11,2035,16.56295377
inside_lvliang,wind2,2020,24.36040519
inside_lvliang,wind2,2025,24.36040519
inside_lvliang,wind2,2030,24.36040519
inside_lvliang,wind2,2035,24.36040519
inside_lvliang,wind3,2020,338.8355107
inside_lvliang,wind3,2025,338.8355107
inside_lvliang,wind3,2030,338.8355107
inside_lvliang,wind3,2035,338.8355107
inside_lvliang,wind4,2020,55.83753191
inside_lvliang,wind4,2025,55.83753191
inside_lvliang,wind4,2030,55.83753191
inside_lvliang,wind4,2035,55.83753191
inside_lvliang,wind5,2020,377.1685598
inside_lvliang,wind5,2025,377.1685598
inside_lvliang,wind5,2030,377.1685598
inside_lvliang,wind5,2035,377.1685598
inside_lvliang,wind6,2020,88.8794533
inside_lvliang,wind6,2025,88.8794533
inside_lvliang,wind6,2030,88.8794533
inside_lvliang,wind6,2035,88.8794533
inside_lvliang,wind7,2020,89.23307921
inside_lvliang,wind7,2025,89.23307921
inside_lvliang,wind7,2030,89.23307921
inside_lvliang,wind7,2035,89.23307921
inside_lvliang,wind8,2020,165.4704061
inside_lvliang,wind8,2025,165.4704061
inside_lvliang,wind8,2030,165.4704061
inside_lvliang,wind8,2035,165.4704061
inside_lvliang,wind9,2020,154.388654
inside_lvliang,wind9,2025,154.388654
inside_lvliang,wind9,2030,154.388654
inside_lvliang,wind9,2035,154.388654
inside_lvliang,hydro,2020,0.0
inside_lvliang,hydro,2025,0.0
inside_lvliang,hydro,2030,0.0
inside_lvliang,hydro,2035,0.0
inside_lvliang,fuel cells,2020,0.0
inside_lvliang,fuel cells,2025,0.0
inside_lvliang,fuel cells,2030,0.0
inside_lvliang,fuel cells,2035,0.0
outside_lvliang,PV1,2020,0.0
outside_lvliang,PV1,2025,0.0
outside_lvliang,PV1,2030,0.0
outside_lvliang,PV1,2035,0.0
outside_lvliang,PV10,2020,0.0
outside_lvliang,PV10,2025,0.0
outside_lvliang,PV10,2030,0.0
outside_lvliang,PV10,2035,0.0
outside_lvliang,PV11,2020,0.0
outside_lvliang,PV11,2025,0.0
outside_lvliang,PV11,2030,0.0
outside_lvliang,PV11,2035,0.0
outside_lvliang,PV2,2020,0.0
outside_lvliang,PV2,2025,0.0
outside_lvliang,PV2,2030,0.0
outside_lvliang,PV2,2035,0.0
outside_lvliang,PV3,2020,0.0
outside_lvliang,PV3,2025,0.0
outside_lvliang,PV3,2030,0.0
outside_lvliang,PV3,2035,0.0
outside_lvliang,PV4,2020,0.0
outside_lvliang,PV4,2025,0.0
outside_lvliang,PV4,2030,0.0
outside_lvliang,PV4,2035,0.0
outside_lvliang,PV5,2020,0.0
outside_lvliang,PV5,2025,0.0
outside_lvliang,PV5,2030,0.0
outside_lvliang,PV5,2035,0.0
outside_lvliang,PV6,2020,0.0
outside_lvliang,PV6,2025,0.0
outside_lvliang,PV6,2030,0.0
outside_lvliang,PV6,2035,0.0
outside_lvliang,PV7,2020,0.0
outside_lvliang,PV7,2025,0.0
outside_lvliang,PV7,2030,0.0
outside_lvliang,PV7,2035,0.0
outside_lvliang,PV8,2020,0.0
outside_lvliang,PV8,2025,0.0
outside_lvliang,PV8,2030,0.0
outside_lvliang,PV8,2035,0.0
outside_lvliang,PV9,2020,0.0
outside_lvliang,PV9,2025,0.0
outside_lvliang,PV9,2030,0.0
outside_lvliang,PV9,2035,0.0
outside_lvliang,coal1,2020,0.0
outside_lvliang,coal1,2025,0.0
outside_lvliang,coal1,2030,0.0
outside_lvliang,coal1,2035,0.0
outside_lvliang,coal10,2020,0.0
outside_lvliang,coal10,2025,0.0
outside_lvliang,coal10,2030,0.0
outside_lvliang,coal10,2035,0.0
