PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,CogenFixedCost,annual,138104947.88387194,138104947.88387194
2020,FuelCostsPerTP,timepoint,1129795337.0980203,1129795337.0980203
2020,GenVariableOMCostsInTP,timepoint,11492361.043140115,11492361.043140115
2020,LocalTDFixedCosts,annual,262114721.18175453,262114721.18175453
2020,TotalGenFixedCosts,annual,883979062.3903054,883979062.3903054
2020,TxFixedCosts,annual,13682783.982670683,13682783.982670683
2025,CogenFixedCost,annual,121831138.0537512,155490835.23639482
2025,FuelCostsPerTP,timepoint,865785810.4456002,1104986466.9458396
2025,GenVariableOMCostsInTP,timepoint,9122423.270600267,11642780.625588072
2025,LocalTDFixedCosts,annual,205373742.6624891,262114721.18175453
2025,TotalGenFixedCosts,annual,721393952.0489085,920701800.2990311
2025,TxFixedCosts,annual,10720819.280557992,13682783.982670683
2030,CogenFixedCost,annual,95573549.64770356,155679241.48319143
2030,FuelCostsPerTP,timepoint,680142804.4216982,1107880959.563845
2030,GenVariableOMCostsInTP,timepoint,7165283.093654547,11671491.13059314
2030,LocalTDFixedCosts,annual,160915701.28161985,262114721.18175453
2030,TotalGenFixedCosts,annual,565231037.7624124,920701800.2990311
2030,TxFixedCosts,annual,8400042.432296745,13682783.982670683
2035,CogenFixedCost,annual,74884376.9712481,155679241.48319143
2035,FuelCostsPerTP,timepoint,532283986.87668425,1106580179.76737
2035,GenVariableOMCostsInTP,timepoint,5608656.990029268,11659995.065224392
2035,LocalTDFixedCosts,annual,126081662.54977128,262114721.18175453
2035,TotalGenFixedCosts,annual,442873308.1869718,920701800.2990311
2035,TxFixedCosts,annual,6581653.045149858,13682783.982670683
