generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
G106344,G106344,coal7,inside_lvliang,Coal,2020,709.69536,324330.77952,869880.9835837438,100.0,4186105.4155322565,1060000.0,7.849052578069914,0.8096000000000001
G106344,G106344,coal7,inside_lvliang,Coal,2025,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
G106344,G106344,coal7,inside_lvliang,Coal,2030,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
G106344,G106344,coal7,inside_lvliang,Coal,2035,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
G106345,G106345,coal8,inside_lvliang,Coal,2020,709.69536,324330.77952,869880.9835837438,100.0,4186105.4155322565,1060000.0,7.849052578069914,0.8096000000000001
G106345,G106345,coal8,inside_lvliang,Coal,2025,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
G106345,G106345,coal8,inside_lvliang,Coal,2030,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
G106345,G106345,coal8,inside_lvliang,Coal,2035,0.0,0.0,0.0,100.0,4186105.4155322565,1060000.0,0.0,0.0
G106346,G106346,coal9,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
G106346,G106346,coal9,inside_lvliang,Coal,2025,4258.172160000001,1945984.6771200006,4103376.530736385,600.0,25116632.493193537,6360000.0,7.849052578069912,0.8096000000000002
G106346,G106346,coal9,inside_lvliang,Coal,2030,4258.172160000001,1945984.6771200006,4103376.530736385,600.0,25116632.493193537,6360000.0,7.849052578069912,0.8096000000000002
G106346,G106346,coal9,inside_lvliang,Coal,2035,4258.172160000001,1945984.6771200006,4103376.530736385,600.0,25116632.493193537,6360000.0,7.849052578069912,0.8096000000000002
G106347,G106347,coal10,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
G106347,G106347,coal10,inside_lvliang,Coal,2025,4258.172160000001,1945984.6771200006,4103376.530736385,600.0,25116632.493193537,6360000.0,7.849052578069912,0.8096000000000002
G106347,G106347,coal10,inside_lvliang,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
G106347,G106347,coal10,inside_lvliang,Coal,2035,4258.17216,1945984.67712,4103376.530736384,600.0,25116632.493193537,6360000.0,7.849052578069914,0.8096
G106348,G106348,coal5,inside_lvliang,Coal,2020,2129.08608,972992.33856,2235674.0906058243,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
G106348,G106348,coal5,inside_lvliang,Coal,2025,2129.08608,972992.3385600001,2235674.0906058243,300.0,12558316.246596768,3180000.0,7.849052578069914,0.8096
