timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,outside_coal,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
20200100,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3541,3.94887,0,1.49011,0,0,0,0,0,0,0
20200101,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9585,3.81434,1.92175,1.41454,0,3.48278,0,0,10.1308,13.5307,20.0146
20200102,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3825,0,1.88683,1.3172,53.4448,3.24626,0,13.9726,9.69481,13.4178,19.5393
20200103,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8065,0,1.85191,1.21986,51.4533,3.00974,34.1085,13.4983,9.25879,0,0
20200104,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2304,3.52588,1.81699,1.12252,49.4618,2.77322,32.6736,13.0239,8.82277,13.192,18.5887
20200105,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,3.19723,0,0.00201349,0,6.12943,1.1019,3.53351,0.00187056,0.843127,0,0.352797,32.1522,3.45694,1.74655,0,0,0,32.0172,12.763,8.68908,0,0
20200106,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,6.39445,2.99269,0.00402699,0.00379436,12.2589,0,7.06702,0.00374112,1.68625,3.55915,0.705594,0,0,1.67611,1.10049,0,2.70096,31.3609,0,8.55538,14.1422,17.5927
20200107,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,9.59168,4.48904,0,0,0,3.30569,10.6005,0.00561168,2.52938,5.33873,1.05839,0,0,1.60567,0,43.338,2.66483,0,12.2413,8.42168,14.6173,17.0948
20200108,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,31.4837,14.3949,0,0.0182124,0,0,8.17352,0.018194,7.88982,0,3.39391,34.8814,4.13733,1.91192,0,51.8558,3.74302,0,0,0,0,0
20200109,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,53.3492,24.2884,0.0317453,0,97.3758,17.841,0,0.0307609,0,0,5.72653,0,0,0,0,60.6115,0,45.5042,19.5666,0,0,24.3466
202001010,80.96,80.96,485.76,485.76,242.88,242.88,283.36,283.36,242.88,242.88,0,0,0,0,109.296,87.7667,0,0,75.0485,34.1057,0.0444912,0,136.543,0,75.9671,0,0,0,0,0,0,2.51931,0,0,5.9509,0,0,15.2808,10.7604,27.9065
