GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
G106344,2020,coal7,inside_lvliang,Coal,100,0,.,4.18611e+06,1.06e+06
G106344,2025,coal7,inside_lvliang,Coal,100,0,.,4.18611e+06,1.06e+06
G106344,2030,coal7,inside_lvliang,Coal,100,0,.,4.18611e+06,1.06e+06
G106344,2035,coal7,inside_lvliang,Coal,100,0,.,4.18611e+06,1.06e+06
G106345,2020,coal8,inside_lvliang,Coal,100,0,.,4.18611e+06,1.06e+06
G106345,2025,coal8,inside_lvliang,Coal,100,0,.,4.18611e+06,1.06e+06
G106345,2030,coal8,inside_lvliang,Coal,100,0,.,4.18611e+06,1.06e+06
G106345,2035,coal8,inside_lvliang,Coal,100,0,.,4.18611e+06,1.06e+06
G106346,2020,coal9,inside_lvliang,Coal,600,0,.,2.51166e+07,6.36e+06
G106346,2025,coal9,inside_lvliang,Coal,600,0,.,2.51166e+07,6.36e+06
G106346,2030,coal9,inside_lvliang,Coal,600,0,.,2.51166e+07,6.36e+06
G106346,2035,coal9,inside_lvliang,Coal,600,0,.,2.51166e+07,6.36e+06
G106347,2020,coal10,inside_lvliang,Coal,600,0,.,2.51166e+07,6.36e+06
G106347,2025,coal10,inside_lvliang,Coal,600,0,.,2.51166e+07,6.36e+06
G106347,2030,coal10,inside_lvliang,Coal,600,0,.,2.51166e+07,6.36e+06
G106347,2035,coal10,inside_lvliang,Coal,600,0,.,2.51166e+07,6.36e+06
G106348,2020,coal5,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G106348,2025,coal5,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G106348,2030,coal5,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G106348,2035,coal5,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G106349,2020,coal6,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G106349,2025,coal6,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G106349,2030,coal6,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G106349,2035,coal6,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G106470,2020,coal3,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G106470,2025,coal3,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G106470,2030,coal3,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G106470,2035,coal3,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G106471,2020,coal4,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G106471,2025,coal4,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G106471,2030,coal4,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G106471,2035,coal4,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G109041,2020,coal1,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G109041,2025,coal1,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G109041,2030,coal1,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G109041,2035,coal1,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G109042,2020,coal2,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G109042,2025,coal2,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G109042,2030,coal2,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G109042,2035,coal2,inside_lvliang,Coal,300,0,.,1.25583e+07,3.18e+06
G111092,2020,coal16,inside_lvliang,Coal,0,0,.,0,0
G111092,2025,coal16,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G111092,2030,coal16,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G111092,2035,coal16,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G111093,2020,coal17,inside_lvliang,Coal,0,0,.,0,0
G111093,2025,coal17,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G111093,2030,coal17,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G111093,2035,coal17,inside_lvliang,Coal,350,0,.,1.46514e+07,3.71e+06
G112778,2020,coal14,inside_lvliang,Coal,50,0,.,2.09305e+06,530000
G112778,2025,coal14,inside_lvliang,Coal,50,0,.,2.09305e+06,530000
G112778,2030,coal14,inside_lvliang,Coal,50,0,.,2.09305e+06,530000
G112778,2035,coal14,inside_lvliang,Coal,50,0,.,2.09305e+06,530000
G112779,2020,coal15,inside_lvliang,Coal,50,0,.,2.09305e+06,530000
