load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,CogenZonalOutput,WithdrawFromCentralGrid
inside_lvliang,20200100,2912.54,-1099.96,765.609,2578.18
inside_lvliang,20200101,2961.01,-1099.96,698.703,2559.75
inside_lvliang,20200102,3021.64,-1099.96,608.859,2530.54
inside_lvliang,20200103,3017.95,-1099.96,578.351,2496.34
inside_lvliang,20200104,3046.97,-1099.96,519.921,2466.93
inside_lvliang,20200105,2974.73,-1099.96,594.911,2469.68
inside_lvliang,20200106,2980.55,-1099.96,644.069,2524.65
inside_lvliang,20200107,3005.65,-1099.96,727.072,2632.75
inside_lvliang,20200108,3030.64,-1099.96,699.922,2630.6
inside_lvliang,20200109,3217.41,-1099.96,548.15,2665.6
inside_lvliang,202001010,3252.87,-1099.96,425.269,2578.17
inside_lvliang,202001011,3250.6,-1099.96,414.005,2564.64
inside_lvliang,202001012,3487.09,-1099.96,190.745,2577.87
inside_lvliang,202001013,3161.06,-1099.96,408.08,2469.18
inside_lvliang,202001014,3047.3,-1099.96,498.027,2445.36
inside_lvliang,202001015,3346.31,-1099.96,227.336,2473.68
inside_lvliang,202001016,3344.2,-1099.96,284.912,2529.15
inside_lvliang,202001017,3178.28,-1099.96,670.373,2748.69
inside_lvliang,202001018,3286.91,-1099.96,733.756,2920.7
inside_lvliang,202001019,3145.85,-1099.96,920.7,2966.58
inside_lvliang,202001020,3104.41,-1099.96,885.191,2889.64
inside_lvliang,202001021,3092.31,-1099.96,878.769,2871.12
inside_lvliang,202001022,3070.8,-1099.96,797.17,2768.01
inside_lvliang,202001023,2951.42,-1099.96,770.916,2622.37
inside_lvliang,20250100,3087.36,-1099.96,590.788,2578.18
inside_lvliang,20250101,3054.26,-1099.96,605.45,2559.75
inside_lvliang,20250102,3002.87,-1099.96,627.634,2530.54
inside_lvliang,20250103,2972.63,-1099.96,623.666,2496.34
inside_lvliang,20250104,2966.85,-1099.96,600.044,2466.93
inside_lvliang,20250105,3051.12,-1099.96,518.519,2469.68
inside_lvliang,20250106,3041.16,-1099.96,583.457,2524.65
inside_lvliang,20250107,3122.49,-1099.96,610.231,2632.75
inside_lvliang,20250108,3130.12,-1099.96,600.442,2630.6
inside_lvliang,20250109,3168.15,-1099.96,597.417,2665.6
inside_lvliang,20250110,3225.3,-1099.96,452.836,2578.17
inside_lvliang,20250111,3219.16,-1099.96,445.454,2564.64
inside_lvliang,20250112,3322.79,-1099.96,355.05,2577.87
inside_lvliang,20250113,3356.85,-1099.96,212.292,2469.18
inside_lvliang,20250114,3243.68,-1099.96,301.651,2445.36
inside_lvliang,20250115,3216.64,-1099.96,357.002,2473.68
inside_lvliang,20250116,3407.57,-1099.96,221.548,2529.15
inside_lvliang,20250117,3305.88,-1099.96,542.778,2748.69
inside_lvliang,20250118,3312.58,-1099.96,708.08,2920.7
inside_lvliang,20250119,3183.22,-1099.96,883.33,2966.58
inside_lvliang,20250120,3144.87,-1099.96,844.735,2889.64
inside_lvliang,20250121,3120.24,-1099.96,850.839,2871.12
inside_lvliang,20250122,3114.57,-1099.96,753.406,2768.01
inside_lvliang,20250123,3071.61,-1099.96,650.72,2622.37
inside_lvliang,20300100,3019.69,-1099.96,658.451,2578.18
inside_lvliang,20300101,3065.06,-1099.96,594.653,2559.75
inside_lvliang,20300102,3029.68,-1099.96,600.827,2530.54
inside_lvliang,20300103,3008.11,-1099.96,588.186,2496.34
inside_lvliang,20300104,2950.22,-1099.96,616.672,2466.93
inside_lvliang,20300105,2992.49,-1099.96,577.154,2469.68
inside_lvliang,20300106,3074.28,-1099.96,550.341,2524.65
inside_lvliang,20300107,3079.8,-1099.96,652.917,2632.75
inside_lvliang,20300108,3227.69,-1099.96,502.874,2630.6
inside_lvliang,20300109,3283.32,-1099.96,482.244,2665.6
inside_lvliang,20300110,3148.72,-1099.96,529.414,2578.17
inside_lvliang,20300111,3254.54,-1099.96,410.068,2564.64
inside_lvliang,20300112,3280.02,-1099.96,397.82,2577.87
inside_lvliang,20300113,3451.98,-1099.96,117.162,2469.18
inside_lvliang,20300114,3160.75,-1099.96,384.582,2445.36
inside_lvliang,20300115,3206.8,-1099.96,366.848,2473.68
inside_lvliang,20300116,3115.25,-1099.96,513.868,2529.15
inside_lvliang,20300117,3379.93,-1099.96,468.722,2748.69
inside_lvliang,20300118,3278.84,-1099.96,741.82,2920.7
inside_lvliang,20300119,3180.83,-1099.96,885.72,2966.58
inside_lvliang,20300120,3103.88,-1099.96,885.72,2889.64
inside_lvliang,20300121,3147.62,-1099.96,823.464,2871.12
inside_lvliang,20300122,3057.15,-1099.96,810.828,2768.01
inside_lvliang,20300123,3055.29,-1099.96,667.043,2622.37
inside_lvliang,20350100,3093.13,-1099.96,585.018,2578.18
inside_lvliang,20350101,3062.36,-1099.96,597.349,2559.75
inside_lvliang,20350102,2954.26,-1099.96,676.244,2530.54
inside_lvliang,20350103,3079.65,-1099.96,516.651,2496.34
inside_lvliang,20350104,3007.57,-1099.96,559.326,2466.93
inside_lvliang,20350105,3025.32,-1099.96,544.324,2469.68
inside_lvliang,20350106,2995.11,-1099.96,629.51,2524.65
inside_lvliang,20350107,3068.91,-1099.96,663.808,2632.75
inside_lvliang,20350108,3106.58,-1099.96,623.988,2630.6
inside_lvliang,20350109,3171.44,-1099.96,594.129,2665.6
inside_lvliang,20350110,3264.86,-1099.96,413.282,2578.17
inside_lvliang,20350111,3068.08,-1099.96,596.528,2564.64
inside_lvliang,20350112,3232.39,-1099.96,445.454,2577.87
inside_lvliang,20350113,3317.98,-1099.96,251.167,2469.18
inside_lvliang,20350114,3134.23,-1099.96,411.1,2445.36
inside_lvliang,20350115,3278.24,-1099.96,295.404,2473.68
inside_lvliang,20350116,3186.27,-1099.96,442.846,2529.15
inside_lvliang,20350117,3345.25,-1099.96,503.408,2748.69
inside_lvliang,20350118,3282.08,-1099.96,738.582,2920.7
inside_lvliang,20350119,3181.96,-1099.96,884.586,2966.58
inside_lvliang,20350120,3161.29,-1099.96,828.31,2889.64
inside_lvliang,20350121,3145.44,-1099.96,825.639,2871.12
inside_lvliang,20350122,3063.75,-1099.96,804.221,2768.01
inside_lvliang,20350123,3068.95,-1099.96,653.376,2622.37
outside_lvliang,20200100,0,1055.97,0,1055.97
outside_lvliang,20200101,0,1055.97,0,1055.97
outside_lvliang,20200102,0,1055.97,0,1055.97
outside_lvliang,20200103,0,1055.97,0,1055.97
outside_lvliang,20200104,0,1055.97,0,1055.97
outside_lvliang,20200105,0,1055.97,0,1055.97
outside_lvliang,20200106,0,1055.97,0,1055.97
outside_lvliang,20200107,0,1055.97,0,1055.97
outside_lvliang,20200108,0,1055.97,0,1055.97
outside_lvliang,20200109,0,1055.97,0,1055.97
outside_lvliang,202001010,0,1055.97,0,1055.97
outside_lvliang,202001011,0,1055.97,0,1055.97
outside_lvliang,202001012,0,1055.97,0,1055.97
outside_lvliang,202001013,0,1055.97,0,1055.97
outside_lvliang,202001014,0,1055.97,0,1055.97
outside_lvliang,202001015,0,1055.97,0,1055.97
outside_lvliang,202001016,0,1055.97,0,1055.97
outside_lvliang,202001017,0,1055.97,0,1055.97
outside_lvliang,202001018,0,1055.97,0,1055.97
outside_lvliang,202001019,0,1055.97,0,1055.97
outside_lvliang,202001020,0,1055.97,0,1055.97
outside_lvliang,202001021,0,1055.97,0,1055.97
outside_lvliang,202001022,0,1055.97,0,1055.97
outside_lvliang,202001023,0,1055.97,0,1055.97
outside_lvliang,20250100,0,1055.97,0,1055.97
outside_lvliang,20250101,0,1055.97,0,1055.97
outside_lvliang,20250102,0,1055.97,0,1055.97
outside_lvliang,20250103,0,1055.97,0,1055.97
outside_lvliang,20250104,0,1055.97,0,1055.97
outside_lvliang,20250105,0,1055.97,0,1055.97
outside_lvliang,20250106,0,1055.97,0,1055.97
outside_lvliang,20250107,0,1055.97,0,1055.97
outside_lvliang,20250108,0,1055.97,0,1055.97
outside_lvliang,20250109,0,1055.97,0,1055.97
outside_lvliang,20250110,0,1055.97,0,1055.97
outside_lvliang,20250111,0,1055.97,0,1055.97
outside_lvliang,20250112,0,1055.97,0,1055.97
outside_lvliang,20250113,0,1055.97,0,1055.97
outside_lvliang,20250114,0,1055.97,0,1055.97
outside_lvliang,20250115,0,1055.97,0,1055.97
outside_lvliang,20250116,0,1055.97,0,1055.97
outside_lvliang,20250117,0,1055.97,0,1055.97
outside_lvliang,20250118,0,1055.97,0,1055.97
outside_lvliang,20250119,0,1055.97,0,1055.97
outside_lvliang,20250120,0,1055.97,0,1055.97
outside_lvliang,20250121,0,1055.97,0,1055.97
outside_lvliang,20250122,0,1055.97,0,1055.97
outside_lvliang,20250123,0,1055.97,0,1055.97
outside_lvliang,20300100,0,1055.97,0,1055.97
outside_lvliang,20300101,0,1055.97,0,1055.97
outside_lvliang,20300102,0,1055.97,0,1055.97
outside_lvliang,20300103,0,1055.97,0,1055.97
outside_lvliang,20300104,0,1055.97,0,1055.97
outside_lvliang,20300105,0,1055.97,0,1055.97
outside_lvliang,20300106,0,1055.97,0,1055.97
outside_lvliang,20300107,0,1055.97,0,1055.97
outside_lvliang,20300108,0,1055.97,0,1055.97
outside_lvliang,20300109,0,1055.97,0,1055.97
