PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,EmissionsCosts,annual,0.0,0.0
2020,FuelCostsPerTP,timepoint,1119683096.0021522,1119683096.0021522
2020,GenVariableOMCostsInTP,timepoint,11367793.822175998,11367793.822175998
2020,LocalTDFixedCosts,annual,262114721.18175453,262114721.18175453
2020,TotalGenFixedCosts,annual,803185153.9468983,803185153.9468983
2020,TxFixedCosts,annual,13682783.982670683,13682783.982670683
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,829131618.8254234,1058205397.992666
2025,GenVariableOMCostsInTP,timepoint,8826038.510345286,11264510.220668657
2025,LocalTDFixedCosts,annual,205373742.6624891,262114721.18175453
2025,TotalGenFixedCosts,annual,652235171.1360162,832435723.33493
2025,TxFixedCosts,annual,10720819.280557992,13682783.982670683
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,641924966.7450175,1045628129.1252472
2030,GenVariableOMCostsInTP,timepoint,6834825.04059776,11133209.783593604
2030,LocalTDFixedCosts,annual,160915701.28161985,262114721.18175453
2030,TotalGenFixedCosts,annual,546532596.9260914,890244010.4916319
2030,TxFixedCosts,annual,8400042.432296745,13682783.982670683
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,377223750.80274457,784221085.4870775
2035,GenVariableOMCostsInTP,timepoint,4005193.86103051,8326510.381701748
2035,LocalTDFixedCosts,annual,126081662.54977128,262114721.18175453
2035,TotalGenFixedCosts,annual,618366653.3748437,1285539860.9092646
2035,TxFixedCosts,annual,6581653.045149858,13682783.982670683
