generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts
G106346,20200100,G106346,9,inside_lvliang,Coal,365.25,2020,485.76,177.42384,81082.69488,170974.022114016,600.0,28447615.108630236,6360000.0
G106346,20200101,G106346,9,inside_lvliang,Coal,365.25,2020,485.76,177.42384,81082.69488,170974.022114016,600.0,28447615.108630236,6360000.0
G106346,20200102,G106346,9,inside_lvliang,Coal,365.25,2020,485.76,177.42384,81082.69488,170974.022114016,600.0,28447615.108630236,6360000.0
G106346,20200103,G106346,9,inside_lvliang,Coal,365.25,2020,485.76,177.42384,81082.69488,170974.022114016,600.0,28447615.108630236,6360000.0
G106346,20200104,G106346,9,inside_lvliang,Coal,365.25,2020,485.76,177.42384,81082.69488,170974.022114016,600.0,28447615.108630236,6360000.0
G106346,20200105,G106346,9,inside_lvliang,Coal,365.25,2020,485.76,177.42384,81082.69488,170974.022114016,600.0,28447615.108630236,6360000.0
G106346,20200106,G106346,9,inside_lvliang,Coal,365.25,2020,485.76,177.42384,81082.69488,170974.022114016,600.0,28447615.108630236,6360000.0
G106346,20200107,G106346,9,inside_lvliang,Coal,365.25,2020,485.76,177.42384,81082.69488,170974.022114016,600.0,28447615.108630236,6360000.0
G106346,20200108,G106346,9,inside_lvliang,Coal,365.25,2020,485.76,177.42384,81082.69488,170974.022114016,600.0,28447615.108630236,6360000.0
G106346,20200109,G106346,9,inside_lvliang,Coal,365.25,2020,485.76,177.42384,81082.69488,170974.022114016,600.0,28447615.108630236,6360000.0
G106346,20250100,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250101,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250102,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250103,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250104,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250105,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250106,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250107,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250108,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250109,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250110,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250111,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250112,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250113,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250114,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250115,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250116,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
G106346,20250117,G106346,9,inside_lvliang,Coal,365.25,2025,464.02617198352294,169.48555931698175,77454.90060786066,163324.31857335524,573.1548566990155,28447615.108630236,6075441.481009563
