timestamp,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106470_H2,G106471,G109041,G109041_H2,G109042,G109042_H2,G111092,G111093,G112778,G112779,G114088,G114089,G114090,H2,outside_coal,outside_coal_H2,s1,s10,s11,s2,s3,s4,s5,s6,s7,s8,s9,w1,w10,w11,w2,w3,w4,w5,w6,w7,w8,w9
20200100,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.071,0,0,0,451.512,3.65727,38.256,0,0,0,0
20200101,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.491,0,0,1.41454,272.422,3.48278,36.9784,130.732,0,13.5307,20.0146
20200102,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.229,3.71819,0,1.3172,250.71,3.24626,35.5434,126.44,9.69481,13.4178,19.5393
20200103,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.968,0,0,0,443.685,0,0,0,0,0,0
20200104,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.706,0,0,0,428.541,0,0,0,0,0,0
20200105,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,0,0,0,0,6.12943,0,0,0,0,0,0,290.949,3.45694,0,0,289.183,0,0,115.494,8.68908,0,18.0907
20200106,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,63.882,2.99269,0,0,12.2589,2.2038,7.06702,0,1.68625,3.55915,0,101.434,3.388,1.67611,1.10049,398.235,2.70096,31.3609,113.133,8.55538,14.1422,17.5927
20200107,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,95.8231,4.48904,0,0,18.3883,3.30569,10.6005,0,2.52938,5.33873,0,271.434,3.31906,1.60567,1.08947,380.321,2.66483,30.7046,23.322,8.42168,14.6173,17.0948
20200108,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,314.529,14.3949,0,0.0182124,0,0,0,0,7.88982,2.19816,3.39391,315.645,0,0,0,0,3.74302,37.9769,143.794,10.6891,17.9238,20.7221
20200109,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,532.97,24.2884,0.0317453,0,0,17.841,54.2835,0,13.2432,26.9822,5.72653,0,4.95376,2.21912,0,0,0,45.5042,141.207,13.0062,21.3131,24.3466
202001010,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,749.752,0,0,0,0,0,75.9671,0,0,0,8.04118,0,0,0,2.48374,4.24694,0,0,0,0,0,0
202001011,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,826.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001012,0,0,485.76,485.76,242.88,242.88,283.36,0,283.36,242.88,0,242.88,0,0,0,0,0,109.296,109.296,109.296,0,0,0,840.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
