load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
inside_lvliang,20200100,3678.14,-1099.96,2578.18
inside_lvliang,20200101,3659.71,-1099.96,2559.75
inside_lvliang,20200102,3630.5,-1099.96,2530.54
inside_lvliang,20200103,3596.3,-1099.96,2496.34
inside_lvliang,20200104,3566.9,-1099.96,2466.93
inside_lvliang,20200105,3569.64,-1099.96,2469.68
inside_lvliang,20200106,3624.62,-1099.96,2524.65
inside_lvliang,20200107,3732.72,-1099.96,2632.75
inside_lvliang,20200108,3730.57,-1099.96,2630.6
inside_lvliang,20200109,3765.56,-1099.96,2665.6
inside_lvliang,202001010,3678.14,-1099.96,2578.17
inside_lvliang,202001011,3664.61,-1099.96,2564.64
inside_lvliang,202001012,3677.84,-1099.96,2577.87
inside_lvliang,202001013,3569.14,-1099.96,2469.18
inside_lvliang,202001014,3545.33,-1099.96,2445.36
inside_lvliang,202001015,3573.64,-1099.96,2473.68
inside_lvliang,202001016,3629.12,-1099.96,2529.15
inside_lvliang,202001017,3848.66,-1099.96,2748.69
inside_lvliang,202001018,4020.66,-1099.96,2920.7
inside_lvliang,202001019,4066.55,-1099.96,2966.58
inside_lvliang,202001020,3989.6,-1099.96,2889.64
inside_lvliang,202001021,3971.08,-1099.96,2871.12
inside_lvliang,202001022,3867.97,-1099.96,2768.01
inside_lvliang,202001023,3722.33,-1099.96,2622.37
inside_lvliang,20250100,3678.14,-1099.96,2578.18
inside_lvliang,20250101,3659.71,-1099.96,2559.75
inside_lvliang,20250102,3630.5,-1099.96,2530.54
inside_lvliang,20250103,3596.3,-1099.96,2496.34
inside_lvliang,20250104,3566.9,-1099.96,2466.93
inside_lvliang,20250105,3569.64,-1099.96,2469.68
inside_lvliang,20250106,3624.62,-1099.96,2524.65
inside_lvliang,20250107,3732.72,-1099.96,2632.75
inside_lvliang,20250108,3730.57,-1099.96,2630.6
inside_lvliang,20250109,3765.56,-1099.96,2665.6
inside_lvliang,20250110,3678.14,-1099.96,2578.17
inside_lvliang,20250111,3664.61,-1099.96,2564.64
inside_lvliang,20250112,3677.84,-1099.96,2577.87
inside_lvliang,20250113,3569.14,-1099.96,2469.18
inside_lvliang,20250114,3545.33,-1099.96,2445.36
inside_lvliang,20250115,3573.64,-1099.96,2473.68
inside_lvliang,20250116,3629.12,-1099.96,2529.15
inside_lvliang,20250117,3848.66,-1099.96,2748.69
inside_lvliang,20250118,4020.66,-1099.96,2920.7
inside_lvliang,20250119,4066.55,-1099.96,2966.58
inside_lvliang,20250120,3989.6,-1099.96,2889.64
inside_lvliang,20250121,3971.08,-1099.96,2871.12
inside_lvliang,20250122,3867.97,-1099.96,2768.01
inside_lvliang,20250123,3722.33,-1099.96,2622.37
inside_lvliang,20300100,3678.14,-1099.96,2578.18
inside_lvliang,20300101,3659.71,-1099.96,2559.75
inside_lvliang,20300102,3630.5,-1099.96,2530.54
inside_lvliang,20300103,3596.3,-1099.96,2496.34
inside_lvliang,20300104,3566.9,-1099.96,2466.93
inside_lvliang,20300105,3569.64,-1099.96,2469.68
inside_lvliang,20300106,3624.62,-1099.96,2524.65
inside_lvliang,20300107,3732.72,-1099.96,2632.75
inside_lvliang,20300108,3730.57,-1099.96,2630.6
inside_lvliang,20300109,3765.56,-1099.96,2665.6
inside_lvliang,20300110,3678.14,-1099.96,2578.17
