load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,CogenZonalOutput,WithdrawFromCentralGrid
inside_lvliang,20200100,2867.53,-1099.96,810.612,2578.18
inside_lvliang,20200101,3171.98,-1099.96,487.733,2559.75
inside_lvliang,20200102,2798.41,-1099.96,832.096,2530.54
inside_lvliang,20200103,3132.68,-1099.96,463.624,2496.34
inside_lvliang,20200104,3107.11,-1099.96,459.784,2466.93
inside_lvliang,20200105,2879.53,-1099.96,690.108,2469.68
inside_lvliang,20200106,3111.52,-1099.96,513.092,2524.65
inside_lvliang,20200107,3110.77,-1099.96,621.944,2632.75
inside_lvliang,20200108,3316.12,-1099.96,414.447,2630.6
inside_lvliang,20200109,3492.41,-1099.96,273.155,2665.6
inside_lvliang,202001010,3634.95,-1099.96,43.1883,2578.17
inside_lvliang,202001011,3664.61,-1099.96,0,2564.64
inside_lvliang,202001012,3592.52,-1099.96,85.3237,2577.87
inside_lvliang,202001013,3569.14,-1099.96,0,2469.18
inside_lvliang,202001014,3545.33,-1099.96,0,2445.36
inside_lvliang,202001015,3573.64,-1099.96,0,2473.68
inside_lvliang,202001016,3629.12,-1099.96,0,2529.15
inside_lvliang,202001017,3549.09,-1099.96,299.568,2748.69
inside_lvliang,202001018,3392.43,-1099.96,628.234,2920.7
inside_lvliang,202001019,3234.45,-1099.96,832.096,2966.58
inside_lvliang,202001020,3203.92,-1099.96,785.682,2889.64
inside_lvliang,202001021,3210.45,-1099.96,760.635,2871.12
inside_lvliang,202001022,3196.81,-1099.96,671.168,2768.01
inside_lvliang,202001023,3025.9,-1099.96,696.43,2622.37
inside_lvliang,20250100,3196.41,-1099.96,481.737,2578.18
inside_lvliang,20250101,2841.38,-1099.96,818.335,2559.75
inside_lvliang,20250102,3085.22,-1099.96,545.289,2530.54
inside_lvliang,20250103,2777.97,-1099.96,818.335,2496.34
inside_lvliang,20250104,2799.47,-1099.96,767.424,2466.93
inside_lvliang,20250105,2751.3,-1099.96,818.335,2469.68
inside_lvliang,20250106,3140.3,-1099.96,484.317,2524.65
inside_lvliang,20250107,2914.38,-1099.96,818.335,2632.75
inside_lvliang,20250108,3326.57,-1099.96,403.997,2630.6
inside_lvliang,20250109,3503.76,-1099.96,261.806,2665.6
inside_lvliang,20250110,3218.35,-1099.96,459.784,2578.17
inside_lvliang,20250111,3471.71,-1099.96,192.899,2564.64
inside_lvliang,20250112,3677.84,-1099.96,0,2577.87
inside_lvliang,20250113,3569.14,-1099.96,0,2469.18
inside_lvliang,20250114,3324.29,-1099.96,221.036,2445.36
inside_lvliang,20250115,3431.66,-1099.96,141.988,2473.68
inside_lvliang,20250116,3629.12,-1099.96,0,2529.15
inside_lvliang,20250117,3543.7,-1099.96,304.953,2748.69
inside_lvliang,20250118,3384.37,-1099.96,636.299,2920.7
inside_lvliang,20250119,3248.21,-1099.96,818.335,2966.58
inside_lvliang,20250120,3246.16,-1099.96,743.443,2889.64
inside_lvliang,20250121,3160.02,-1099.96,811.057,2871.12
inside_lvliang,20250122,3228.08,-1099.96,639.893,2768.01
inside_lvliang,20250123,3212.24,-1099.96,510.087,2622.37
inside_lvliang,20300100,3205.3,-1099.96,472.848,2578.18
inside_lvliang,20300101,3196.04,-1099.96,463.669,2559.75
inside_lvliang,20300102,3195.5,-1099.96,435.007,2530.54
inside_lvliang,20300103,3155.38,-1099.96,440.919,2496.34
inside_lvliang,20300104,2739.23,-1099.96,827.661,2466.93
inside_lvliang,20300105,2883.97,-1099.96,685.674,2469.68
inside_lvliang,20300106,2938.94,-1099.96,685.674,2524.65
inside_lvliang,20300107,3176.23,-1099.96,556.489,2632.75
inside_lvliang,20300108,3325.06,-1099.96,405.511,2630.6
inside_lvliang,20300109,3490.94,-1099.96,274.63,2665.6
inside_lvliang,20300110,3378.57,-1099.96,299.568,2578.17
inside_lvliang,20300111,3664.61,-1099.96,0,2564.64
inside_lvliang,20300112,3617.6,-1099.96,60.2375,2577.87
inside_lvliang,20300113,3427.16,-1099.96,141.988,2469.18
inside_lvliang,20300114,3545.33,-1099.96,0,2445.36
inside_lvliang,20300115,3513.41,-1099.96,60.2375,2473.68
inside_lvliang,20300116,3487.13,-1099.96,141.988,2529.15
inside_lvliang,20300117,3525.54,-1099.96,323.112,2748.69
inside_lvliang,20300118,3371.13,-1099.96,649.533,2920.7
inside_lvliang,20300119,3238.88,-1099.96,827.661,2966.58
inside_lvliang,20300120,3236.83,-1099.96,752.769,2889.64
inside_lvliang,20300121,3221.46,-1099.96,749.625,2871.12
inside_lvliang,20300122,3040.31,-1099.96,827.661,2768.01
inside_lvliang,20300123,3214.55,-1099.96,507.783,2622.37
inside_lvliang,20350100,3204.85,-1099.96,473.292,2578.18
inside_lvliang,20350101,3248.11,-1099.96,411.607,2559.75
inside_lvliang,20350102,3146.08,-1099.96,484.42,2530.54
inside_lvliang,20350103,3114.08,-1099.96,482.217,2496.34
inside_lvliang,20350104,2942.69,-1099.96,624.205,2466.93
inside_lvliang,20350105,3096.35,-1099.96,473.292,2469.68
inside_lvliang,20350106,3142.14,-1099.96,482.473,2524.65
inside_lvliang,20350107,3184.53,-1099.96,548.184,2632.75
inside_lvliang,20350108,3585.44,-1099.96,145.121,2630.6
inside_lvliang,20350109,3765.56,-1099.96,0,2665.6
inside_lvliang,20350110,3603.25,-1099.96,74.892,2578.17
inside_lvliang,20350111,3664.61,-1099.96,0,2564.64
inside_lvliang,20350112,3677.84,-1099.96,0,2577.87
inside_lvliang,20350113,3569.14,-1099.96,0,2469.18
inside_lvliang,20350114,3545.33,-1099.96,0,2445.36
inside_lvliang,20350115,3407.99,-1099.96,165.652,2473.68
inside_lvliang,20350116,3463.46,-1099.96,165.652,2529.15
inside_lvliang,20350117,3848.66,-1099.96,0,2748.69
inside_lvliang,20350118,3903.86,-1099.96,116.804,2920.7
inside_lvliang,20350119,3442.34,-1099.96,624.205,2966.58
inside_lvliang,20350120,3365.4,-1099.96,624.205,2889.64
inside_lvliang,20350121,3346.88,-1099.96,624.205,2871.12
inside_lvliang,20350122,3243.77,-1099.96,624.205,2768.01
inside_lvliang,20350123,3269.3,-1099.96,453.031,2622.37
outside_lvliang,20200100,0,1055.97,0,1055.97
outside_lvliang,20200101,0,1055.97,0,1055.97
outside_lvliang,20200102,0,1055.97,0,1055.97
outside_lvliang,20200103,0,1055.97,0,1055.97
outside_lvliang,20200104,0,1055.97,0,1055.97
outside_lvliang,20200105,0,1055.97,0,1055.97
outside_lvliang,20200106,0,1055.97,0,1055.97
outside_lvliang,20200107,0,1055.97,0,1055.97
outside_lvliang,20200108,0,1055.97,0,1055.97
outside_lvliang,20200109,0,1055.97,0,1055.97
outside_lvliang,202001010,0,1055.97,0,1055.97
outside_lvliang,202001011,0,1055.97,0,1055.97
outside_lvliang,202001012,0,1055.97,0,1055.97
outside_lvliang,202001013,0,1055.97,0,1055.97
outside_lvliang,202001014,0,1055.97,0,1055.97
outside_lvliang,202001015,0,1055.97,0,1055.97
outside_lvliang,202001016,0,1055.97,0,1055.97
outside_lvliang,202001017,0,1055.97,0,1055.97
outside_lvliang,202001018,0,1055.97,0,1055.97
outside_lvliang,202001019,0,1055.97,0,1055.97
outside_lvliang,202001020,0,1055.97,0,1055.97
outside_lvliang,202001021,0,1055.97,0,1055.97
outside_lvliang,202001022,0,1055.97,0,1055.97
outside_lvliang,202001023,0,1055.97,0,1055.97
outside_lvliang,20250100,0,1055.97,0,1055.97
outside_lvliang,20250101,0,1055.97,0,1055.97
outside_lvliang,20250102,0,1055.97,0,1055.97
outside_lvliang,20250103,0,1055.97,0,1055.97
outside_lvliang,20250104,0,1055.97,0,1055.97
outside_lvliang,20250105,0,1055.97,0,1055.97
outside_lvliang,20250106,0,1055.97,0,1055.97
outside_lvliang,20250107,0,1055.97,0,1055.97
outside_lvliang,20250108,0,1055.97,0,1055.97
outside_lvliang,20250109,0,1055.97,0,1055.97
outside_lvliang,20250110,0,1055.97,0,1055.97
outside_lvliang,20250111,0,1055.97,0,1055.97
outside_lvliang,20250112,0,1055.97,0,1055.97
outside_lvliang,20250113,0,1055.97,0,1055.97
outside_lvliang,20250114,0,1055.97,0,1055.97
outside_lvliang,20250115,0,1055.97,0,1055.97
