PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,CogenFixedCost,annual,124814406.53607857,124814406.53607857
2020,EmissionsCosts,annual,0.0,0.0
2020,FuelCostsPerTP,timepoint,1031272928.2804269,1031272928.2804269
2020,GenVariableOMCostsInTP,timepoint,10685441.388573034,10685441.388573034
2020,HydrogenFixedCostAnnual,annual,25325.94069999379,25325.94069999379
2020,HydrogenVariableCost,timepoint,0.0,0.0
2020,LocalTDFixedCosts,annual,262114721.1817545,262114721.1817545
2020,TotalGenFixedCosts,annual,472474903.1223004,472474903.1223004
2020,TxFixedCosts,annual,13682783.982670682,13682783.982670682
2025,CogenFixedCost,annual,103778937.20460902,132451144.13008781
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,801170562.5555949,1022519217.4074589
2025,GenVariableOMCostsInTP,timepoint,8424483.673603022,10752013.186201809
2025,HydrogenFixedCostAnnual,annual,19843.53722887365,25325.94069999379
2025,HydrogenVariableCost,timepoint,0.0,0.0
2025,LocalTDFixedCosts,annual,205373742.66248906,262114721.1817545
2025,TotalGenFixedCosts,annual,391862818.9952709,500127290.91293913
2025,TxFixedCosts,annual,10720819.28055799,13682783.982670682
2030,CogenFixedCost,annual,82172308.20253247,133850031.30100508
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,635002578.4390969,1034352288.0092661
2030,GenVariableOMCostsInTP,timepoint,6679270.440595542,10879827.731479477
2030,HydrogenFixedCostAnnual,annual,15547.930654113517,25325.94069999379
2030,HydrogenVariableCost,timepoint,0.0,0.0
2030,LocalTDFixedCosts,annual,160915701.28161982,262114721.1817545
2030,TotalGenFixedCosts,annual,304563680.5341438,496102142.73362833
2030,TxFixedCosts,annual,8400042.432296744,13682783.982670682
2035,CogenFixedCost,annual,71990098.75293249,149662244.93607858
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,377223750.80274457,784221085.4870775
2035,GenVariableOMCostsInTP,timepoint,4005193.8610305097,8326510.381701747
2035,HydrogenFixedCostAnnual,annual,12735.94734293206,26477.119822720804
2035,HydrogenVariableCost,timepoint,0.0,0.0
2035,LocalTDFixedCosts,annual,126081662.54977126,262114721.1817545
2035,TotalGenFixedCosts,annual,393139881.9845633,817309579.1081685
2035,TxFixedCosts,annual,6581653.045149857,13682783.982670682
