load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,CogenZonalOutput,WithdrawFromCentralGrid,RunElectrolyzerMW,LiquefyHydrogenMW
inside_lvliang,20200100,3180.8,-1099.96,497.586,2578.18,0.24426,0
inside_lvliang,20200101,3171.98,-1099.96,487.978,2559.75,0.24426,0
inside_lvliang,20200102,3152.33,-1099.96,478.42,2530.54,0.24426,0
inside_lvliang,20200103,2764.45,-1099.96,832.096,2496.34,0.24426,0
inside_lvliang,20200104,3034.61,-1099.96,532.528,2466.93,0.24426,0
inside_lvliang,20200105,2737.79,-1099.96,832.096,2469.68,0.24426,0
inside_lvliang,20200106,3123.78,-1099.96,501.082,2524.65,0.24426,0
inside_lvliang,20200107,3129.16,-1099.96,603.8,2632.75,0.24426,0
inside_lvliang,20200108,3323.67,-1099.96,407.14,2630.6,0.24426,0
inside_lvliang,20200109,3519.3,-1099.96,246.51,2665.6,0.24426,0
inside_lvliang,202001010,3678.38,-1099.96,0,2578.17,0.24426,0
inside_lvliang,202001011,3664.85,-1099.96,0,2564.64,0.24426,0
inside_lvliang,202001012,3678.08,-1099.96,0,2577.87,0.24426,0
inside_lvliang,202001013,3569.39,-1099.96,0,2469.18,0.24426,0
inside_lvliang,202001014,3545.57,-1099.96,0,2445.36,0.24426,0
inside_lvliang,202001015,3573.89,-1099.96,0,2473.68,0.24426,0
inside_lvliang,202001016,3629.36,-1099.96,0,2529.15,0.24426,0
inside_lvliang,202001017,3549.33,-1099.96,299.568,2748.69,0.24426,0
inside_lvliang,202001018,3392.41,-1099.96,628.499,2920.7,0.24426,0
inside_lvliang,202001019,3234.45,-1099.96,832.096,2966.58,0,0
inside_lvliang,202001020,3222.45,-1099.96,767.399,2889.64,0.24426,0
inside_lvliang,202001021,3139.23,-1099.96,832.096,2871.12,0.24426,0
inside_lvliang,202001022,3036.12,-1099.96,832.096,2768.01,0.24426,0
inside_lvliang,202001023,3189.63,-1099.96,532.95,2622.37,0.24426,0
inside_lvliang,20250100,3217.11,-1099.96,461.274,2578.18,0.24426,0
inside_lvliang,20250101,3200.49,-1099.96,459.463,2559.75,0.24426,0
inside_lvliang,20250102,2954.4,-1099.96,676.348,2530.54,0.24426,0
inside_lvliang,20250103,2994.77,-1099.96,601.772,2496.34,0.24426,0
inside_lvliang,20250104,3046.82,-1099.96,520.32,2466.93,0.24426,0
inside_lvliang,20250105,2802.46,-1099.96,767.424,2469.68,0.24426,0
inside_lvliang,20250106,3158.98,-1099.96,465.877,2524.65,0.24426,0
inside_lvliang,20250107,3166.75,-1099.96,566.212,2632.75,0.24426,0
inside_lvliang,20250108,3349.63,-1099.96,381.182,2630.6,0.24426,0
inside_lvliang,20250109,3531.16,-1099.96,234.651,2665.6,0.24426,0
inside_lvliang,20250110,3378.81,-1099.96,299.568,2578.17,0.24426,0
inside_lvliang,20250111,3664.85,-1099.96,0,2564.64,0.24426,0
inside_lvliang,20250112,3627.17,-1099.96,50.9116,2577.87,0.24426,0
inside_lvliang,20250113,3569.39,-1099.96,0,2469.18,0.24426,0
inside_lvliang,20250114,3246,-1099.96,299.568,2445.36,0.24426,0
inside_lvliang,20250115,3573.89,-1099.96,0,2473.68,0.24426,0
inside_lvliang,20250116,3629.36,-1099.96,0,2529.15,0.24426,0
inside_lvliang,20250117,3571.87,-1099.96,277.028,2748.69,0.24426,0
inside_lvliang,20250118,3410.07,-1099.96,610.836,2920.7,0.24426,0
inside_lvliang,20250119,3248.21,-1099.96,818.335,2966.58,0,0
inside_lvliang,20250120,3248.93,-1099.96,740.923,2889.64,0.24426,0
inside_lvliang,20250121,3152.99,-1099.96,818.335,2871.12,0.24426,0
inside_lvliang,20250122,3049.88,-1099.96,818.335,2768.01,0.24426,0
inside_lvliang,20250123,3233.74,-1099.96,488.84,2622.37,0.24426,0
inside_lvliang,20300100,3226.66,-1099.96,451.724,2578.18,0.24426,0
inside_lvliang,20300101,3216.87,-1099.96,443.088,2559.75,0.24426,0
inside_lvliang,20300102,3195.5,-1099.96,435.251,2530.54,0.24426,0
inside_lvliang,20300103,3174.13,-1099.96,422.419,2496.34,0.24426,0
