PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,CogenFixedCost,annual,121651768.72262177,121651768.72262177
2020,EmissionsCosts,annual,0.0,0.0
2020,FuelCostsPerTP,timepoint,1007905877.3585993,1007905877.3585993
2020,GenVariableOMCostsInTP,timepoint,10495696.760705981,10495696.760705981
2020,HydrogenFixedCostAnnual,annual,26477.11982272078,26477.11982272078
2020,HydrogenVariableCost,timepoint,0.0,0.0
2020,LocalTDFixedCosts,annual,259350233.88164485,259350233.88164485
2020,TotalGenFixedCosts,annual,470207953.718703,470207953.718703
2020,TxFixedCosts,annual,13742106.830632169,13742106.830632169
2025,CogenFixedCost,annual,98856213.3566465,126168362.44565418
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,780490926.4160858,996126179.0833948
2025,GenVariableOMCostsInTP,timepoint,8201113.2249153005,10466929.600934315
2025,HydrogenFixedCostAnnual,annual,20745.516193822452,26477.11982272078
2025,HydrogenVariableCost,timepoint,0.0,0.0
2025,LocalTDFixedCosts,annual,203207694.5259834,259350233.88164485
2025,TotalGenFixedCosts,annual,391132784.4424003,499195561.27312243
2025,TxFixedCosts,annual,10767300.284205247,13742106.830632169
2030,CogenFixedCost,annual,78315225.25735554,127567249.61657147
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,618799542.4107437,1007959249.6852005
2030,GenVariableOMCostsInTP,timepoint,6504253.849232908,10594744.14621198
2030,HydrogenFixedCostAnnual,annual,16254.65477475504,26477.11982272078
2030,HydrogenVariableCost,timepoint,0.0,0.0
2030,LocalTDFixedCosts,annual,159273556.30496368,259439840.05288973
2030,TotalGenFixedCosts,annual,303991679.35954356,495170413.0938116
2030,TxFixedCosts,annual,8448021.091108575,13760936.162209263
2035,CogenFixedCost,annual,70468815.88959073,146499607.12262177
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,377223750.8027443,784221085.487077
2035,GenVariableOMCostsInTP,timepoint,4005193.8610305097,8326510.381701747
2035,HydrogenFixedCostAnnual,annual,12735.947342932048,26477.11982272078
2035,HydrogenVariableCost,timepoint,0.0,0.0
2035,LocalTDFixedCosts,annual,124794998.99142644,259439840.05288973
2035,TotalGenFixedCosts,annual,373030391.70447564,775503393.0912952
2035,TxFixedCosts,annual,6619245.57976099,13760936.162209263
