DR_Min_Interval_Constraint_index_1,DR_Min_Interval_Constraint_index_2,Relax_DR_Min_Interval_Constraint_up
inside_lvliang,1,5.0
inside_lvliang,2,5.0
inside_lvliang,3,5.0
inside_lvliang,4,5.0
inside_lvliang,5,5.0
inside_lvliang,6,5.0
inside_lvliang,7,5.0
inside_lvliang,8,5.0
inside_lvliang,9,5.0
inside_lvliang,10,5.0
inside_lvliang,11,5.0
inside_lvliang,12,5.0
inside_lvliang,13,5.0
inside_lvliang,14,5.0
inside_lvliang,15,5.0
inside_lvliang,16,5.0
inside_lvliang,17,5.0
inside_lvliang,18,5.0
inside_lvliang,19,5.0
inside_lvliang,20,5.0
inside_lvliang,21,5.0
inside_lvliang,22,5.0
inside_lvliang,23,5.0
inside_lvliang,24,5.0
inside_lvliang,25,5.0
inside_lvliang,26,5.0
inside_lvliang,27,5.0
inside_lvliang,28,5.0
inside_lvliang,29,5.0
inside_lvliang,30,5.0
inside_lvliang,31,5.0
inside_lvliang,32,5.0
inside_lvliang,33,5.0
inside_lvliang,34,5.0
inside_lvliang,35,5.0
inside_lvliang,36,5.0
inside_lvliang,37,5.0
inside_lvliang,38,5.0
inside_lvliang,39,5.0
inside_lvliang,40,5.0
inside_lvliang,41,5.0
inside_lvliang,42,5.0
inside_lvliang,43,5.0
inside_lvliang,44,5.0
inside_lvliang,45,5.0
inside_lvliang,46,5.0
inside_lvliang,47,5.0
inside_lvliang,48,5.0
inside_lvliang,49,5.0
inside_lvliang,50,5.0
inside_lvliang,51,5.0
inside_lvliang,52,5.0
inside_lvliang,53,5.0
inside_lvliang,54,5.0
inside_lvliang,55,5.0
inside_lvliang,56,5.0
inside_lvliang,57,5.0
inside_lvliang,58,5.0
inside_lvliang,59,5.0
inside_lvliang,60,5.0
inside_lvliang,61,5.0
inside_lvliang,62,5.0
inside_lvliang,63,5.0
inside_lvliang,64,5.0
inside_lvliang,65,5.0
inside_lvliang,66,5.0
inside_lvliang,67,5.0
inside_lvliang,68,5.0
inside_lvliang,69,5.0
inside_lvliang,70,5.0
inside_lvliang,71,5.0
inside_lvliang,72,5.0
inside_lvliang,73,5.0
inside_lvliang,74,5.0
inside_lvliang,75,5.0
inside_lvliang,76,5.0
inside_lvliang,77,5.0
inside_lvliang,78,5.0
inside_lvliang,79,5.0
inside_lvliang,80,5.0
inside_lvliang,81,5.0
inside_lvliang,82,5.0
inside_lvliang,83,5.0
inside_lvliang,84,5.0
inside_lvliang,85,5.0
inside_lvliang,86,5.0
inside_lvliang,87,5.0
inside_lvliang,88,5.0
inside_lvliang,89,5.0
inside_lvliang,90,5.0
inside_lvliang,91,5.0
inside_lvliang,92,5.0
inside_lvliang,93,5.0
inside_lvliang,94,5.0
inside_lvliang,95,5.0
inside_lvliang,96,5.0
outside_lvliang,1,5.0
outside_lvliang,2,5.0
outside_lvliang,3,5.0
outside_lvliang,4,5.0
outside_lvliang,5,5.0
outside_lvliang,6,5.0
outside_lvliang,7,5.0
outside_lvliang,8,5.0
outside_lvliang,9,5.0
outside_lvliang,10,5.0
outside_lvliang,11,5.0
outside_lvliang,12,5.0
outside_lvliang,13,5.0
outside_lvliang,14,5.0
outside_lvliang,15,5.0
outside_lvliang,16,5.0
outside_lvliang,17,5.0
outside_lvliang,18,5.0
outside_lvliang,19,5.0
outside_lvliang,20,5.0
outside_lvliang,21,5.0
outside_lvliang,22,5.0
outside_lvliang,23,5.0
outside_lvliang,24,5.0
outside_lvliang,25,5.0
outside_lvliang,26,5.0
outside_lvliang,27,5.0
outside_lvliang,28,5.0
outside_lvliang,29,5.0
outside_lvliang,30,5.0
outside_lvliang,31,5.0
outside_lvliang,32,5.0
outside_lvliang,33,5.0
outside_lvliang,34,5.0
outside_lvliang,35,5.0
outside_lvliang,36,5.0
outside_lvliang,37,5.0
outside_lvliang,38,5.0
outside_lvliang,39,5.0
outside_lvliang,40,5.0
outside_lvliang,41,5.0
outside_lvliang,42,5.0
outside_lvliang,43,5.0
outside_lvliang,44,5.0
outside_lvliang,45,5.0
outside_lvliang,46,5.0
outside_lvliang,47,5.0
outside_lvliang,48,5.0
outside_lvliang,49,5.0
outside_lvliang,50,5.0
outside_lvliang,51,5.0
outside_lvliang,52,5.0
outside_lvliang,53,5.0
outside_lvliang,54,5.0
outside_lvliang,55,5.0
outside_lvliang,56,5.0
outside_lvliang,57,5.0
outside_lvliang,58,5.0
outside_lvliang,59,5.0
outside_lvliang,60,5.0
outside_lvliang,61,5.0
outside_lvliang,62,5.0
outside_lvliang,63,5.0
outside_lvliang,64,5.0
outside_lvliang,65,5.0
outside_lvliang,66,5.0
outside_lvliang,67,5.0
outside_lvliang,68,5.0
outside_lvliang,69,5.0
outside_lvliang,70,5.0
outside_lvliang,71,5.0
outside_lvliang,72,5.0
outside_lvliang,73,5.0
outside_lvliang,74,5.0
outside_lvliang,75,5.0
outside_lvliang,76,5.0
outside_lvliang,77,5.0
outside_lvliang,78,5.0
outside_lvliang,79,5.0
outside_lvliang,80,5.0
outside_lvliang,81,5.0
outside_lvliang,82,5.0
outside_lvliang,83,5.0
outside_lvliang,84,5.0
outside_lvliang,85,5.0
outside_lvliang,86,5.0
outside_lvliang,87,5.0
outside_lvliang,88,5.0
outside_lvliang,89,5.0
outside_lvliang,90,5.0
outside_lvliang,91,5.0
outside_lvliang,92,5.0
outside_lvliang,93,5.0
outside_lvliang,94,5.0
outside_lvliang,95,5.0
outside_lvliang,96,5.0
