generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor
G106346,G106346,coal9,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
G106346,G106346,coal9,inside_lvliang,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
G106346,G106346,coal9,inside_lvliang,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
G106347,G106347,coal10,inside_lvliang,Coal,2020,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
G106347,G106347,coal10,inside_lvliang,Coal,2025,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
G106347,G106347,coal10,inside_lvliang,Coal,2030,4258.17216,1945984.67712,4103376.530736384,600.0,28447615.108630236,6360000.0,8.631309022918941,0.8096
G106348,G106348,coal5,inside_lvliang,Coal,2020,2129.08608,972992.33856,2235674.0906058243,300.0,13555245.527235586,3180000.0,8.317295403009533,0.8096
G106348,G106348,coal5,inside_lvliang,Coal,2025,2129.08608,972992.33856,2235674.0906058243,300.0,13555245.527235586,3180000.0,8.317295403009533,0.8096
G106348,G106348,coal5,inside_lvliang,Coal,2030,2129.08608,972992.33856,2235674.0906058243,300.0,13555245.527235586,3180000.0,8.317295403009533,0.8096
G106348,G106348,coal5,inside_lvliang,Coal,2035,1896.9419097193509,866902.4527417434,1991908.1331572486,267.28960292474665,13555245.527235586,2833269.7910023145,9.096439739439651,0.8095999999999998
G106349,G106349,coal6,inside_lvliang,Coal,2020,2129.08608,972992.33856,2051688.265368192,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096
G106349,G106349,coal6,inside_lvliang,Coal,2025,2129.08608,972992.33856,2051688.265368192,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096
G106349,G106349,coal6,inside_lvliang,Coal,2030,2129.08608,972992.33856,2051688.265368192,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096
G106349,G106349,coal6,inside_lvliang,Coal,2035,2129.0860800000005,972992.3385600003,2051688.2653681925,300.0,13300665.340974582,3180000.0,8.197722883771135,0.8096000000000002
G106470,G106470,coal3,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106470,G106470,coal3,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106470,G106470,coal3,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106470,G106470,coal3,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106471,G106471,coal4,inside_lvliang,Coal,2020,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106471,G106471,coal4,inside_lvliang,Coal,2025,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106471,G106471,coal4,inside_lvliang,Coal,2030,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G106471,G106471,coal4,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14960886.766290192,3710000.0,7.973660495121332,0.8095999999999999
G109041,G109041,coal1,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109041,G109041,coal1,inside_lvliang,Coal,2025,2129.08608,972992.3385600001,1982934.540221184,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109041,G109041,coal1,inside_lvliang,Coal,2030,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109041,G109041,coal1,inside_lvliang,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109042,G109042,coal2,inside_lvliang,Coal,2020,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109042,G109042,coal2,inside_lvliang,Coal,2025,2129.08608,972992.3385600001,1982934.540221184,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109042,G109042,coal2,inside_lvliang,Coal,2030,2129.08608,972992.3385600001,1982934.540221184,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G109042,G109042,coal2,inside_lvliang,Coal,2035,2129.08608,972992.33856,1982934.5402211836,300.0,13188832.47873068,3180000.0,8.145196655125694,0.8096
G111092,G111092,coal16,inside_lvliang,Coal,2025,927.6460705895184,423934.25425940985,863967.6205446867,130.71046013172727,14794063.953511018,1385530.877396309,17.89856025004796,0.8096
G111092,G111092,coal16,inside_lvliang,Coal,2030,1171.8868001641604,535552.2676750213,1091442.3963895314,165.12532929117086,14794063.953511018,1750328.4904864111,14.57473939400961,0.8095999999999998
G111092,G111092,coal16,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
G111093,G111093,coal17,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,14794063.953511018,0.0,0.0,0.0
G111093,G111093,coal17,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,14794063.953511018,0.0,0.0,0.0
G111093,G111093,coal17,inside_lvliang,Coal,2035,2483.93376,1135157.72832,2313423.6302580475,350.0,14794063.953511018,3710000.0,7.906499761825782,0.8095999999999999
G112778,G112778,coal14,inside_lvliang,Coal,2020,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G112778,G112778,coal14,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G112778,G112778,coal14,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G112779,G112779,coal15,inside_lvliang,Coal,2020,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G112779,G112779,coal15,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G112779,G112779,coal15,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,2405663.526074472,0.0,0.0,0.0
G114088,G114088,coal11,inside_lvliang,Coal,2020,894.1402804059694,408622.108145528,1017790.0456430304,125.98930904747206,6495291.520401074,1335486.675903204,9.214885499520102,0.8096
G114088,G114088,coal11,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114088,G114088,coal11,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114089,G114089,coal12,inside_lvliang,Coal,2020,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114089,G114089,coal12,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114089,G114089,coal12,inside_lvliang,Coal,2030,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114090,G114090,coal13,inside_lvliang,Coal,2020,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
G114090,G114090,coal13,inside_lvliang,Coal,2025,0.0,0.0,0.0,0.0,6495291.520401074,0.0,0.0,0.0
