load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,CogenZonalOutput,WithdrawFromCentralGrid,RunElectrolyzerMW,LiquefyHydrogenMW
inside_lvliang,20200100,2953.5,-1099.96,724.903,2578.18,0.255363,0
inside_lvliang,20200101,3084.85,-1099.96,575.119,2559.75,0.255363,0
inside_lvliang,20200102,3047.71,-1099.96,583.053,2530.54,0.255363,0
inside_lvliang,20200103,3077.12,-1104.19,523.666,2496.34,0.255363,0
inside_lvliang,20200104,3057.47,-1102.08,511.797,2466.93,0.255363,0
inside_lvliang,20200105,3061.73,-1099.96,508.161,2469.68,0.255363,0
inside_lvliang,20200106,3041.82,-1099.96,583.053,2524.65,0.255363,0
inside_lvliang,20200107,2925.24,-1099.96,807.73,2632.75,0.255363,0
inside_lvliang,20200108,3155.7,-1099.96,575.119,2630.6,0.255363,0
inside_lvliang,20200109,3112.1,-1104.19,657.945,2665.6,0.255363,0
inside_lvliang,202001010,3191.85,-1102.08,568.586,2658.1,0.255363,0
inside_lvliang,202001011,3704.83,-1099.96,0,2604.61,0.255363,0
inside_lvliang,202001012,3102.98,-1099.96,575.119,2577.87,0.255363,0
inside_lvliang,202001013,3332.75,-1099.96,236.646,2469.18,0.255363,0
inside_lvliang,202001014,3403.59,-1099.96,141.988,2445.36,0.255363,0
inside_lvliang,202001015,3009.21,-1099.96,564.688,2473.68,0.255363,0
inside_lvliang,202001016,3214.47,-1099.96,414.904,2529.15,0.255363,0
inside_lvliang,202001017,3282.3,-1099.96,566.608,2748.69,0.255363,0
inside_lvliang,202001018,3224.21,-1099.96,796.714,2920.7,0.255363,0
inside_lvliang,202001019,3178.89,-1099.96,807.73,2886.66,0,0
inside_lvliang,202001020,3142.17,-1099.96,807.73,2849.68,0.255363,0
inside_lvliang,202001021,3154.89,-1091.51,807.73,2871.12,0,0
inside_lvliang,202001022,3142.89,-1095.73,721.109,2768.01,0.255363,0
inside_lvliang,202001023,3000.18,-1099.96,722.406,2622.37,0.255363,0
inside_lvliang,20250100,3148.76,-1099.96,529.637,2578.18,0.255363,0
inside_lvliang,20250101,2903.91,-1111.33,767.424,2559.75,0.255363,0
inside_lvliang,20250102,3062.76,-1105.65,573.68,2530.54,0.255363,0
inside_lvliang,20250103,2958.42,-1099.96,638.14,2496.34,0.255363,0
inside_lvliang,20250104,3001.4,-1099.96,565.746,2466.93,0.255363,0
inside_lvliang,20250105,3077.35,-1099.96,492.549,2469.68,0.255363,0
inside_lvliang,20250106,2984.23,-1099.96,640.638,2524.65,0.255363,0
inside_lvliang,20250107,3081.84,-1111.33,742.419,2712.68,0.255363,0
inside_lvliang,20250108,3218.65,-1105.65,557.812,2670.56,0.255363,0
inside_lvliang,20250109,3321.03,-1099.96,444.794,2665.6,0.255363,0
inside_lvliang,20250110,3366.86,-1099.96,311.538,2578.17,0.255363,0
inside_lvliang,20250111,3330.33,-1099.96,334.536,2564.64,0.255363,0
inside_lvliang,20250112,3183.34,-1099.96,494.752,2577.87,0.255363,0
inside_lvliang,20250113,3325.02,-1111.33,255.746,2469.18,0.255363,0
inside_lvliang,20250114,3352.18,-1105.65,199.082,2445.36,0.255363,0
inside_lvliang,20250115,3076.94,-1099.96,496.961,2473.68,0.255363,0
inside_lvliang,20250116,3156.88,-1099.96,472.488,2529.15,0.255363,0
inside_lvliang,20250117,3285.66,-1099.96,563.248,2748.69,0.255363,0
inside_lvliang,20250118,3275.74,-1099.96,745.183,2920.7,0.255363,0
inside_lvliang,20250119,3154.17,-1065.87,798.356,2886.66,0,0
inside_lvliang,20250120,3163.45,-1082.92,769.402,2849.68,0.255363,0
inside_lvliang,20250121,3172.72,-1099.96,798.356,2871.12,0,0
inside_lvliang,20250122,3155.44,-1099.96,712.786,2768.01,0.255363,0
inside_lvliang,20250123,3145.01,-1099.96,577.578,2622.37,0.255363,0
inside_lvliang,20300100,2946.79,-1099.96,731.608,2578.18,0.255363,0
inside_lvliang,20300101,3022.55,-1111.33,648.782,2559.75,0.255363,0
inside_lvliang,20300102,3123.1,-1105.65,513.341,2530.54,0.255363,0
inside_lvliang,20300103,2939.85,-1099.96,656.716,2496.35,0.255363,0
inside_lvliang,20300104,3003.7,-1099.96,563.458,2466.94,0.255363,0
inside_lvliang,20300105,2921.11,-1099.96,648.782,2469.68,0.255363,0
inside_lvliang,20300106,3055.7,-1099.96,569.168,2524.65,0.255363,0
inside_lvliang,20300107,3012.73,-1111.33,731.608,2632.75,0.255363,0
inside_lvliang,20300108,3082.85,-1105.65,653.655,2630.6,0.255363,0
inside_lvliang,20300109,3188.03,-1099.96,577.788,2665.6,0.255363,0
inside_lvliang,20300110,3107,-1099.96,571.392,2578.17,0.255363,0
inside_lvliang,20300111,3471.97,-1099.96,192.896,2564.64,0.255363,0
inside_lvliang,20300112,3186.62,-1099.96,571.392,2657.79,0.255363,0
inside_lvliang,20300113,3084.51,-1111.33,536.214,2509.14,0.255363,0
inside_lvliang,20300114,3275.54,-1105.65,275.722,2445.36,0.255363,0
inside_lvliang,20300115,3027.25,-1099.96,546.646,2473.68,0.255363,0
inside_lvliang,20300116,3161.51,-1099.96,467.856,2529.15,0.255363,0
inside_lvliang,20300117,3117.3,-1099.96,731.608,2748.69,0.255363,0
inside_lvliang,20300118,3271.68,-1099.96,749.243,2920.7,0.255363,0
inside_lvliang,20300119,3146.02,-1065.87,806.5,2886.66,0,0
inside_lvliang,20300120,3126.35,-1082.92,806.5,2849.68,0.255363,0
inside_lvliang,20300121,3164.58,-1099.96,806.5,2871.12,0,0
inside_lvliang,20300122,3061.73,-1099.96,806.5,2768.01,0.255363,0
inside_lvliang,20300123,3065.87,-1099.96,656.716,2622.37,0.255363,0
inside_lvliang,20350100,3054.19,-1099.96,624.205,2578.18,0.255363,0
inside_lvliang,20350101,3047.13,-1111.33,624.205,2559.75,0.255363,0
inside_lvliang,20350102,3083.23,-1105.65,553.211,2530.54,0.255363,0
inside_lvliang,20350103,2972.35,-1099.96,624.205,2496.34,0.255363,0
inside_lvliang,20350104,3017.32,-1099.96,553.211,2470.31,0.255363,0
inside_lvliang,20350105,2947.38,-1099.96,624.205,2471.36,0.255363,0
inside_lvliang,20350106,3000.67,-1099.96,624.205,2524.65,0.255363,0
inside_lvliang,20350107,3120.13,-1111.33,624.205,2632.75,0.255363,0
inside_lvliang,20350108,3254.29,-1105.65,482.217,2630.6,0.255363,0
inside_lvliang,20350109,3224.44,-1099.96,541.379,2665.6,0.255363,0
inside_lvliang,20350110,3054.19,-1099.96,624.205,2578.17,0.255363,0
inside_lvliang,20350111,3052.75,-1099.96,612.111,2564.64,0.255363,0
inside_lvliang,20350112,3053.89,-1099.96,624.205,2577.87,0.255363,0
inside_lvliang,20350113,3109.13,-1111.33,548.184,2545.72,0.255363,0
inside_lvliang,20350114,3589.54,-1105.65,0,2483.63,0.255363,0
