load_zone,timestamp,component,injects_or_withdraws,value
inside_lvliang,1,InjectIntoDistributedGrid,injects,2441.535983
inside_lvliang,1,RecoveryDemand,withdraws,-0.0
inside_lvliang,1,ShiftDemand,withdraws,-0.0
inside_lvliang,1,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,1,zone_demand_mw,withdraws,-2441.535983
inside_lvliang,2,InjectIntoDistributedGrid,injects,2424.081988
inside_lvliang,2,RecoveryDemand,withdraws,-0.0
inside_lvliang,2,ShiftDemand,withdraws,-0.0
inside_lvliang,2,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,2,zone_demand_mw,withdraws,-2424.081988
inside_lvliang,3,InjectIntoDistributedGrid,injects,2396.420806
inside_lvliang,3,RecoveryDemand,withdraws,-0.0
inside_lvliang,3,ShiftDemand,withdraws,-0.0
inside_lvliang,3,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,3,zone_demand_mw,withdraws,-2396.420806
inside_lvliang,4,InjectIntoDistributedGrid,injects,2364.0301809
inside_lvliang,4,RecoveryDemand,withdraws,-0.0
inside_lvliang,4,ShiftDemand,withdraws,-0.0001628999999923053
inside_lvliang,4,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,4,zone_demand_mw,withdraws,-2364.030018
inside_lvliang,5,InjectIntoDistributedGrid,injects,2336.18323545
inside_lvliang,5,RecoveryDemand,withdraws,-8.144999999615266e-05
inside_lvliang,5,ShiftDemand,withdraws,-0.0
inside_lvliang,5,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,5,zone_demand_mw,withdraws,-2336.183154
inside_lvliang,6,InjectIntoDistributedGrid,injects,2338.782686
inside_lvliang,6,RecoveryDemand,withdraws,-0.0
inside_lvliang,6,ShiftDemand,withdraws,-0.0
inside_lvliang,6,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,6,zone_demand_mw,withdraws,-2338.782686
inside_lvliang,7,InjectIntoDistributedGrid,injects,2390.845127
inside_lvliang,7,RecoveryDemand,withdraws,-0.0
inside_lvliang,7,ShiftDemand,withdraws,-0.0
inside_lvliang,7,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,7,zone_demand_mw,withdraws,-2390.845127
inside_lvliang,8,InjectIntoDistributedGrid,injects,2493.2165530000007
inside_lvliang,8,RecoveryDemand,withdraws,-0.0
inside_lvliang,8,ShiftDemand,withdraws,-0.0
inside_lvliang,8,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,8,zone_demand_mw,withdraws,-2493.216553
inside_lvliang,9,InjectIntoDistributedGrid,injects,2491.179319
inside_lvliang,9,RecoveryDemand,withdraws,-0.0
inside_lvliang,9,ShiftDemand,withdraws,-0.0
inside_lvliang,9,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,9,zone_demand_mw,withdraws,-2491.179319
inside_lvliang,10,InjectIntoDistributedGrid,injects,2524.3233400000004
inside_lvliang,10,RecoveryDemand,withdraws,-0.0
inside_lvliang,10,ShiftDemand,withdraws,-0.0
inside_lvliang,10,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,10,zone_demand_mw,withdraws,-2524.32334
inside_lvliang,11,InjectIntoDistributedGrid,injects,2517.21818057
inside_lvliang,11,RecoveryDemand,withdraws,-0.0
inside_lvliang,11,ShiftDemand,withdraws,-75.68745257
inside_lvliang,11,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,11,zone_demand_mw,withdraws,-2441.530728
inside_lvliang,12,InjectIntoDistributedGrid,injects,2466.562479285001
inside_lvliang,12,RecoveryDemand,withdraws,-37.843726285
inside_lvliang,12,ShiftDemand,withdraws,-0.0
inside_lvliang,12,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,12,zone_demand_mw,withdraws,-2428.718753
inside_lvliang,13,InjectIntoDistributedGrid,injects,2441.2469510000005
inside_lvliang,13,RecoveryDemand,withdraws,-0.0
inside_lvliang,13,ShiftDemand,withdraws,-0.0
inside_lvliang,13,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,13,zone_demand_mw,withdraws,-2441.246951
inside_lvliang,14,InjectIntoDistributedGrid,injects,2338.3132290000003
inside_lvliang,14,RecoveryDemand,withdraws,-0.0
inside_lvliang,14,ShiftDemand,withdraws,-0.0
inside_lvliang,14,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,14,zone_demand_mw,withdraws,-2338.313229
inside_lvliang,15,InjectIntoDistributedGrid,injects,2315.7582670000006
inside_lvliang,15,RecoveryDemand,withdraws,-0.0
inside_lvliang,15,ShiftDemand,withdraws,-0.0
inside_lvliang,15,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,15,zone_demand_mw,withdraws,-2315.758267
inside_lvliang,16,InjectIntoDistributedGrid,injects,2342.573377
inside_lvliang,16,RecoveryDemand,withdraws,-0.0
inside_lvliang,16,ShiftDemand,withdraws,-0.0
inside_lvliang,16,ZoneTotalDistributedDispatch,injects,0.0
inside_lvliang,16,zone_demand_mw,withdraws,-2342.573377
inside_lvliang,17,InjectIntoDistributedGrid,injects,2395.1052750000003
