PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,CogenFixedCost,annual,121980147.67889594,121980147.67889594
2020,EmissionsCosts,annual,0.0,0.0
2020,FuelCostsPerTP,timepoint,1010332095.0431751,1010332095.0431751
2020,GenVariableOMCostsInTP,timepoint,10515398.081733804,10515398.081733804
2020,HydrogenFixedCostAnnual,annual,26477.11982272078,26477.11982272078
2020,HydrogenVariableCost,timepoint,0.0,0.0
2020,LocalTDFixedCosts,annual,259396369.57972717,259396369.57972717
2020,TotalGenFixedCosts,annual,466559472.67550594,466559472.67550594
2020,TxFixedCosts,annual,13751801.524029551,13751801.524029551
2025,CogenFixedCost,annual,99113506.86140491,126496741.40192835
2025,EmissionsCosts,annual,0.0,0.0
2025,FuelCostsPerTP,timepoint,780490926.4160857,996126179.0833946
2025,GenVariableOMCostsInTP,timepoint,8201113.2249153005,10466929.600934315
2025,HydrogenFixedCostAnnual,annual,20745.516193822452,26477.11982272078
2025,HydrogenVariableCost,timepoint,0.0,0.0
2025,LocalTDFixedCosts,annual,203318292.84317264,259491388.47471702
2025,TotalGenFixedCosts,annual,391132784.4424003,499195561.27312243
2025,TxFixedCosts,annual,10790540.786028875,13771768.254612913
2030,CogenFixedCost,annual,78516821.45079614,127895628.57284565
2030,EmissionsCosts,annual,0.0,0.0
2030,FuelCostsPerTP,timepoint,618799542.4107447,1007959249.6852019
2030,GenVariableOMCostsInTP,timepoint,6504253.849232911,10594744.146211984
2030,HydrogenFixedCostAnnual,annual,16254.65477475504,26477.11982272078
2030,HydrogenVariableCost,timepoint,0.0,0.0
2030,LocalTDFixedCosts,annual,159305202.56432256,259491388.47471702
2030,TotalGenFixedCosts,annual,303991679.35954356,495170413.0938116
2030,TxFixedCosts,annual,8454671.056198755,13771768.254612913
2035,CogenFixedCost,annual,70626771.78221188,146827986.07889596
2035,EmissionsCosts,annual,0.0,0.0
2035,FuelCostsPerTP,timepoint,377223750.8027443,784221085.487077
2035,GenVariableOMCostsInTP,timepoint,4005193.8610305097,8326510.381701747
2035,HydrogenFixedCostAnnual,annual,12735.947342932048,26477.11982272078
2035,HydrogenVariableCost,timepoint,0.0,0.0
2035,LocalTDFixedCosts,annual,124822174.9582373,259496336.9360956
2035,TotalGenFixedCosts,annual,373030391.70447576,775503393.0912955
2035,TxFixedCosts,annual,6624956.182980623,13772808.096163996
