GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
G106346,2020,9,inside_lvliang,Coal,.,.,.
G106346,2025,9,inside_lvliang,Coal,.,.,.
G106346,2030,9,inside_lvliang,Coal,.,.,.
G106347,2020,10,inside_lvliang,Coal,.,.,.
G106347,2025,10,inside_lvliang,Coal,.,.,.
G106347,2030,10,inside_lvliang,Coal,.,.,.
G106348,2020,5,inside_lvliang,Coal,.,.,.
G106348,2025,5,inside_lvliang,Coal,.,.,.
G106348,2030,5,inside_lvliang,Coal,.,.,.
G106348,2035,5,inside_lvliang,Coal,.,.,.
G106349,2020,6,inside_lvliang,Coal,.,.,.
G106349,2025,6,inside_lvliang,Coal,.,.,.
G106349,2030,6,inside_lvliang,Coal,.,.,.
G106349,2035,6,inside_lvliang,Coal,.,.,.
G106470,2020,3,inside_lvliang,Coal,.,.,.
G106470,2025,3,inside_lvliang,Coal,.,.,.
G106470,2030,3,inside_lvliang,Coal,.,.,.
G106470,2035,3,inside_lvliang,Coal,.,.,.
G106471,2020,4,inside_lvliang,Coal,.,.,.
G106471,2025,4,inside_lvliang,Coal,.,.,.
G106471,2030,4,inside_lvliang,Coal,.,.,.
G106471,2035,4,inside_lvliang,Coal,.,.,.
G109041,2020,1,inside_lvliang,Coal,.,.,.
G109041,2025,1,inside_lvliang,Coal,.,.,.
G109041,2030,1,inside_lvliang,Coal,.,.,.
G109041,2035,1,inside_lvliang,Coal,.,.,.
G109042,2020,2,inside_lvliang,Coal,.,.,.
G109042,2025,2,inside_lvliang,Coal,.,.,.
G109042,2030,2,inside_lvliang,Coal,.,.,.
G109042,2035,2,inside_lvliang,Coal,.,.,.
G111092,2025,16,inside_lvliang,Coal,.,.,.
G111092,2030,16,inside_lvliang,Coal,.,.,.
G111092,2035,16,inside_lvliang,Coal,.,.,.
G111093,2025,17,inside_lvliang,Coal,.,.,.
G111093,2030,17,inside_lvliang,Coal,.,.,.
G111093,2035,17,inside_lvliang,Coal,.,.,.
G112778,2020,14,inside_lvliang,Coal,.,.,.
G112778,2025,14,inside_lvliang,Coal,.,.,.
G112778,2030,14,inside_lvliang,Coal,.,.,.
G112779,2020,15,inside_lvliang,Coal,.,.,.
G112779,2025,15,inside_lvliang,Coal,.,.,.
G112779,2030,15,inside_lvliang,Coal,.,.,.
G114088,2020,11,inside_lvliang,Coal,.,.,.
G114088,2025,11,inside_lvliang,Coal,.,.,.
G114088,2030,11,inside_lvliang,Coal,.,.,.
G114089,2020,12,inside_lvliang,Coal,.,.,.
G114089,2025,12,inside_lvliang,Coal,.,.,.
G114089,2030,12,inside_lvliang,Coal,.,.,.
G114090,2020,13,inside_lvliang,Coal,.,.,.
G114090,2025,13,inside_lvliang,Coal,.,.,.
G114090,2030,13,inside_lvliang,Coal,.,.,.
outside_coal,2020,outside,outside_lvliang,Coal,.,.,.
outside_coal,2025,outside,outside_lvliang,Coal,.,.,.
outside_coal,2030,outside,outside_lvliang,Coal,.,.,.
outside_coal,2035,outside,outside_lvliang,Coal,.,.,.
s1,2020,PV1,inside_lvliang,Solar,0,.,0
s1,2025,PV1,inside_lvliang,Solar,0,.,0
s1,2030,PV1,inside_lvliang,Solar,0,.,0
s1,2035,PV1,inside_lvliang,Solar,0,.,0
s10,2020,PV10,inside_lvliang,Solar,0,.,0
s10,2025,PV10,inside_lvliang,Solar,0,.,0
s10,2030,PV10,inside_lvliang,Solar,0,.,0
s10,2035,PV10,inside_lvliang,Solar,0,.,0
s11,2020,PV11,inside_lvliang,Solar,0,.,0
s11,2025,PV11,inside_lvliang,Solar,0,.,0
s11,2030,PV11,inside_lvliang,Solar,0,.,0
s11,2035,PV11,inside_lvliang,Solar,0,.,0
