load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,CogenZonalOutput,WithdrawFromCentralGrid,RunElectrolyzerMW,LiquefyHydrogenMW
inside_lvliang,20200100,2865.2,-1099.96,813.201,2578.18,0.255363,0
inside_lvliang,20200101,2852.32,-1105.51,813.201,2559.75,0.255363,0
inside_lvliang,20200102,3109.88,-1099.96,520.878,2530.54,0.255363,0
inside_lvliang,20200103,2860.74,-1099.96,813.201,2573.72,0.255363,0
inside_lvliang,20200104,3043.92,-1099.96,523.235,2466.93,0.255363,0
inside_lvliang,20200105,2842.02,-1099.96,727.877,2469.68,0.255363,0
inside_lvliang,20200106,3066.67,-1099.96,558.2,2524.65,0.255363,0
inside_lvliang,20200107,3064.72,-1105.51,673.803,2632.75,0.255363,0
inside_lvliang,20200108,3213.1,-1099.96,517.72,2630.6,0.255363,0
inside_lvliang,20200109,3362.7,-1099.96,417.699,2680.18,0.255363,0
inside_lvliang,202001010,3510.01,-1099.96,168.379,2578.17,0.255363,0
inside_lvliang,202001011,3398,-1099.96,266.861,2564.64,0.255363,0
inside_lvliang,202001012,3378.53,-1099.96,299.568,2577.87,0.255363,0
inside_lvliang,202001013,3569.4,-1099.96,0,2469.18,0.255363,0
inside_lvliang,202001014,3551.13,-1105.51,0,2445.36,0.255363,0
inside_lvliang,202001015,3573.9,-1099.96,0,2473.68,0.255363,0
inside_lvliang,202001016,3487.38,-1099.96,141.988,2529.15,0.255363,0
inside_lvliang,202001017,3387.48,-1099.96,461.427,2748.69,0.255363,0
inside_lvliang,202001018,3274.58,-1099.96,746.343,2920.7,0.255363,0
inside_lvliang,202001019,3161.64,-1099.96,813.201,2874.62,0.255363,0
inside_lvliang,202001020,3159.76,-1083.32,813.201,2889.64,0,0
inside_lvliang,202001021,3157.88,-1099.96,813.201,2871.12,0,0
inside_lvliang,202001022,3055.03,-1099.96,813.201,2768.01,0.255363,0
inside_lvliang,202001023,3147.18,-1099.96,575.408,2622.37,0.255363,0
inside_lvliang,20250100,2880.87,-1099.96,797.535,2578.18,0.255363,0
inside_lvliang,20250101,3067.38,-1099.96,592.589,2559.75,0.255363,0
inside_lvliang,20250102,2833.23,-1099.96,797.535,2530.54,0.255363,0
inside_lvliang,20250103,2806.17,-1107.12,797.535,2496.34,0.255363,0
inside_lvliang,20250104,2911.6,-1099.96,655.547,2466.93,0.255363,0
inside_lvliang,20250105,2938.01,-1099.96,631.882,2469.68,0.255363,0
inside_lvliang,20250106,3087.82,-1099.96,537.055,2524.65,0.255363,0
inside_lvliang,20250107,3095.58,-1099.96,652.81,2648.17,0.255363,0
inside_lvliang,20250108,3278.43,-1099.96,452.388,2630.6,0.255363,0
inside_lvliang,20250109,3264.05,-1099.96,501.767,2665.6,0.255363,0
inside_lvliang,20250110,3331.09,-1099.96,347.3,2578.17,0.255363,0
inside_lvliang,20250111,3641.91,-1107.12,30.1106,2564.64,0.255363,0
inside_lvliang,20250112,3378.53,-1099.96,299.568,2577.87,0.255363,0
inside_lvliang,20250113,3645.94,-1099.96,0,2545.72,0.255363,0
inside_lvliang,20250114,3403.59,-1099.96,141.988,2445.36,0.255363,0
inside_lvliang,20250115,3573.9,-1099.96,0,2473.68,0.255363,0
inside_lvliang,20250116,3629.37,-1099.96,0,2529.15,0.255363,0
inside_lvliang,20250117,3500.71,-1099.96,348.2,2748.69,0.255363,0
inside_lvliang,20250118,3338.87,-1099.96,682.049,2920.7,0.255363,0
inside_lvliang,20250119,3177.05,-1099.96,797.535,2874.62,0,0
inside_lvliang,20250120,3177.76,-1085.66,797.535,2889.64,0,0
inside_lvliang,20250121,3178.48,-1099.96,792.858,2871.12,0.255363,0
inside_lvliang,20250122,3077.96,-1099.96,790.265,2768.01,0.255363,0
inside_lvliang,20250123,3162.57,-1099.96,560.014,2622.37,0.255363,0
inside_lvliang,20300100,3155.5,-1099.96,522.898,2578.18,0.255363,0
inside_lvliang,20300101,3145.71,-1099.96,526.723,2572.21,0.255363,0
inside_lvliang,20300102,2831.05,-1107.12,806.86,2530.54,0.255363,0
inside_lvliang,20300103,2789.7,-1099.96,806.86,2496.34,0.255363,0
inside_lvliang,20300104,3068.41,-1099.96,498.744,2466.93,0.255363,0
inside_lvliang,20300105,3088.33,-1099.96,481.563,2469.68,0.255363,0
inside_lvliang,20300106,3097.23,-1099.96,527.638,2524.65,0.255363,0
inside_lvliang,20300107,3105.06,-1099.96,627.912,2632.75,0.255363,0
inside_lvliang,20300108,3275.37,-1107.12,462.607,2630.6,0.255363,0
inside_lvliang,20300109,3444.42,-1099.96,321.399,2665.6,0.255363,0
inside_lvliang,20300110,3614.49,-1099.96,63.9031,2578.17,0.255363,0
inside_lvliang,20300111,3716.25,-1099.96,28.1219,2644.15,0.255363,0
inside_lvliang,20300112,3285.13,-1099.96,392.964,2577.87,0.255363,0
inside_lvliang,20300113,3569.4,-1099.96,0,2469.18,0.255363,0
inside_lvliang,20300114,3544.1,-1098.48,0,2445.36,0.255363,0
inside_lvliang,20300115,3431.91,-1099.96,141.988,2473.68,0.255363,0
inside_lvliang,20300116,3629.37,-1099.96,0,2529.15,0.255363,0
inside_lvliang,20300117,3480.4,-1099.96,368.511,2748.69,0.255363,0
inside_lvliang,20300118,3324.05,-1099.96,696.872,2920.7,0.255363,0
inside_lvliang,20300119,3167.72,-1099.96,806.86,2874.62,0,0
inside_lvliang,20300120,3170.18,-1087.14,806.86,2889.64,0.255363,0
inside_lvliang,20300121,3172.63,-1099.96,798.446,2871.12,0,0
inside_lvliang,20300122,3146.24,-1099.96,721.986,2768.01,0.255363,0
inside_lvliang,20300123,3165.3,-1099.96,557.29,2622.37,0.255363,0
inside_lvliang,20350100,3386.42,-1099.96,291.977,2578.18,0.255363,0
inside_lvliang,20350101,3367.44,-1099.96,292.531,2559.75,0.255363,0
inside_lvliang,20350102,3318.33,-1099.96,312.431,2530.54,0.255363,0
inside_lvliang,20350103,3269.22,-1107.2,334.573,2496.34,0.255363,0
inside_lvliang,20350104,3184.62,-1099.96,382.532,2466.93,0.255363,0
inside_lvliang,20350105,3210.74,-1099.96,435.714,2546.24,0.255363,0
inside_lvliang,20350106,3202.08,-1099.96,422.787,2524.65,0.255363,0
inside_lvliang,20350107,3193.08,-1099.96,539.897,2632.75,0.255363,0
inside_lvliang,20350108,3481.32,-1099.96,249.504,2630.6,0.255363,0
inside_lvliang,20350109,3765.82,-1099.96,0,2665.6,0.255363,0
inside_lvliang,20350110,3678.39,-1099.96,0,2578.17,0.255363,0
inside_lvliang,20350111,3664.87,-1099.96,0,2564.64,0.255363,0
inside_lvliang,20350112,3678.09,-1099.96,0,2577.87,0.255363,0
inside_lvliang,20350113,3517.15,-1107.2,74.892,2484.58,0.255363,0
inside_lvliang,20350114,3545.58,-1099.96,0,2445.36,0.255363,0
inside_lvliang,20350115,3573.9,-1099.96,0,2473.68,0.255363,0
inside_lvliang,20350116,3629.37,-1099.96,0,2529.15,0.255363,0
