GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
G106344,1995,100
G106345,1996,100
G106346,2008,600.0
G106347,2008,600.0
G106348,2012,300.0
G106349,2014,300.0
G106470,2019,350.0
G106471,2019,350.0
G109041,2015,300.0
G109042,2015,300.0
G111092,2021,350.0
G111093,2021,350.0
G112778,2007,50.0
G112779,2007,50.0
G114088,2007,135.0
G114089,2007,135.0
G114090,2007,135.0
outside_coal,2015,0.0
s1,2019,194.7902658
s1,2020,0.0
s1,2025,0.0
s1,2030,0.0
s1,2035,0.0
s10,2019,86.18418237
s10,2020,0.0
s10,2025,0.0
s10,2030,0.0
s10,2035,0.0
s11,2019,0.112159554
s11,2020,0.0
s11,2025,0.0
s11,2030,0.0
s11,2035,0.0
s2,2019,0.11098841
s2,2020,0.0
s2,2025,0.0
s2,2030,0.0
s2,2035,0.99781159
s3,2019,348.9408359
s3,2020,0.0
s3,2025,0.0
s3,2030,0.0
s3,2035,2321.2849986655374
s4,2019,64.46296567
s4,2020,0.0
s4,2025,0.0
s4,2030,0.0
s4,2035,579.53703433
s5,2019,191.9875282
s5,2020,0.0
s5,2025,0.0
s5,2030,0.0
s5,2035,0.0
s6,2019,0.111278694
s6,2020,0.0
s6,2025,0.0
s6,2030,0.0
s6,2035,0.0
s7,2019,46.94585543
s7,2020,0.0
s7,2025,0.0
s7,2030,0.0
s7,2035,0.0
s8,2019,92.49034205
s8,2020,0.0
s8,2025,0.0
s8,2030,0.0
s8,2035,0.0
s9,2019,20.31984787
s9,2020,0.0
s9,2025,0.0
s9,2030,0.0
s9,2035,0.0
w1,2019,181.2244406
w1,2020,1458.6955594
w1,2025,0.0
w1,2030,0.0
w1,2035,0.0
w10,2019,40.19400551
w10,2020,0.0
w10,2025,0.0
w10,2030,0.0
w10,2035,0.0
w11,2019,16.56295377
w11,2020,0.0
w11,2025,0.0
w11,2030,0.0
w11,2035,0.0
w2,2019,24.36040519
w2,2020,0.0
w2,2025,0.0
w2,2030,0.0
w2,2035,0.0
w3,2019,338.8355107
w3,2020,0.0
w3,2025,0.0
w3,2030,0.0
w3,2035,2727.3244893
w4,2019,55.83753191
w4,2020,0.0
w4,2025,0.0
w4,2030,0.0
w4,2035,0.0
w5,2019,377.1685598
w5,2020,0.0
w5,2025,0.0
w5,2030,0.0
w5,2035,0.0
w6,2019,88.8794533
w6,2020,0.0
w6,2025,0.0
w6,2030,0.0
w6,2035,715.4005467
w7,2019,89.23307921
w7,2020,0.0
w7,2025,0.0
w7,2030,0.0
w7,2035,0.0
w8,2019,165.4704061
w8,2020,0.0
w8,2025,0.0
w8,2030,0.0
w8,2035,0.0
w9,2019,154.388654
w9,2020,0.0
w9,2025,0.0
w9,2030,0.0
w9,2035,306.42675468954303
